rank,company,revenues_2018_$m,employees,family_ownership,founded,public/private,generation,family_executive,woman_in_leadership,sector,headquarters,state_(abbreviation),website
166,leonhard wei gmbh & co kg,"1,559.1","5,107","wei , schmidt-wei ",1900,private,4,yes,no,industrial manufacturing,satteldorf,bw,www.leonhard-wei .de
167,trimet se,"1,555.7","1,619",schluter,1985,private,2,no,no,industrial manufacturing,e en,nw,www.trimet.eu
168,c thywi en gmbh,"1,551.8",120,"thywi en, baum",1839,private,6,yes,no,foods and beverages,neu ,nw,www.c-thywi en.de
169,me er industrie gmbh,"1,549.8","5,805",me er,1897,private,3,yes,no,industrial manufacturing,bad soden,he,www.me ergroup.com
170,bitburger holding gmbh,"1,533.2","4,346","simon, niewodniczanski",1817,private,7,yes,no,foods and beverages,bitburg,rp,www.bitburger-holding.de
171,bmv mineralol versorgungsgesellschaft mbh,"1,529.8",130,"schonherr, el obeid",1986,private,2,yes,yes,energy and utilities,berlin,be,www.bmv-mineraloel.de
172,delton ag,"1,523.2","5,383",quandt,1989,private,4,no,no,transportation and logistics,bad homburg vor der hohe,he,www.delton.de
173,sto se & co kgaa,"1,493.3","5,333",stotmeister,1955,public,4,no,no,industrial manufacturing,stuhlingen,bw,www.sto.de
174,otto krahn gmbh & co kg,"1,492.1","1,381",krahn,1909,private,3,yes,yes,industrial manufacturing,hamburg,hh,www.krahn.eu  albis.com
175,richter frenzel gmbh co kg,"1,488.4","3,600",stahl,1895,private,4,no,no,industrial manufacturing,wurzburg,by,www.richter-frenzel.de
176,marquardt gmbh,"1,488.4","11,226",marquardt,1925,private,3,yes,no,industrial manufacturing,rietheim-weilheim,bw,www.marquardt.de
177,stulz gmbh,"1,483.4","7,182",stulz,1947,private,2,yes,no,industrial manufacturing,hamburg,hh,www.stulz.de
178,rohlig logistics gmbh & co kg,"1,481.3","2,200","herwig, belz",1852,private,6,yes,yes,transportation and logistics,bremen,hb,www.rohlig.com
179,daw se,"1,476.5","5,688",murjahn,1895,private,5,yes,no,industrial manufacturing,ober-ramstadt,he,www.daw.de
180,herrenknecht group,"1,470.8","5,426",herrenknecht,1977,private,2,yes,no,industrial manufacturing,schwanau,bw,www.herrenknecht.de
181,rosenberger gmbh & co kg,"1,462.6","11,000",rosenberger,1958,private,2,yes,no,financial services,fridolfing,by,www.rosenberger.de
182,bofrost stiftung,"1,450.7","11,019",boquoi,1966,private,2,no,no,foods and beverages,straelen,nw,www.bofrost.de
183,auktion & markt ag,"1,443.8",281,muth,1988,private,1,yes,no,retail,wiesbaden,he,www.auktion-markt.de
184,depenbrock group,"1,431.2",560,depenbrock,1928,private,4,yes,no,industrial manufacturing,stemwede,nw,www.depenbrock.de
185,hoffmann group,"1,431.2","3,300","bleicher, januschke",1919,private,4,no,no,financial services,munchen,by,www.hoffmann-group.com
186,papier - mettler inhaber michael mettler,"1,431.2","3,900",mettler,1957,private,2,yes,yes,industrial manufacturing,morbach,rp,www.papier-mettler.com
187,johannes heidenhain gmbh,"1,429.3","7,915",heidenhain,1889,private,3,no,no,technology,traunreut,by,www.heidenhain.de
188,hoyer gmbh internationale fachspedition,"1,418.5","6,032",hoyer,1946,private,3,no,no,transportation and logistics,hamburg,hh,www.hoyer-group.com
189,beiselen holding gmbh,"1,407.0",700,schuler,1890,private,4,yes,no,financial services,ulm,bw,www.beiselen.de
190,ego blanc und fischer & co gmbh,"1,405.1","6,000","blanc, fischer",1925,private,3,no,no,technology,oberderdingen,bw,www.blanc-fischer.com
191,cts eventim ag & co kgaa,"1,400.7","2,945",schulenberg,1989,public,1,yes,no,media and entertainment,bremen,hb,www.eventim.de
192,biesterfeld ag,"1,397.4",800,biesterfeld,1906,private,4,yes,yes,industrial manufacturing,hamburg,hh,www.biesterfeld.com
193,borbet gmbh,"1,383.1","4,800",borbet,1881,private,4,yes,no,automotive,hallenberg-hesborn,nw,www.borbet.de
194,hirschvogel holding gmbh,"1,375.7","5,481","hirschvogel, britzger",1938,private,3,no,no,automotive,denklingen,by,www.hirschvogel.com
195,sudwest beteiligungen gmbh,"1,349.1","1,700","seizinger, weitzmann",1900,private,3,yes,yes,industrial manufacturing,eberbach,bw,www.sws-ag.com
196,wernsing food family gmbh & co kg,"1,349.1","3,550",wernsing,1962,private,2,yes,no,foods and beverages,addrup-e en,ni,www.wernsing.de
197,guhring kg,"1,321.8","8,000",guhring,1898,private,4,yes,no,industrial manufacturing,albstadt,bw,www.guehring.de
198,ehg service gmbh,"1,320.2","12,000",ernsting,1968,private,2,no,yes,retail,coesfeld,nw,www.ernstings-family.de
199,berner se,"1,300.1","8,500",berner,1957,private,2,yes,yes,industrial manufacturing,kunzelsau,bw,www.berner-group.com
200,koster group,"1,295.0","1,663",koster,1938,private,2,no,no,industrial manufacturing,osnabruck,ni,www.koester-bau.de
201,otto bock holding gmbh & cokg,"1,294.5","7,819",nader,1919,private,3,yes,yes,industrial manufacturing,duderstadt,ni,www.ottobock.de
202,katag ag,"1,293.8",300,terberger,1923,private,3,yes,yes,consumer products,bielefeld,nw,www.katag.net
203,merz holding gmbh & cokg,"1,293.4","3,300","baatz, huckmann, meyer, nick",1908,private,4,no,yes,pharmaceuticals and life sciences,frankfurt am main,he,www.merz.com
204,hansen & rosenthal kg,"1,272.9","1,634",hansen,1919,public,4,yes,no,industrial manufacturing,hamburg,hh,www.hur.com
205,siegwerk gmbh & co kg,"1,272.6","4,991",keller,1830,private,6,no,no,industrial manufacturing,siegburg,nw,www.siegwerk.com
206,schnellecke group ag & co kg,"1,268.1","16,112",schnellecke,1939,private,3,yes,yes,transportation and logistics,wolfsburg,ni,www.schnellecke.com
207,conrad holding se,"1,265.6","2,314",conrad,1923,private,3,yes,no,retail,hirschau,by,www.conrad.de
208,wellergruppe gmbh & co kg,"1,261.0","2,353","weller, hellmann",1979,private,1,yes,no,retail,berlin,be,www.wellergruppe.de
209,porta holding gmbh & co kg,"1,260.5","7,175","gartner, fahrenkamp",1965,private,2,yes,yes,retail,porta westfalica,nw,www.porta.de
210,hormann kg verkaufsgesellschaft,"1,259.4","6,000",hormann,1935,private,4,yes,no,industrial manufacturing,steinhagen,nw,www.hoermann.de
211,prettl produktions holding gmbh,"1,248.0","12,800",prettl,1953,private,2,yes,no,automotive,pfullingen,bw,www.prettl.com
212,jakob funke medien beteiligungs gmbh & co kg,"1,247.0","7,009","schubries, holthoff-pfortner, becker, marx, wilcke",1948,private,3,no,no,media and entertainment,e en,nw,www.funkemedien.de
213,robert klingel ohg,"1,231.0","2,928",kohm,1920,private,3,yes,no,financial services,pforzheim,bw,www.klingel.de
214,veka ag,"1,229.2","5,595","hartleif, laumann",1969,private,2,yes,yes,industrial manufacturing,sendenhorst,nw,www.veka.com
215,multivac sepp haggenmuller se & co kg,"1,228.5","5,731","haggenmuller, vetter, brenne",1961,private,2,no,no,industrial manufacturing,wolfertschwenden,by,www.multivac.de
216,serviceplan gruppe fur innovative kommunikation gmbh & co kg,"1,226.5","1,917",haller,1970,private,2,yes,no,media and entertainment,munchen,by,www.serviceplan.com
217,kws saat se,"1,222.8","5,147","buchting, oetker, giesecke",1856,public,6,no,yes,foods and beverages,einbeck,ni,www.kws.de
218,schoeller holding se & co kgaa,"1,222.8","4,200",schoeller,1880,private,7,yes,no,industrial manufacturing,pullach,by,www.schoeller.org
219,viega holding gmbh & co kg,"1,220.8","4,000",viegener,1899,private,5,yes,no,industrial manufacturing,attendorn,nw,www.viega.de
220,hettich holding gmbh & co ohg,"1,212.5","6,700",hettich,1888,private,4,yes,yes,industrial manufacturing,kirchlengern,nw,www.hettich.com
221,huf hulsbeck & furst gmbh & co kg,"1,212.3","7,500",hulsbeck,1908,private,3,yes,no,automotive,velbert,nw,www.huf-group.com
222,lapp holding ag,"1,208.0","3,770",lapp,1959,private,2,yes,no,industrial manufacturing,stuttgart,bw,www.lappgroup.com
223,rutronik elektronische bauelemente gmbh,"1,205.4","1,700",rudel,1973,private,2,yes,no,technology,ispringen,bw,www.rutronik.com
224,alois dallmayr kg,"1,203.8","4,122","wille, randlkofer",1700,private,5,yes,no,foods and beverages,munchen,by,www.dallmayr.de
225,wortmann schuh-holding kg,"1,203.8","1,154",wortmann,1967,private,2,yes,no,consumer products,detmold,nw,www.wortmann.com
226,pfeifer & langen group,"1,202.4","2,400",pfeifer and langen,1962,private,5,no,no,foods and beverages,koln,nw,www.pfeifer-langen.com
227,engelbert strau gmbh & co kg,"1,202.2","1,300",strau ,1948,private,3,yes,no,profe ional services,biebergemund,he,www.engelbert-strau .de
228,zott se & co kg,"1,180.8","2,983",weber,1926,private,3,yes,yes,foods and beverages,mertingen,by,www.zott.de
229,dalli-werke gmbh & co kg,"1,166.0","1,897",wirtz,1851,private,5,yes,no,consumer products,stolberg,nw,www.dalli-group.com
230,wepa industrieholding se,"1,158.6","2,900",krengel,1948,private,2,yes,no,consumer products,arnsberg,nw,www.wepa.de
231,willmar schwabe gmbh & co kg,"1,156.4","3,600",schwabe,1866,private,5,yes,no,pharmaceuticals and life sciences,karlsruhe,bw,www.schwabe.de
232,harry-brot gmbh,"1,154.6","5,500",holthausen,1688,private,1,yes,no,foods and beverages,schenefeld,sh,www.harry-brot.de
233,franz-josef rothkotter gmbh & co kg,"1,149.1","2,473",rothkotter,1959,private,2,yes,no,foods and beverages,meppen,ni,www.rothkoetter.de
234,eckes ag,"1,148.1","1,747",eckes-chantre,1857,private,6,no,yes,foods and beverages,nieder-olm,rp,www.eckes-granini.com
235,max aicher group,"1,148.0","4,000",aicher,1924,private,3,yes,no,industrial manufacturing,freila ing,by,www.max-aicher.de
236,wika alexander wiegand se & co kg,"1,145.0","10,000",wiegand,1946,private,4,yes,no,technology,klingenberg,by,www.wika.de
237,nobilia holding gmbh,"1,144.6","2,914",stickling,1945,private,3,no,no,consumer products,verl,nw,www.nobilia.de
238,dennree gmbh,"1,142.5","5,530",greim,1974,private,2,yes,no,consumer products,topen,by,www.dennree.de
239,kaeser kompre oren se,"1,139.2","6,000",kaeser,1919,private,3,yes,yes,industrial manufacturing,coburg,by,www.kaeser.de
240,meggle ag,"1,129.7","2,383",meggle,1887,private,3,no,no,foods and beverages,wa erburg am inn,by,www.meggle-group.com
241,getreide ag,"1,098.1",376,rothe,1882,private,2,yes,no,consumer products,hamburg,sh,www.getreide-ag.de
242,wolff & muller holding gmbh & co kg,"1,090.6","2,000",durr,1936,private,3,yes,no,industrial manufacturing,stuttgart,bw,www.wolff-mueller.de
243,hall tabakwaren ek,"1,086.3",451,"hall, reisen-hall",1903,private,3,yes,no,retail,monchengladbach,nw,www.halltabakwaren.de
244,wago holding gmbh,"1,069.9","8,649",hohorst,1951,private,3,yes,no,technology,minden,nw,www.wago.com
245,i k hofmann gmbh,"1,068.3","25,000",hofmann,1985,private,1,yes,yes,profe ional services,nurnberg,by,www.hofmann.info
246,borgers group,"1,063.3","7,200",borgers,1866,private,5,yes,no,automotive,bocholt,nw,www.borgers-group.com
247,beumer group gmbh & co kg,"1,062.2","4,500",beumer,1935,private,3,yes,no,industrial manufacturing,beckum,nw,www.beumer.com
248,hellweg die profi-baumarkte gmbh & co kg,"1,059.4","4,600",semer,1971,private,2,yes,yes,retail,dortmund,nw,www.hellweg.de
249,big dutchman aktiengeselischaft,"1,052.7","3,268",meerpohl,1938,private,7,yes,no,industrial manufacturing,vechta,ni,www.bigdutchman.de
250,beckhoff automation group,"1,048.8","4,300",beckhoff,1980,private,2,yes,no,technology,verl,nw,www.beckhoff.de
251,ferchau holding gmbh & co kg,"1,044.7","9,500",ferchau,1966,private,2,yes,no,financial services,gummersbach,nw,www.able-group.de
252,cd walzholz kg,"1,034.0","2,073",junius,1829,private,6,yes,no,industrial manufacturing,hagen,nw,www.waelzholz.com
253,fahrzeug-werke lueg ag,"1,028.2","1,400",lueg,1868,private,6,no,no,profe ional services,bochum,nw,www.lueg.de
254,windmoller & holscher kg,"1,024.7","2,950",windmoller,1869,private,4,no,no,industrial manufacturing,lengerich,nw,www.wuh-group.com
255,ifm electronic gmbh,"1,023.1","5,949","marhofer, buck",1969,private,2,yes,no,technology,e en,nw,www.ifm.com
256,group gmbh,"1,020.7","6,849",zehetmaier,1980,private,1,yes,no,technology,ismaning,by,www.msg.group
257,albert handtmann holding verwaltungs-gmbh,"1,010.2","3,700",handtmann,1873,private,4,yes,no,profe ional services,biberach an der rib,bw,www.handtmann.de
258,apetito ag,"1,009.8","9,418",dusterberg,1958,private,2,no,no,profe ional services,rheine,nw,www.apetito.de
259,gerry weber international ag,"1,008.6","6,900","weber, hardieck",1973,public,2,yes,no,consumer products,halle,nw,www.gerryweber.com
260,fischer holding gmbh & co kg,991.9,"5,200",fischer,1948,private,2,yes,no,industrial manufacturing,waldachtal,bw,https://www.fischer.group/de-de/
261,klingele papierwerke gmbh & co kg,984.7,"2,500",klingele,1920,private,3,yes,no,industrial manufacturing,remshalden,bw,www.klingele.com
262,vo loh ag,982.5,"3,925",thiele,1888,public,1,no,no,industrial manufacturing,werdohl,nw,www.vo loh.com
263,huber group,976.8,"3,500",huber,1765,private,8,no,yes,industrial manufacturing,kirchheim,by,www.hubergroup.de
264,ehrmann ag,973.2,"2,600",ehrmann,1920,private,3,yes,no,foods and beverages,oberschonegg,by,www.ehrmann.de
265,c & a veltins gmbh & co kg,968.6,"1,545",veltins,1824,private,5,no,yes,foods and beverages,meschede-grevenstein,nw,www.veltins.de
266,leonhard kurz stiftung & co kg,965.9,"5,113",kurz,1899,private,5,yes,no,industrial manufacturing,furth,by,www.kurz.de
267,friedrich scharr kg,962.2,624,scharr,1883,private,4,yes,no,energy and utilities,stuttgart,bw,www.scharr.de
268,rei er ag,961.6,"1,557",reier,1871,private,5,yes,no,industrial manufacturing,boblingen,bw,www.rei er.de
269,thalia bucher gmbh,960.3,"5,060","herder, goritz, busch, kreke",1919,private,5,yes,no,retail,hagen,nw,www.thalia.de
270,rauch gmbh & co kg,959.6,"1,600",rauch,1879,private,4,yes,no,consumer products,freudenberg,bw,www.rauchmoebel.de
271,schon holding gmbh & co kg,957.2,"10,600",schon,1985,private,2,yes,yes,healthcare,prien am chiemsee,by,www.schoen-kliniken.de
272,lindner group kg,951.5,"6,622",lindner,1965,private,2,yes,yes,industrial manufacturing,arnstorf,by,www.lindner-group.com
273,bos gmbh & co kg,945.7,"8,000","baumeister, schmid",1910,private,3,no,no,automotive,ostfildern,bw,www.bos.de
274,weidmuller holding ag & co kgaa,944.8,"4,900",glasel,1850,private,5,no,yes,technology,detmold,nw,www.weidmueller.de
275,persona service ag & co kg,944.5,"19,000","muller, schroter",1967,private,2,no,no,profe ional services,ludenscheid,nw,www.persona.de
276,villeroy & boch ag,942.6,"7,461","von boch-galhau, villeroy de galhau",1748,public,8,yes,no,industrial manufacturing,mettlach,sl,www.villeroy-boch.com
277,bericap capital gmbh & co kg,932.0,"3,650",krautkramer,1926,private,3,yes,no,industrial manufacturing,budenheim,rp,www.bericap.com
278,ernst dello gmbh & co kg,928.6,"1,700","ravenborg, kroger, kreidel",1898,private,5,yes,no,retail,hamburg,hh,www.dello.de
279,notebooksbilligerde,926.0,398,"von wedemeyer, haubrichs",1989,private,1,yes,no,retail,sarstedt,ni,www.notebooksbilliger.de
280,koehler holding gmbh & co kg,924.0,"1,915",furler,1807,private,8,yes,no,industrial manufacturing,oberkirch,bw,www.koehlerpaper.com
281,kluh service management gmbh,922.8,"50,000",kluh,1911,private,4,no,no,profe ional services,du eldorf,nw,www.klueh.de
282,hans segmuller polstermobelfabrik gmbh & co kg,920.9,"3,522",segmuller,1925,private,3,yes,no,consumer products,friedberg,by,www.segmueller.de
283,autohaus glinicke gmbh,917.1,"1,600",glinicke,1930,private,3,yes,no,retail,ka el,he,www.glinicke.de
284,bruder schlau gmbh & co kg,916.7,"6,464",beeth,1921,private,3,no,no,retail,porta westfalica,nw,www.brueder-schlau.de
285,printus-group,916.0,"1,600",schmid,1977,private,1,yes,no,profe ional services,offenburg,bw,www.printus-info.de
286,lenze se,913.8,"3,613","belling, finger, herbert",1947,private,4,no,no,industrial manufacturing,aerzen,ni,www.lenze.com
287,kamax holding gmbh & co kg,903.5,"3,310",kellermann,1935,private,3,no,no,automotive,homberg,he,www.kamax.com
288,schorghuber stiftung & co holding kg,898.1,"2,707",schorghuber,1954,private,3,yes,yes,industrial manufacturing,munchen,by,www.sug-munich.com
289,rational ag,895.0,"2,166",meister,1973,public,1,no,no,industrial manufacturing,landsberg am lech,by,www.rational-online.de
290,hahn automobil-holding gmbh,893.1,"1,800",hahn,1919,private,4,yes,no,retail,fellbach,bw,www.hahn-automobile.de
291,bitzer se,891.5,"3,500",schaufler,1934,private,3,no,no,industrial manufacturing,sindelfingen,bw,www.bitzer.de
292,schwenk zement kg,889.2,"3,073",schleicher,1847,private,5,yes,no,industrial manufacturing,ulm,bw,www.schwenk.de
293,grillo-werke ag,884.6,"1,423",grillo,1842,private,5,yes,yes,industrial manufacturing,duisburg,nw,www.grillo.de
294,krombacher brauerei bernhard schadeberg gmbh & co kg,884.1,997,schadeberg,1803,private,3,yes,yes,foods and beverages,kreuztal,nw,www.krombacher.de
295,autohaus jacob fleischhauer gmbh & co kg,882.8,"1,150",franz,1924,private,4,no,no,retail,koln,nw,www.fleischhauer.com
296,alnatura produktions- und handels gmbh,881.6,"2,980",rehn,1984,private,1,yes,no,consumer products,darmstadt,he,www.alnatura.de
297,felix schoeller holding gmbh & co kg,881.5,"2,230",gallenkamp,1895,private,6,yes,no,industrial manufacturing,osnabruck,ni,www.felix-schoeller.com
298,geis holding gmbh & co kg,880.0,"6,438",geis,1948,private,2,yes,no,transportation and logistics,bad neustadt an der saale,by,www.geis-group.com
299,reinhausen group,878.7,"3,404",scheubeck,1868,private,5,yes,no,industrial manufacturing,regensburg,by,www.reinhausen.com
300,sma solar technology ag,873.6,"3,000","cramer, drews, wettlaufer",1981,public,2,no,no,technology,niestetal,he,www.sma.de
301,sprehe unternehmensgruppe,872.9,"2,181",sprehe,1987,private,2,yes,no,foods and beverages,lorup,ni,www.sprehe.de
302,harting ag & co kg,872.5,"4,980",harting,1945,private,3,yes,yes,industrial manufacturing,espelkamp,nw,www.harting.com
303,wanzl gmbh & co holding kg,871.8,"4,900",wanzl,1918,private,3,yes,no,profe ional services,leipheim,by,www.wanzl.com
304,eder familien holding gmbh & co kg,861.7,"1,992",eder,1487,private,2,yes,no,industrial manufacturing,tuntenhausen,by,www.eder-gmbh.de
305,klett gruppe,861.0,"6,641",klett,1897,private,4,yes,no,media and entertainment,stuttgart,bw,www.klett-gruppe.de
306,arburg gmbh co kg,858.7,"3,000","hehl, keinath",1923,private,3,yes,yes,industrial manufacturing,loburg,bw,www.arburg.com
307,igus gmbh,856.4,"4,150",blase,1964,private,2,yes,no,industrial manufacturing,koln,nw,www.igus.de
308,geobra brandstatter stiftung & co kg aka playmobil,856.4,"4,635",brandstatter,1876,private,3,no,yes,consumer products,zirndorf,by,www.playmobil.de
309,groz-beckert kg,855.3,"9,282","groz, lindner",1852,private,6,yes,no,industrial manufacturing,albstadt,bw,www.groz-beckert.com
310,eisenmann se,852.4,"3,198",eisenmann,1951,private,3,no,no,industrial manufacturing,boblingen,bw,www.eisenmann.com
311,layher holding gmbh & co kg,852.4,"1,939","layher, langer",1945,private,3,yes,yes,industrial manufacturing,guglingen,bw,www.layher.com
312,gelita ag,851.3,"2,548",koepff,1875,private,5,no,no,industrial manufacturing,eberbach,bw,www.gelita.com
313,stockmeier holding gmbh,851.1,"1,174",stockmeier,1920,private,3,yes,no,industrial manufacturing,bielefeld,nw,www.stockmeier.de
314,aco severin ahlmann gmbh & co kg,850.8,"4,618",ahlmann,1946,private,3,yes,no,industrial manufacturing,budelsdorf,sh,www.aco.com
315,f e r fischer edelstahlrohre gmbh,847.2,"2,450",fischer,1969,private,2,yes,no,industrial manufacturing,achern,bw,www.fischer-group.com
316,kathrein-werke kg,845.7,"7,600",kathrein,1919,private,3,yes,no,technology,rosenheim,by,www.kathrein.de
317,g siempelkamp gmbh & co kg,845.4,"2,935",siempelkamp,1883,private,4,no,yes,industrial manufacturing,krefeld,nw,www.siempelkamp.com
318,schatt holding gmbh,837.7,"1,996",schatt,1985,private,2,no,no,industrial manufacturing,thansau,by,www.schattdecor.de
319,georg jos kaes gmbh,837.0,"2,410",hermann,1865,private,5,yes,no,consumer products,mauerstetten,by,www.v-markt.de
320,compugroup medical se,836.7,"5,000",gotthardt,1987,public,2,yes,no,healthcare,koblenz,rp,www.compugroup.com
321,simba toys gmbh & co kg,833.5,"4,140",sieber,1982,private,2,yes,no,consumer products,furth,by,www.simba-dickie-group.de
322,walter klein group wkw,832.2,"4,571",mayer,1940,private,n.a.,no,no,automotive,wuppertal,nw,www.wkw.de
323,autohaus wolfsburg heitmann gmbh u co kg,831.2,"1,973","heitmann, hotz",1952,private,2,no,no,retail,wolfsburg,ni,www.autohaus-wolfsburg.de
324,gegenbauer holding se & co kg,821.5,"17,947",gegenbauer,1925,private,2,no,no,profe ional services,berlin,bb,www.gegenbauer.de
325,wunsche gmbh & co kg,821.1,"1,080",wunsche,1934,private,3,yes,no,consumer products,hamburg,hh,www.whi.de
326,rheinisch-bergische verlagsges mbh,819.1,"5,428","arnold, betz, droste, alt, ebel",1946,private,2,yes,no,media and entertainment,du eldorf,nw,www.rp-online.de
327,eppendorf ag,817.2,"3,367","hinz, netheler",1945,private,3,no,yes,pharmaceuticals and life sciences,hamburg,hh,www.eppendorf.de
328,wortmann ag,816.7,580,"wortmann, knicker",1986,private,2,yes,no,technology,hullhorst,nw,www.wortmann.de
329,autohaus heermann und rhein gmbh,815.2,"1,165",rhein,1924,private,4,yes,no,retail,heilbronn,bw,www.heermann-rhein.de
330,woco gmbh & co kg,812.9,"6,456",wolf,1956,private,2,yes,no,automotive,bad soden-salmunster,he,www.wocogroup.com
331,scherdel gmbh,812.9,"5,500",scherdel,1890,private,4,yes,no,industrial manufacturing,marktredwitz,by,www.scherdel.de
332,hugo kern und liebers gmbh & co kg platinen- und federnfabrik,810.9,"8,000",steim,1888,private,6,no,no,industrial manufacturing,schramberg,bw,www.kern-liebers.de
