industry,founded,revenue,name,location
banking,1972,7,seb ab,"stockholm, sweden"
oil & gas operations,1990,19,surgutneftegas,"surgut, russia"
insurance,1996,34,new china life insurance,"beijing, china"
materials,1983,11,barrick gold,"toronto, canada"
transportation,1976,29,dsv panalpina,"hedehusene, denmark"
insurance,1990,51,talanx,"hannover, germany"
"telecommunications services, cable supplier",1984,53,vodafone,"berkshire, united kingdom"
consumer durables,1889,15,nintendo,"kyoto, japan"
banking,2005,13,hana financial group,"seoul, south korea"
capital goods,1977,36,hyundai mobis,"seoul, south korea"
utilities,1975,17,ntpc,"new delhi, india"
banking and financial services,1960,9,maybank,"kuala lumpur, malaysia"
diversified financials,1898,4,cme group,"chicago, illinois"
utilities,2005,12,taqa,"abu dhabi, united arab emirates"
"food, soft beverages, alcohol & tobacco",1975,11,pernod ricard,"paris, france"
banking,1824,9,bank mandiri,"jakarta, indonesia"
"food, drink & tobacco",1890,27,femsa,"monterrey , mexico"
automotive  automotive and suppliers ,1972,23,paccar,"bellevue, washington"
utilities,1823,13,consolidated edison,"new york, new york"
construction,1941,18,mitsui fudosan,"tokyo, japan"
transportation,,17,evergreen marine corp taiwan,"taipei, taiwan"
capital goods,1921,24,komatsu,"tokyo, japan"
materials,2008,22,shaanxi coal industry,"xi'an, china"
technology hardware & equipment,1984,70,lenovo group,"quarry bay, hong kong"
retailing,1963,19,fast retailing,"yamaguchi, japan"
diversified financials,1802,9,london stock exchange,"london, united kingdom"
construction,1998,6,vonovia,"bochum, germany"
insurance,2000,45,aviva,"london, united kingdom"
"construction, oil & gas operations, mining and chemicals",1866,19,sherwin-williams,"cleveland, ohio"
consumer durables,1934,22,fujifilm holdings,"tokyo, japan"
it software & services,1983,11,intuit,"mountain view, california"
"semiconductors, electronics, electrical engineering, technology hardware & equipment",1980,16,lam research,"fremont, california"
banking and financial services,2008,11,erste group bank,"vienna, austria"
insurance,1968,19,lincoln national,"radnor, pennsylvania"
capital goods,1915,20,carrier global,"palm beach gardens, florida"
media,1980,17,dish network,"englewood, colorado"
materials,2006,35,china coal energy,"beijing, china"
automotive  automotive and suppliers ,1871,39,continental,"hanover, germany"
banking,1990,21,vtb bank,"moscow, russia"
technology hardware & equipment,1944,16,murata manufacturing,"nagaokakyo, japan"
construction,1938,20,larsen & toubro,"mumbai, india"
banking and financial services,1919,10,ally financial,"detroit, michigan"
it software & services,1997,13,netease,"hangzhou, china"
banking,1955,6,bank central asia,"jakarta, indonesia"
consumer durables,2010,32,volvo car,"gothenburg, sweden"
insurance,1809,14,intact financial,"toronto, canada"
oil & gas operations,1972,11,orsted,"fredericia, denmark"
"engineering, manufacturing",1919,24,cummins,"columbus, ohio"
oil & gas operations,1908,10,williams,"tulsa, oklahoma"
it software & services,1967,21,capgemini,"paris, france"
real estate,1993,4,prologis,"denver, colorado"
aerospace & defense,1949,19,thales,"paris, france"
construction,1952,44,bouygues,"paris, france"
banking,1899,10,banorte,"san pedro garza garcia, mexico"
construction,2015,8,ck asset holdings,"hong kong, hong kong"
telecommunications services,1988,50,orange,"paris, france"
transportation,1890,35,kuehne & nagel international,"schindellegi, switzerland"
"food, drink & tobacco",1818,59,bunge,"st. louis, missouri"
insurance,1957,25,samsung life insurance,"seoul, south korea"
it software & services,1998,12,vmware,"palo alto, california"
food markets,1939,71,albertsons,"boise, idaho"
capital goods,2007,34,crrc,"beijing, china"
construction,1906,27,cbre group,"dallas, texas"
conglomerate,1875,30,toshiba,"tokyo, japan"
trading companies,1963,30,samsung c&t,"seoul, south korea"
it software & services,1981,16,infosys,"bangalore, india"
banking and financial services,1848,26,prudential,"hong kong, london, united kingdom"
materials,1997,16,yankuang energy group,"zoucheng, china"
transportation,1881,6,canadian pacific railway,"calgary, canada"
insurance,1954,14,loews,"new york, new york"
semiconductors,1963,17,tokyo electron,"tokyo, japan"
consumer durables,1958,66,lg electronics,"seoul, south korea"
drugs & biotechnology,1916,10,csl,"parkville, australia"
consumer durables,1957,36,magna international,"aurora, canada"
"semiconductors, electronics, electrical engineering, technology hardware & equipment",1965,8,analog devices,"wilmington, massachusetts"
capital goods,1890,20,kubota,"osaka, japan"
chemicals,1940,10,air products & chemicals,"allentown, pennsylvania"
materials,1921,12,newmont mining,"denver, colorado"
technology hardware & equipment,2007,15,te connectivity,"schaffhausen, switzerland"
insurance,1982,12,aon,"dublin, ireland"
business services & supplies,1990,13,telus,"vancouver, canada"
retailing,1986,26,dollar tree,"chesapeake, virginia"
banking,1958,7,keycorp,"cleveland, ohio"
insurance,1828,9,wtw,"london, united kingdom"
banking,1993,16,china zheshang bank,"hangzhou, china"
food markets,1914,25,wesfarmers,"perth, australia"
consumer durables,1909,32,suzuki motor,"hamamatsu, japan"
retail and wholesale,1966,51,best buy,"richfield, minnesota"
banking,1983,6,svb financial group,"santa clara, california"
semiconductors,1969,16,advanced micro devices,"santa clara, california"
banking and financial services,1930,12,markel,"glen allen, virginia"
"food, drink & tobacco",2000,11,muyuan foodstuff,"nanyang, china"
packaged goods,1872,19,kimberly-clark,"irving, texas"
banking,1991,6,swedbank,"sundbyberg, sweden"
it software & services,1994,18,cognizant,"teaneck, new jersey"
"engineering, manufacturing",1851,14,corning,"corning, new york"
"semiconductors, electronics, electrical engineering, technology hardware & equipment",1999,13,infineon technologies,"neubiberg, germany"
banking,1828,6,citizens financial group,"providence, rhode island"
oil & gas operations,1971,13,devon energy,"oklahoma city, oklahoma"
"food, drink & tobacco",1949,20,asahi group holdings,"tokyo, japan"
materials,1994,17,jsw steel,"mumbai, india"
"telecommunications services, cable supplier",1968,19,lumen technologies,"monroe, louisiana"
banking and financial services,1971,6,regions financial,"birmingham, alabama"
banking and financial services,1871,6,svenska handelsbanken,"stockholm, sweden"
diversified financials,1962,10,raymond james financial,"saint petersburg, florida"
consumer durables,1995,32,byd,"shenzhen, china"
capital goods,1912,14,illinois tool works,"glenview, illinois"
retailing,,14,pinduoduo,"shanghai, china"
consumer durables,2008,8,activision blizzard,"santa monica, california"
media,2005,10,liberty global,"london, united kingdom"
household & personal products,1806,17,colgate-palmolive,"new york, new york"
utilities,1989,10,sse,"perth, united kingdom"
chemicals,1958,14,nan ya plastics,"kaohsiung city, taiwan"
telecommunications services,1853,11,vivendi,"paris, france"
health care equipment & services,1931,12,baxter international,"deerfield, illinois"
insurance,1992,25,fosun international,"shanghai, china"
capital goods,2002,31,weichai power,"weifang, china"
insurance,1847,15,fidelity national financial,"jacksonville, florida"
capital goods,1918,15,parker-hannifin,"cleveland, ohio"
materials,1976,16,vedanta limited,"mumbai, india"
diversified financials,2001,11,woori financial group,"seoul, south korea"
food markets,1969,60,sysco,"houston, texas"
telecommunications services,1975,15,telstra,"melbourne, australia"
banking,1856,30,credit suisse group,"zurich, switzerland"
telecommunications services,1960,11,rogers communications,"toronto, canada"
banking,1856,5,m&t bank,"buffalo, new york"
health care equipment & services,1979,11,boston scientific,"marlborough, massachusetts"
utilities,1886,14,edison international,"rosemead, california"
transportation,1929,23,financiere de l'odet,"paris, france"
banking,2002,10,sumitomo mitsui trust,"tokyo, japan"
utilities,1913,11,entergy,"new orleans, louisiana"
telecommunications services,1998,12,swisscom,"worblaufen, switzerland"
utilities,1997,38,enbw-energie baden,"karlsruhe, germany"
technology hardware & equipment,2001,13,hikvision,"hangzhou, china"
transportation,1885,19,nippon yusen,"tokyo, japan"
"semiconductors, electronics, electrical engineering, technology hardware & equipment",1843,16,stanley black & decker,"new britain, connecticut"
oil & gas operations,1906,17,oneok,"tulsa, oklahoma"
travel & leisure,1927,13,marriott international,"bethesda, maryland"
media,2022,12,warner bros discovery,"new york, new york"
business services & supplies,1993,32,sf holding,"shenzhen, china"
transportation and logistics,1924,35,delta air lines,"atlanta, georgia"
oil & gas operations,1928,43,bharat petroleum,"mumbai, india"
oil & gas operations,1919,16,halliburton,"houston, texas"
construction,2008,77,metallurgical corp of china,"beijing, china"
banking,1889,6,northern trust,"chicago, illinois"
construction,1874,22,heidelbergcement,"heidelberg, germany"
materials,1971,16,china steel,"kaohsiung city, taiwan"
utilities,1996,9,eversource energy,"hartford, connecticut"
capital goods,1994,17,sany heavy industry,"beijing, china"
retail and wholesale,1837,10,hermes international,"paris, france"
materials,1898,21,international paper,"memphis, tennessee"
oil & gas operations,1963,38,koc holding,"istanbul, turkey"
capital goods,1973,17,nidec,"kyoto, japan"
it software & services,2010,27,meituan,"beijing, china"
diversified financials,1985,7,kotak mahinbank,"mumbai, india"
materials,1906,10,teck resources,"vancouver, canada"
transportation and logistics,1967,15,southwest airlines,"dallas, texas"
diversified financials,1990,5,deutsche boerse,"eschborn, germany"
health care equipment & services,1978,16,labcorp,"burlington, north carolina"
telecommunications services,2014,13,china tower corp,"beijing, china"
oil & gas operations,2006,11,inpex,"tokyo, japan"
"food, soft beverages, alcohol & tobacco",2016,16,coca-cola european partners,"uxbridge, united kingdom"
"food, drink & tobacco",1998,8,wuliangye yibin,"yibin, china"
construction,2004,21,shimao property holdings,"hong kong, hong kong"
oil & gas operations,1911,54,idemitsu kosan,"tokyo, japan"
oil & gas operations,1992,22,formosa petrochemical,"taipei, taiwan"
diversified financials,1994,6,crown castle international,"houston, texas"
utilities,1997,11,firstenergy,"akron, ohio"
household & personal products,1995,27,rongsheng petrochemical,"hangzhou, china"
materials,1958,24,hindalco industries,"mumbai, india"
banking,1996,8,bank of hangzhou,"hangzhou, china"
consumer durables,1898,54,renault,"boulogne-billancourt, france"
"food, drink & tobacco",1998,7,international holding company,"abu dhabi, united arab emirates"
insurance,1950,9,cincinnati financial,"fairfield, ohio"
construction,1937,12,mitsubishi estate,"tokyo, japan"
"construction, oil & gas operations, mining and chemicals",1847,22,cleveland-cliffs,"cleveland, ohio"
construction,1997,32,grupo acs,"madrid, spain"
utilities,2014,12,cgn power,"shenzhen, china"
semiconductors,1984,21,ase technology holding,"kaohsiung city, taiwan"
materials,2002,36,jfe holdings,"tokyo, japan"
utilities,1996,15,dte energy,"detroit, michigan"
materials,1994,17,china hongqiao group,"binzhou, china"
semiconductors,2006,11,nxp semiconductors,"eindhoven, netherlands"
"semiconductors, electronics, electrical engineering, technology hardware & equipment",1970,18,western digital,"san jose, california"
business services & supplies,1996,11,booking holdings,"norwalk, connecticut"
food markets,1926,78,aeon,"chiba, japan"
banking,1985,5,first republic bank,"san francisco, california"
it software & services,2005,9,lufax holding,"shanghai, china"
"engineering, manufacturing",1873,12,atlas copco,"nacka, sweden"
"it, internet, software & services",2006,13,fidelity national information fis,"jacksonville, florida"
chemicals,2005,34,mitsubishi chemical,"tokyo, japan"
utilities,1976,17,edp-energias de portugal,"lisbon, portugal"
technology hardware & equipment,1959,16,kyocera,"kyoto, japan"
trading companies,1998,109,xiamen c&d,"xiamen, china"
retailing,1979,15,autozone,"memphis, tennessee"
insurance,1931,40,china taiping insurance,"hong kong, hong kong"
oil & gas operations,1881,37,cenovus energy,"calgary, canada"
oil & gas operations,1948,17,neste,"espoo, finland"
consumer durables,1930,151,porsche automobil holding,"stuttgart, germany"
"clothing, shoes, sports equipment",1947,23,h&m - hennes & mauritz,"stockholm, sweden"
business services & supplies,1903,10,relx,"london, united kingdom"
utilities,1995,20,pg&e,"san francisco, california"
business services & supplies,1998,11,republic services,"phoenix, arizona"
retailing,1982,18,ross stores,"dublin, california"
utilities,1981,8,wec energy group,"milwaukee, wisconsin"
retail and wholesale,1971,171,cardinal health,"dublin, delaware"
retailing,1993,31,carmax,"richmond, virginia"
banking,2001,12,china development financial,"taipei, taiwan"
banking,1983,3,riyad bank,"riyadh, saudi arabia"
media & advertising,2008,6,thomson reuters,"eagan, minnesota"
oil & gas operations,1993,14,transneft,"moscow, russia"
trading companies,1887,22,ferguson,"wokingham, united kingdom"
drugs & biotechnology,1982,13,iqvia,"durham, north carolina"
diversified financials,2000,2,hong kong exchanges,"hong kong, hong kong"
"construction, oil & gas operations, mining and chemicals",1883,17,ppg,"pittsburgh, pennsylvania"
technology hardware & equipment,1984,76,legend holding,"beijing, china"
business services & supplies,1923,12,ecolab,"saint paul, minnesota"
drugs & biotechnology,2003,80,sinopharm group,"shanghai, china"
technology hardware & equipment,2004,23,luxshare precision industry,"dongguan, china"
construction,1996,26,seazen group,"shanghai, china"
business services & supplies,2000,8,global payments,"atlanta, georgia"
construction,2014,49,china energy engineering,"beijing, china"
aerospace & defense,1984,17,safran,"paris, france"
business services & supplies,1888,8,s&p global,"new york, new york"
banking,1866,6,huntington bank,"columbus, ohio"
insurance,1995,8,arch capital group,"pembroke, bermuda"
diversified financials,,8,jackson financial,"lansing, michigan"
banking,1902,5,bank leumi,"tel aviv, israel"
conglomerates,1885,14,trane technologies,"dublin, ireland"
utilities,1853,33,veolia environnement,"paris, france"
retailing,1957,13,o'reilly automotive,"springfield, missouri"
drugs & biotechnology,1978,10,biogen,"cambridge, massachusetts"
media,1926,13,publicis groupe,"paris, france"
trading companies,1952,46,hanwha,"seoul, south korea"
"construction, oil & gas operations, mining and chemicals",2004,12,the mosaic company,"tampa, florida"
telecommunications services,1995,15,bharti airtel,"new delhi, india"
transportation,2004,11,daqin railway,"datong, china"
it software & services,2009,17,uber,"san francisco, california"
"semiconductors, electronics, electrical engineering, technology hardware & equipment",1987,12,stmicroelectronics,"geneva, switzerland"
construction,1988,14,gemdale,"shenzhen, china"
insurance,1824,14,ageas,"brussels, belgium"
technology hardware & equipment,1988,40,quanta computer,"taoyuan, taiwan"
food markets,1882,43,george weston,"toronto, canada"
diversified financials,1900,10,weyerhaeuser,"federal way, washington"
utilities,1915,52,korea electric power,"naju, south korea"
media,2015,13,fox,"new york, new york"
capital goods,1934,34,mitsubishi heavy industries,"tokyo, japan"
"engineering, manufacturing",1993,20,steel dynamics,"fort wayne, indiana"
technology hardware & equipment,1972,6,keyence,"osaka, japan"
semiconductors,2000,11,longi green energy technology,"xi'an, china"
household & personal products,1823,18,reckitt benckiser group,"slough, united kingdom"
materials,1973,14,coal india,"kolkata, india"
consumer durables,1949,35,aisin seiki,"kariya, japan"
diversified financials,2004,4,digital realty trust,"austin, texas"
consumer durables,1945,39,tata motors,"mumbai, india"
banking,2001,7,resona holdings,"tokyo, japan"
diversified financials,1993,5,simon property group,"indianapolis, indiana"
banking,1961,9,industrial bank of korea,"seoul, south korea"
utilities,1901,10,clp holdings,"hong kong, hong kong"
banking,1952,3,national bank of kuwait,"kuwait city, kuwait"
telecommunications services,1879,11,singtel,"singapore, singapore"
it software & services,2012,7,coinbase,"san francisco, california"
utilities,1882,8,centerpoint energy,"houston, texas"
materials,1997,7,saudi arabian mining,"riyadh, saudi arabia"
diversified financials,1999,10,china cinda asset management,"beijing, china"
chemicals,1931,21,asahi kasei,"tokyo, japan"
technology hardware & equipment,1899,27,nec,"tokyo, japan"
transportation,1968,29,united airlines holdings,"chicago, illinois"
"hotels, restaurants & leisure",1986,9,mgm resorts,"las vegas, nevada"
materials,1902,10,dsm,"heerlen, netherlands"
telecommunications services,1965,10,telkom indonesia,"jakarta, indonesia"
oil & gas operations,1999,34,pkn orlen,"p ock, poland"
diversified financials,1999,6,guotai junan securities,"wanchai, china"
materials,1905,16,norsk hydro,"oslo, norway"
chemicals,1954,9,formosa plastics,"kaohsiung city, taiwan"
utilities,1989,26,nrg energy,"houston, texas"
banking,1966,4,public bank,"kuala lumpur, malaysia"
technology hardware & equipment,1981,25,tcl,"huizhou, china"
diversified financials,1990,6,huatai securities,"nanjing, china"
"food, soft beverages, alcohol & tobacco",1906,14,kellogg,"battle creek, michigan"
"food, drink & tobacco",,16,inner mongolia yili,"hohhot, china"
media,1971,17,wpp,"london, united kingdom"
media,1986,14,omnicom group,"new york, new york"
construction,1960,23,sekisui house,"osaka, japan"
oil & gas operations,1983,17,cheniere energy,"houston, texas"
capital goods,1862,11,sandvik,"stockholm, sweden"
chemicals,1913,16,siam cement,"bangkok, thailand"
transportation,1987,17,east japan railway,"tokyo, japan"
banking,1985,4,abu dhabi commercial bank,"abu dhabi, united arab emirates"
banking,1997,10,huishang bank,"hefei, china"
consumer durables,1984,20,great wall motor,"baoding, china"
diversified financials,1988,7,haitong securities,"shanghai, china"
consumer durables,1969,17,dongfeng motor group,"wuhan, china"
insurance,1996,25,china reinsurance group,"beijing, china"
construction,1976,3,henderson land,"hong kong, hong kong"
technology hardware & equipment,1970,11,samsung sdi,"yongin, south korea"
utilities,1987,7,fortis canada,"st. john's, canada"
telecommunications services,1984,14,sk telecom,"seoul, south korea"
diversified financials,1977,8,hal trust,"willemstad, netherlands"
diversified financials,1979,2,banco btg pactual,"rio de janeiro, brazil"
"construction, oil & gas operations, mining and chemicals",1987,20,baker hughes company,"houston, texas"
insurance,2016,8,gallagher,"rolling meadows, illinois"
insurance,1999,11,everest re group,"hamilton, bermuda"
technology hardware & equipment,1932,10,amphenol,"wallingford, connecticut"
transportation and logistics,1930,34,american airlines group,"fort worth, texas"
"it, internet, software & services",1997,8,kla,"milpitas, california"
drugs & biotechnology,2005,11,astellas pharma,"tokyo, japan"
drugs & biotechnology,1950,13,otsuka holding,"tokyo, japan"
banking,2005,10,china bohai bank,"tianjin, china"
banking,1993,8,kasikornbank,"bangkok, thailand"
banking,1921,5,bank hapoalim,"tel aviv, israel"
oil & gas operations,1954,7,woodside petroleum,"perth, australia"
transportation,2000,6,mtr,"hong kong, hong kong"
oil & gas operations,1950,17,tatneft,"almetyevsk, russia"
business services & supplies,1986,10,power finance,"new delhi, india"
drugs & biotechnology,1952,7,zoetis,"parsippany, new jersey"
drugs & biotechnology,1897,5,lonza group,"basel, switzerland"
construction,1992,22,eiffage,"velizy-villacoublay, france"
chemicals,1913,24,sumitomo chemical,"tokyo, japan"
drugs & biotechnology,1989,7,vertex pharmaceuticals,"boston, massachusetts"
utilities,,19,constellation energy,"baltimore, maryland"
construction,2000,16,cifi holdings group,"shanghai, china"
banking,2010,9,raiffeisen bank international,"vienna, austria"
consumer durables,1911,22,whirlpool,"benton harbor, michigan"
capital goods,1866,32,siemens energy,"munich, germany"
materials,2015,19,westrock,"atlanta, georgia"
insurance,1952,18,samsung fire & marine,"seoul, south korea"
materials,1901,20,us steel,"pittsburgh, pennsylvania"
materials,1978,11,upm-kymmene,"helsinki, finland"
chemicals,1965,13,formosa chemicals,"changhua, taiwan"
oil & gas operations,1962,40,sk innovation,"seoul, south korea"
telecommunications services,1966,10,telia,"solna, sweden"
insurance,2004,20,t&d holdings,"tokyo, japan"
insurance,1935,23,mapfre,"majadahonda, spain"
it software & services,1976,11,hcl technologies,"noida, india"
construction,1949,8,sumitomo realty,"tokyo, japan"
chemicals,1986,11,westlake chemical,"houston, texas"
diversified financials,1990,4,apollo global management,"new york, new york"
business services & supplies,1997,9,united rentals,"stamford, connecticut"
oil & gas operations,2007,6,diamondback energy,"midland, texas"
"engineering, manufacturing",1853,14,otis worldwide,"farmington, connecticut"
banking,2008,8,chongqing rural bank,"chongqing, china"
materials,1880,13,ball,"westminster, colorado"
materials,1996,12,stora enso,"helsinki, finland"
transportation,,11,yang ming marine transport,"keelung, taiwan"
insurance,1857,33,phoenix group holdings,"london, united kingdom"
it software & services,1945,10,wipro,"bengaluru, india"
utilities,1989,5,power grid of india,"gurgaon, india"
banking and financial services,1991,9,absa group,"johannesburg, south africa"
materials,1934,16,novolipetsk steel,"moscow, russia"
capital goods,1911,30,sumitomo electric,"osaka, japan"
insurance,,24,st james's place,"cirencester, united kingdom"
construction,1947,12,grasim industries,"mumbai, india"
diversified financials,1920,751,segro,"london, united kingdom"
diversified financials,2002,2,mega financial holding,"taipei, taiwan"
retailing,2008,27,zhongsheng group holdings,"dalian, china"
insurance,2002,15,shin kong financial,"taipei, taiwan"
utilities,1987,7,cenergy,"jackson, michigan"
conglomerates,1957,8,quinenco,"las condes, chile"
chemicals,2007,18,evonik industries,"essen, germany"
it software & services,2004,2,east money information,"shanghai, china"
insurance,1886,13,qbe insurance group,"sydney, australia"
utilities,1949,12,tenaga nasional,"kuala lumpur, malaysia"
it software & services,1999,6,naver,"seongnam, south korea"
technology hardware & equipment,1935,16,tdk,"tokyo, japan"
diversified financials,1925,12,nomura,"tokyo, japan"
construction,1987,15,jinke property group,"chongqing, china"
utilities,1951,47,tokyo electric power,"tokyo, japan"
"it, internet, software & services",1984,20,cdw,"vernon hills, illinois"
"food, soft beverages, alcohol & tobacco",1894,9,the hershey company,"derry township, pennsylvania"
"food, drink & tobacco",1910,7,itc,"kolkata, india"
oil & gas operations,1976,18,pgnig group,"warsaw, poland"
telecommunications services,1994,12,mtn group,"roodepoort, south africa"
"hotels, restaurants & leisure",1994,24,compass group,"chertsey, united kingdom"
insurance,1967,9,wr berkley,"greenwich, connecticut"
business services & supplies,1909,6,moody's,"new york, new york"
trading companies,1928,19,genuine parts,"atlanta, georgia"
transportation,2007,4,beijing-shanghai high-speed railway,"beijing, china"
materials,2001,41,aluminum corp of china,"beijing, china"
utilities,1951,26,kansai electric power,"osaka, japan"
diversified financials,1972,3,public storage,"glendale, california"
business services & supplies,1984,10,china international travel service,"beijing, china"
chemicals,1910,10,sika,"baar, switzerland"
banking,2000,2,signature bank,"new york, new york"
diversified financials,1937,7,t rowe price,"baltimore, maryland"
household & personal products,1833,11,international flavors & fragrances,"new york, new york"
transportation,1982,6,atlantia,"rome, italy"
conglomerates,1981,6,roper technologies,"sarasota, florida"
transportation,1993,5,shanghai international port,"shanghai, china"
drugs & biotechnology,2005,9,daiichi sankyo,"tokyo, japan"
business services & supplies,1997,15,rakuten,"tokyo, japan"
diversified financials,1947,8,franklin resources,"san mateo, california"
banking,1783,8,bank of ireland,"dublin, ireland"
transportation,1942,10,mitsui osk lines,"tokyo, japan"
banking,1978,2,saudi british bank,"riyadh, saudi arabia"
utilities,1902,6,ameren,"st. louis, missouri"
"telecommunications services, cable supplier",1996,7,chunghwa telecom,"teipei city, taiwan"
capital goods,1994,11,assa abloy,"stockholm, sweden"
"telecommunications services, cable supplier",1985,17,zte,"shenzhen, china"
insurance,2000,11,asr nederland,"utrecht, netherlands"
"food, drink & tobacco",1919,11,conagra brands,"chicago, illinois"
banking,1870,14,commerzbank,"frankfurt, germany"
conglomerates,2007,8,bajaj finserv,"pune, india"
materials,1953,20,hyundai steel,"inchon, south korea"
trading companies,1985,26,lg display,"seoul, south korea"
telecommunications services,1981,21,kt,"seongnam, south korea"
construction,2010,12,logan property holdings,"shenzhen, china"
utilities,1903,8,public service enterprise group,"newark, new jersey"
materials,2002,14,en group international,"kaliningrad, russia"
banking,1924,12,isbank,"istanbul, turkey"
transportation,1979,16,expeditors international,"seattle, washington"
materials,1961,16,ternium,"luxembourg, luxembourg"
utilities,1992,10,cez group,"prague, czech republic"
consumer durables,1916,21,isuzu motors,"yokohama, japan"
semiconductors,2002,9,renesas electronics,"tokyo, japan"
banking and financial services,1961,16,unipol gruppo,"bologna, italy"
diversified financials,1999,5,sbi holdings,"tokyo, japan"
consumer durables,1985,13,techtronic industries,"hong kong, hong kong"
transportation,1952,8,ferrovial,"madrid, spain"
banking,1924,5,cimb group holdings,"kuala lumpur, malaysia"
construction,1910,12,kone,"helsinki, finland"
retailing,1993,21,e-mart,"seoul, south korea"
diversified financials,1991,5,gf securities,"guangzhou, china"
diversified financials,1991,5,china merchants securities,"shenzhen, china"
diversified financials,1996,731,annaly capital management,"new york, new york"
food markets,1914,29,coles group,"melbourne, australia"
transportation,1987,8,central japan railway,"nagoya, japan"
diversified financials,1966,10,sabanci holding,"istanbul, turkey"
diversified financials,2002,5,yuanta financial holding,"taipei, taiwan"
diversified financials,2003,24,antarchile,"las condes, chile"
transportation,,12,hmm,"seoul, south korea"
technology hardware & equipment,1978,12,seagate technology,"dublin, ireland"
insurance,1929,12,alleghany,"new york, new york"
diversified financials,1994,3,guosen securities,"shenzhen, china"
business services & supplies,1946,9,avis budget group,"parsippany, new jersey"
materials,1997,68,jiangxi copper,"nanchang, china"
business services & supplies,1971,14,mitsubishi ufj lease,"tokyo, japan"
materials,1950,10,sumitomo metal mining,"tokyo, japan"
technology hardware & equipment,1989,19,asustek computer,"taipei, taiwan"
"food, drink & tobacco",1935,19,associated british foods,"london, united kingdom"
utilities,2008,9,china national nuclear power,"beijing, china"
diversified financials,1995,3,china international capital,"beijing, china"
materials,2006,26,china molybdenum,"luoyang, china"
diversified financials,1859,11,equitable holdings,"new york, new york"
"construction, oil & gas operations, mining and chemicals",2015,18,covestro,"leverkusen, germany"
diversified financials,2018,23,m&g,"london, united kingdom"
"it, internet, software & services",2006,4,shopify,"ottawa, canada"
construction,1994,43,shanghai construction,"shanghai, china"
household & personal products,1929,14,essity,"stockholm, sweden"
trading companies,1927,13,ww grainger,"lake forest, illinois"
banking,1906,12,canara bank,"bangalore, india"
drugs & biotechnology,1961,17,viatris,"canonsburg, pennsylvania"
utilities,1886,3,american water works,"camden, new jersey"
semiconductors,1980,7,united microelectronics,"hsinchu, taiwan"
"clothing, shoes, sports equipment",1899,11,vf,"denver, colorado"
health care equipment & services,1995,5,intuitive surgical,"sunnyvale, california"
oil & gas operations,1941,3,snam,"milan, italy"
capital goods,1945,18,vestas wind systems,"aarhus, denmark"
consumer durables,1953,25,subaru,"tokyo, japan"
construction,1998,14,jiangsu zhongnan construction group,"shanghai, china"
"food, drink & tobacco",1847,10,carlsberg,"copenhagen, denmark"
construction,1998,19,builders firstsource,"dallas, texas"
semiconductors,2000,5,semiconductor manufacturing international,"shanghai, china"
banking,1919,4,pko bank polski,"warsaw, poland"
oil & gas operations,1992,14,enn energy holdings,"langfang, china"
"food, drink & tobacco",2006,27,wh group,"hong kong, hong kong"
materials,1860,13,amcor,"warmley, united kingdom"
oil & gas operations,1983,24,korea gas,"daegu, south korea"
conglomerates,1968,8,jefferies financial,"new york, new york"
materials,1955,11,severstal,"cherepovets, russia"
diversified financials,1994,2,alexandria real estate equities,"pasadena, california"
banking,1890,5,julius baer group,"zurich, switzerland"
diversified financials,1918,14,sanlam,"bellville, south africa"
construction,1997,7,emaar properties,"dubai, united arab emirates"
banking,1955,3,joint stock commercial bank for foreign trade of vietnam,"ha noi, vietnam"
aerospace & defense,2011,8,motorola solutions,"chicago, illinois"
banking,2005,5,shanghai rural commercial bank,"shanghai, china"
chemicals,2002,19,braskem,"butanta, brazil"
banking,1957,12,bank of baroda,"vadodara, india"
oil & gas operations,1976,24,s-oil,"seoul, south korea"
retailing,1938,13,tractor supply,"brentwood, tennessee"
