rank,name,in_2021_ranking,in_2020_ranking,country,sector,absolute_growth_rate_%,compound_annual_growth_rate_(cagr)_%,revenue_2020_(),revenue_2017_(),number_of_employees_2020,number_of_employees_2017,founding_year
1,swappie,no,no,finland,technology,"19,152.82",477.43,"97,611,814","507,000",218,1,2016
2,kilo health,no,no,lithuania,health,"16,541.73",450.05,"57,318,766","344,428",177,10,2013
3,oci,no,no,uk,financial services,"13,133.13",409.59,"568,322,073","4,325,512",32,4,2012
4,onlyfans,no,no,uk,technology,"11,928.05",393.63,"316,732,986","2,652,185",800,4,2016
5,enpal,no,no,germany,energy,"11,441.27",386.88,"56,109,613","486,165",365,9,2017
6,consulting,no,no,germany,waste management & recycling,"8,624.23",343.52,"13,165,586","150,908",9,2,2017
7,thriva,no,no,uk,health,"7,396.77",321.66,"18,732,563","251,668",57,12,2015
8,exotec,no,no,france,industrial goods,"6,635.11",306.86,"47,597,000","706,700",200,15,2015
9,winelivery,no,no,italy,ecommerce,"6,480.53",303.73,"7,337,290","111,500",10,1,2015
10,instabox,no,no,sweden,technology,"6,287.13",299.73,"24,484,879","392,055",117,5,2015
11,waterdrop,no,no,austria,food & beverage,"5,957.94",292.74,"41,205,930","680,197",180,12,2016
12,one lease,no,no,france,support services,"5,790.52",289.09,"9,015,211","153,046",11,2,2016
13,datlas,no,no,italy,technology,"5,713.76",287.39,"9,034,926","155,406",251,13,2017
14,zego,no,no,uk,fintech,"5,242.60",276.63,"12,158,046","229,201",224,36,2016
15,hcl-logistics,no,no,germany,transport,"4,682.15",262.97,"11,387,156","238,118",24,5,2017
16,popsa,no,no,uk,technology,"4,649.68",262.15,"21,455,864","454,975",34,4,2016
17,unit8,no,no,switzerland,technology,"4,377.53",255.10,"7,234,981","149,397",41,2,2017
18,luoto company,no,no,finland,technology,"4,303.97",253.14,"14,338,668","325,585",49,6,2016
19,journi print,no,no,austria,ecommerce,"4,165.75",249.41,"6,851,839","160,624",29,9,2014
20,portify,no,no,france,support services,"4,118.60",248.11,"11,583,215","274,575",228,23,2017
21,tibber,no,no,norway,energy,"4,104.02",247.71,"30,886,935","782,918",45,8,2015
22,rascal industry,no,no,poland,fashion,"4,029.49",245.65,"9,008,822","238,451",18,6,2013
23,pegaso security,no,no,italy,support services,"3,943.64",243.23,"8,375,180","207,120",509,20,2017
24,tide,no,no,uk,fintech,"3,801.56",239.17,"16,136,633","416,562",581,72,2016
25,euro top brand,no,no,italy,retail,"3,726.04",236.96,"13,888,900","363,010",1,1,2017
26,bold security group,no,no,uk,support services,"3,356.60",225.75,"6,238,378","181,772",26,6,2011
27,play magnus group,no,no,norway,games industry,"2,967.63",213.04,"6,461,790","214,673",140,10,2013
28,blue whale growth fund,no,no,uk,financial services,"2,957.41",212.69,"5,189,391","170,950",7,1,2016
29,kazidomi,no,no,belgium,ecommerce,"2,950.29",212.45,"8,042,499","263,663",65,3,2016
30,sun finance,yes,no,latvia,fintech,"2,899.26",210.70,"121,306,296","4,044,537",800,90,2012
31,credimi,no,no,italy,financial services,"2,859.83",209.33,"11,301,520","381,830",56,21,2015
32,sirplus,no,no,germany,retail,"2,828.22",208.23,"4,540,000","155,043",133,8,2017
33,aihr | academy to innovate hr,no,no,the netherlands,education,"2,752.08",205.53,"3,584,553","125,682",31,6,2016
34,logistics capital partners lcp,no,no,luxembourg,property,"2,744.13",205.25,"210,563,743","7,403,458",27,9,2015
35,sudwest invest,no,no,germany,property,"2,660.84",202.24,"5,820,402","210,820",10,2,2017
36,corade plurimmo,no,no,france,property,"2,646.07",201.70,"56,018,731","2,039,961",7,7,2000
37,carranco,no,no,spain,food & beverage,"2,589.10",199.60,"4,176,440","155,310",5,4,2006
38,telemedi,no,no,poland,health,"2,572.52",198.98,"4,452,513","182,100",50,10,2014
39,inkitt,no,no,germany,technology,"2,480.16",195.49,"5,926,970","229,713",56,22,2014
40,hktrading,no,no,italy,retail,"2,438.64",193.90,"5,721,590","225,380",2,1,2016
41,attest,no,no,uk,technology,"2,424.14",193.34,"4,864,178","194,090",124,16,2015
42,lgm immobilier,no,no,france,property,"2,416.78",193.05,"2,549,778","101,311",11,na,2016
43,wolfram chain,no,no,the netherlands,management consulting,"2,314.21",189.02,"2,431,371","100,711",29,7,2017
44,rightnow,no,no,germany,technology,"2,256.98",186.72,"8,951,132","379,771",38,3,2017
45,eo charging,yes,no,uk,technology,"2,182.00",183.64,"17,158,962","757,323",63,7,2014
46,chetariffait,no,no,italy,support services,"2,164.85",182.93,"2,495,860","110,200",9,2,2013
47,simply,no,no,uk,financial services,"2,131.19",181.52,"16,483,836","744,092",90,26,2017
48,salary finance,no,no,uk,fintech,"2,130.67",181.50,"8,593,220","387,995",187,24,2015
49,dbt,no,no,sweden,fintech,"2,090.34",179.79,"3,837,994","179,204",10,2,2017
50,tutlo,no,no,poland,education,"2,087.98",179.69,"7,778,203","388,565",140,15,2016
51,ponera,no,no,france,ecommerce,"2,082.38",179.45,"25,901,607","1,186,853",27,4,2013
52,active energy solutions,no,no,greece,energy,"1,979.82",175.01,"13,312,033","640,056",2,0,2014
53,acteam enr,no,no,france,energy,"1,966.73",174.43,"2,133,691","103,240",8,2,2012
54,everflow,yes,no,uk,technology,"1,928.53",172.73,"64,223,085","3,188,715",70,8,2015
55,azure prism,no,no,uk,retail,"1,909.48",171.87,"4,752,777","238,216",1,1,2016
56,wr logistics,no,no,germany,transport,"1,892.58",171.11,"11,662,200","585,280",7,2,2017
57,iproov,no,no,uk,technology,"1,889.07",170.95,"7,435,887","376,519",61,14,2011
58,spin up,no,no,italy,advertising,"1,865.84",169.89,"4,009,330","203,950",5,1,2017
59,begreat,no,no,germany,retail,"1,803.65",167.01,"5,141,555","270,090",16,4,2012
60,tsunami nutrition,no,no,italy,ecommerce,"1,782.11",166.00,"6,945,000","369,000",17,2,2017
61,matt sleeps,no,no,the netherlands,interiors,"1,729.53",163.50,"9,789,240","535,070",6,2,2016
62,tessian,no,no,uk,technology,"1,702.70",162.21,"15,365,580","858,482",138,28,2013
63,solarisbank,no,no,germany,financial services,"1,690.63",161.62,"35,938,000","2,007,000",369,98,2016
64,m2dg myflexoffice,no,no,france,support services,"1,666.64",160.45,"6,630,617","375,323",21,2,2016
65,eukon,no,no,italy,health,"1,664.65",160.35,"6,393,680","362,320",11,2,2004
66,evolution adv,no,no,italy,advertising,"1,659.07",160.07,"14,175,780","805,870",13,3,2016
67,making science,yes,yes,spain,technology,"1,644.00",159.33,"57,670,541","3,306,795",274,47,2001
68,everli,yes,yes,italy,ecommerce,"1,637.55",159.01,"109,248,030","6,287,460",207,45,2014
69,appfollow,no,no,finland,technology,"1,624.69",158.37,"2,210,636","128,176",73,12,2014
70,synerise,no,no,poland,technology,"1,613.70",157.82,"3,999,023","255,062",190,40,2013
71,chaikola,no,no,poland,food & beverage,"1,604.74",157.37,"5,158,786","330,763",8,4,2010
72,scolution,no,no,germany,technology,"1,598.31",157.04,"1,825,546","107,492",12,4,2015
73,jl&p,no,no,france,energy,"1,586.90",156.47,"2,212,606","131,164",15,3,2017
74,efarmacom,no,no,italy,pharmaceuticals,"1,579.82",156.11,"20,150,800","1,199,580",50,8,2017
75,elvie,yes,yes,uk,technology,"1,561.33",155.16,"40,813,930","2,474,341",138,22,2013
76,farmarelax,no,no,italy,personal & household goods,"1,546.97",154.43,"4,459,170","270,750",5,1,2010
77,omnisend,yes,no,uk,technology,"1,494.85",151.71,"11,761,268","742,746",99,20,2008
78,world trade group,no,no,italy,fashion,"1,459.11",149.82,"4,897,950","314,150",5,1,2017
79,besteam conseil,no,no,france,technology,"1,453.83",149.54,"3,871,782","249,176",32,2,2016
80,motorway,no,no,uk,automobiles,"1,420.90",147.76,"4,838,407","320,411",96,5,2016
81,iso public services,no,no,germany,technology,"1,389.24",146.03,"10,019,903","672,821",26,0,2014
82,octopus energy,yes,no,uk,energy,"1,368.58",144.89,"2,120,071,949","145,398,192",918,106,2015
83,cyberiam,no,no,uk,cyber security,"1,367.04",144.80,"5,639,335","387,161",82,8,2017
84,cbweed,no,no,italy,personal & household goods,"1,328.57",142.64,"3,500,000","245,000",17,2,2017
85,catraport,no,no,portugal,automobiles,"1,306.55",141.39,"7,294,549","518,613",46,18,2015
86,ouihelp,no,no,france,support services,"1,304.85",141.29,"3,686,617","262,421",106,13,2016
87,inpay,yes,no,denmark,fintech,"1,298.53",140.93,"23,803,000","1,702,000",67,33,2013
88,mgi meccaniche generali irpine,no,no,italy,industrial goods,"1,283.67",140.07,"2,610,700","188,680",10,4,2017
89,glencar construction,yes,no,uk,construction,"1,269.90",139.27,"107,860,442","7,930,094",80,7,2016
90,qmee,yes,no,uk,technology,"1,268.04",139.17,"12,571,314","925,527",23,9,2010
91,myappfree,no,no,italy,advertising,"1,264.72",138.97,"5,764,870","422,420",10,1,2015
92,investa dienstleistungen,no,no,germany,support services,"1,262.58",138.85,"2,176,136","159,707",55,8,2014
93,polarium energy solutions,yes,no,sweden,batteries,"1,257.04",138.52,"74,065,413","5,581,858",58,19,2014
94,baroni home,no,no,italy,ecommerce,"1,254.32",138.36,"1,531,358","113,072",5,4,2016
95,dayshape,no,no,uk,technology,"1,251.43",138.19,"3,320,479","247,465",45,6,2013
96,marketers company,no,no,italy,advertising,"1,249.94",138.11,"1,880,460","139,300",8,3,2016
97,easo magno,no,no,spain,beauty,"1,242.47",137.67,"3,061,854","228,076",5,2,2017
98,greyfood,no,no,germany,retail,"1,241.42",137.60,"9,187,050","684,874",10,1,2016
99,misfits health,no,no,uk,food & beverage,"1,234.31",137.18,"2,266,155","171,057",9,3,2016
100,meilleursbienscom,no,no,france,property,"1,225.70",136.67,"3,864,176","291,481",5,1,2010
101,fasanara capital,no,no,uk,financial services,"1,216.25",136.11,"11,527,860","882,099",36,5,2011
102,ntechlab,no,no,cyprus,technology,"1,214.76",136.02,"8,730,000","664,000",122,44,2015
103,babylino sensitive,no,no,italy,personal & household goods,"1,211.43",135.82,"2,851,840","217,460",5,2,2016
104,fastned,yes,no,the netherlands,technology,"1,198.37",135.03,"6,890,000","530,667",54,24,2012
105,oxray,no,no,portugal,health,"1,179.02",133.86,"5,465,756","427,339",6,2,2009
106,zega invest,no,no,germany,property,"1,163.47",132.91,"3,785,340","299,598",4,3,2017
107,abylon consulting,no,no,hungary,technology,"1,156.25",132.47,"1,721,315","159,128",7,2,2016
108,milrab,no,no,norway,ecommerce,"1,151.36",132.16,"79,302,201","6,753,191",77,20,2005
109,urbantz,no,no,belgium,technology,"1,150.62",132.12,"3,031,099","242,368",55,7,2015
110,tricas construction,no,no,uk,construction,"1,148.16",131.97,"15,880,745","1,281,462",32,6,2017
111,florence one,no,no,italy,technology,"1,137.06",131.28,"1,629,099","131,691",10,6,2017
112,ergotopia,no,no,germany,retail,"1,135.70",131.19,"7,664,825","620,283",35,8,2014
113,mculecom kft,yes,no,hungary,chemicals & pharmaceuticals,"1,133.10",131.03,"2,683,264","252,713",17,5,2011
114,filo,no,no,italy,technology,"1,132.04",130.96,"10,049,610","815,690",18,9,2014
115,homepal,no,no,italy,property,"1,131.09",130.90,"1,603,990","130,290",11,4,2014
116,staffbase,no,no,germany,technology,"1,121.82",130.32,"26,894,501","2,201,178",310,55,2014
117,ilon materiel,no,no,france,construction,"1,111.76",129.69,"2,512,300","207,327",4,2,2016
118,bio-marine,no,no,ireland,personal & household goods,"1,110.84",129.63,"1,612,837","133,200",25,7,2014
119,isodeco,no,no,france,construction,"1,103.81",129.18,"2,906,133","241,411",18,2,2016
120,treedom,no,no,italy,support services,"1,097.84",128.81,"6,709,720","560,150",42,18,2010
121,fenstermaxx24,no,no,germany,retail,"1,087.64",128.15,"8,466,121","712,855",20,3,2016
122,pohl & sohne gerustbau,no,no,germany,construction,"1,075.04",127.34,"2,124,763","180,824",31,7,2017
123,yso corp,no,no,france,media,"1,073.57",127.25,"6,689,503","570,012",13,3,2013
124,gyada cosmetics,no,no,italy,beauty,"1,072.49",127.18,"1,830,610","156,130",10,2,2017
125,privitar,yes,no,uk,technology,"1,068.59",126.93,"9,923,965","855,321",190,47,2014
126,delineate,no,no,uk,technology,"1,065.09",126.70,"3,332,661","288,095",25,1,2015
127,spyrosoft,yes,no,poland,technology,"1,061.67",126.48,"24,721,755","2,326,082",563,75,2016
128,bio energy solutions,no,no,slovakia,waste management & recycling,"1,057.21",126.19,"16,006,537","1,383,205",37,6,2014
129,increso,no,no,italy,management consulting,"1,049.47",125.68,"3,230,000","281,000",51,2,2015
130,lsg - logistic & service group,no,no,italy,transport,"1,041.38",125.15,"8,873,180","777,410",46,1,2016
131,energihem,no,no,sweden,construction,"1,033.39",124.63,"28,004,684","2,527,006",125,19,2015
132,amity,no,no,uk,technology,"1,019.79",123.72,"5,743,440","522,712",164,48,2012
133,goyago,no,no,germany,retail,"1,005.08",122.74,"3,729,920","337,525",43,4,2014
134,la regie de portage salarial,no,no,france,support services,"1,003.16",122.61,"7,638,731","692,440",140,23,2016
135,dall energy,yes,yes,denmark,energy,991.29,121.81,"6,013,000","551,000",15,5,2007
136,appinio,no,no,germany,technology,988.35,121.61,"3,597,000","330,500",44,5,2014
137,pinsami,no,no,italy,food & beverage,975.16,120.71,"4,892,000","455,000",33,14,2015
138,aer trading,no,no,france,retail,969.96,120.35,"17,575,388","1,643,572",1,1,2013
139,valumen,no,no,france,support services,968.54,120.26,"2,196,424","205,554",4,1,2014
140,follow,no,no,france,advertising,964.02,119.95,"6,844,818","643,299",14,4,2016
141,darpdecade,no,no,germany,retail,954.24,119.27,"6,624,660","628,384",173,4,2016
142,bolt,yes,yes,estonia,technology,949.32,118.93,"221,393,889","21,098,843",1798,399,2013
143,kiteworldshopcom,no,no,italy,ecommerce,941.48,118.38,"1,671,984","160,539",5,2,2014
144,peter kenkel,no,yes,germany,retail,938.81,118.20,"22,137,000","2,131,000",19,10,2006
145,templafy,yes,no,denmark,technology,937.64,118.11,"15,486,451","1,521,010",292,32,2014
146,comservice,no,no,italy,support services,935.17,117.94,"2,016,300","194,780",99,17,2014
147,falcor presse,no,no,italy,industrial goods,927.28,117.38,"2,996,770","291,720",5,1,2017
148,roomraccoon,no,no,the netherlands,technology,927.15,117.38,"1,715,334","167,000",40,8,2017
149,signaturit,yes,yes,spain,technology,921.07,116.95,"5,639,953","552,355",95,37,2013
150,modulr,no,no,uk,fintech,914.74,116.50,"12,789,098","1,269,382",191,31,2015
151,profishop,no,no,germany,ecommerce,909.37,116.11,"43,812,068","4,340,517",63,17,2012
152,floer,no,no,the netherlands,interiors,908.11,116.02,"2,520,013","249,975",15,2,2015
153,audiosalus,no,no,italy,retail,904.15,115.74,"1,569,480","156,300",12,4,2011
154,statsbomb,no,no,uk,technology,897.81,115.29,"2,027,170","204,620",26,2,2016
155,theras biocare,yes,no,italy,pharmaceuticals,888.84,114.64,"26,633,230","2,693,390",8,2,2013
156,stenn,no,no,uk,fintech,886.94,114.50,"29,615,571","3,058,141",61,32,2016
157,nanushka,yes,yes,hungary,fashion,884.55,114.33,"20,825,934","2,456,563",180,30,2012
158,dpm - deutsches personal management,yes,no,germany,support services,882.56,114.18,"2,267,760","230,800",60,10,2016
159,monese,no,no,uk,fintech,880.00,114.00,"18,196,451","1,870,109",243,84,2013
160,arquimea,yes,no,spain,technology,867.03,113.05,"72,044,361","7,450,099",288,40,2005
161,groupe perspective,no,no,france,education,866.15,112.98,"2,709,000","280,390",18,4,2013
162,funnel,yes,no,sweden,technology,866.06,112.98,"11,499,031","1,217,338",155,37,2014
163,living quarter,no,no,germany,health,847.68,111.62,"5,016,731","529,371",49,5,2015
164,svea solar,no,no,sweden,energy,842.47,111.23,"66,146,911","7,177,912",287,38,2013
165,bevcraft group,no,no,ireland,food & beverage,842.21,111.21,"4,046,859","429,505",16,6,2016
166,learning technologies group,yes,no,uk,technology,834.19,110.61,"19,446,429","2,096,570",932,767,2013
167,cura farma,no,no,italy,health,825.58,109.96,"4,436,220","479,290",9,2,2014
168,kamado bono,no,no,lithuania,personal & household goods,824.45,109.88,"6,801,734","735,758",7,2,2013
169,sipadan,no,no,spain,management consulting,823.89,109.83,"3,457,203","374,200",47,3,2007
170,dateio,no,no,czech republic,fintech,812.34,108.95,"4,710,733","530,785",45,18,2013
171,crest investment,yes,no,germany,property,811.16,108.86,"4,857,817","533,144",16,4,2016
172,componenti digitali,no,no,italy,retail,808.60,108.67,"2,805,850","308,810",19,2,2017
173,immo-konzepte,no,no,germany,property,797.40,107.81,"2,269,276","252,871",6,3,2006
174,swipbox,no,no,denmark,technology,792.08,107.40,"9,391,760","1,052,796",41,3,2014
175,nextory,no,no,sweden,media,790.71,107.29,"26,534,087","3,046,667",85,9,2015
176,itds polska,yes,no,poland,technology,789.96,107.23,"8,609,941","1,057,443",176,32,2016
177,savait,no,no,italy,ecommerce,787.93,107.07,"2,108,040","237,410",5,4,2015
178,adpone,yes,no,spain,advertising,786.15,106.94,"11,124,512","1,255,372",18,3,2015
179,nord security,no,no,lithuania,cyber security,785.05,106.85,"156,623,915","18,035,029",1000,350,2012
180,mews,yes,no,the netherlands,technology,784.47,106.81,"22,386,000","2,531,000",226,25,2012
181,titulae,no,no,spain,education,783.80,106.75,"4,870,863","551,128",35,9,2015
182,systemeio,no,no,ireland,ecommerce,780.26,106.48,"2,407,982","273,552",40,5,2016
183,eodh sa,no,no,greece,aerospace & defence,765.91,105.35,"2,597,612","299,988",30,20,2003
184,multix solutions,yes,no,italy,health,764.38,105.23,"11,586,460","1,340,430",5,2,2015
185,b2digit,no,no,france,technology,763.88,105.19,"1,978,128","228,982",12,2,2016
186,a million ads,no,no,uk,advertising,761.93,105.03,"4,882,837","570,564",47,5,2015
187,woodwatch,yes,no,the netherlands,retail,758.51,104.76,"5,590,390","651,170",25,5,2013
188,fenetres du doubs,no,no,france,construction,753.42,104.36,"2,238,347","262,280",12,3,2010
189,koesea,no,no,germany,construction,750.00,104.08,"3,400,000","400,000",65,3,2016
190,podium advanced technologies,yes,yes,italy,automobiles,744.97,103.68,"18,025,740","2,133,310",38,14,2011
191,spegra,no,no,croatia,construction,744.07,103.61,"17,059,791","2,025,879",166,109,2010
192,gpainnova,yes,yes,spain,industrial goods,739.66,103.25,"15,245,617","1,815,680",117,18,2013
193,soluzione tasse,no,no,italy,management consulting,736.20,102.97,"18,939,430","2,264,940",23,4,2016
194,velocultour,no,no,germany,retail,731.33,102.58,"2,458,500","295,731",15,2,2016
195,butorpiachu,no,no,hungary,ecommerce,731.00,102.55,"2,184,336","305,268",7,2,2011
196,success solutions,no,no,czech republic,technology,727.39,102.26,"2,633,664","327,218",44,8,2016
197,bug bite thing europe,no,no,denmark,health,722.29,101.84,"1,577,878","191,679",1,1,1989
198,dexatel,yes,yes,estonia,technology,721.49,101.78,"11,087,980","1,349,733",24,4,2015
199,gemco,no,no,italy,construction,718.65,101.54,"3,941,900","481,510",6,1,2015
200,lyonnaise de construction et renovation,no,no,france,construction,717.46,101.44,"6,640,842","812,371",,,2015
201,gousto,yes,yes,uk,food & beverage,713.62,101.13,"210,945,370","26,112,757",702,204,2012
202,winter in venice,no,no,uk,beauty,710.72,100.89,"12,682,062","1,575,522",6,4,2010
203,infratech bau,yes,yes,germany,construction,710.04,100.83,"60,067,088","7,415,334",72,18,2007
204,4streets building innovation tunnels bridges roads,no,no,italy,construction,708.86,100.74,"6,739,630","833,230",46,3,2016
205,landbay,yes,yes,uk,fintech,708.18,100.68,"8,980,496","1,119,178",95,31,2013
206,degoo,no,no,sweden,technology,708.03,100.67,"1,973,775","249,818",18,3,2012
207,franco fresco,yes,yes,germany,food & beverage,707.67,100.64,"50,723,858","6,280,267",320,52,2016
208,lendable,no,no,uk,fintech,707.63,100.63,"40,305,193","5,026,349",84,25,2014
209,ulrich muller wealth academy,no,no,germany,education,698.59,99.88,"3,516,744","440,369",6,2,2014
210,cerascreen,yes,yes,germany,health,698.46,99.87,"10,499,782","1,315,000",84,19,2012
211,eqinov,yes,no,france,energy,696.48,99.71,"70,183,744","8,811,708",43,24,2011
212,serre famiglia pederiva viticoltori dal 1958,no,no,italy,food & beverage,695.08,99.59,"9,022,020","1,134,730",12,7,1996
213,bloom & wild,no,no,uk,ecommerce,693.19,99.43,"155,595,726","19,757,296",170,68,2013
214,brautigam,no,no,germany,automobiles,693.15,99.43,"6,315,124","796,207",29,9,2016
215,newil & bau,yes,no,finland,construction,693.05,99.42,"19,420,672","2,448,858",7,1,2006
216,id finance,yes,yes,spain,fintech,687.67,98.97,"103,634,000","13,157,000",411,271,2015
217,kry,no,no,sweden,health,683.39,98.61,"77,764,611","10,152,222",600,74,2014
218,sixth sense,yes,no,italy,technology,682.63,98.54,"3,916,570","500,440",25,4,2015
219,nethive,yes,no,italy,cyber security,681.63,98.46,"3,960,770","506,730",19,7,2014
220,latitude investment management,no,no,uk,financial services,680.23,98.34,"1,750,466","225,964",8,3,2016
221,qred,yes,yes,sweden,fintech,679.70,98.29,"30,414,122","3,989,355",68,10,2015
222,oculavis,no,no,germany,technology,678.11,98.16,"3,924,472","504,357",55,15,2016
223,the information lab,no,no,italy,technology,675.86,97.97,"4,253,110","548,180",30,5,2015
224,md sonnenschutztechnik,no,no,germany,construction,675.34,97.92,"4,068,621","524,750",10,6,2015
225,syntio,no,no,croatia,technology,673.74,97.79,"2,127,532","274,966",43,7,2017
226,bomae,no,no,denmark,financial services,673.44,97.76,"1,662,487","214,713",13,3,2016
227,gophr,no,no,uk,technology,665.31,97.07,"5,738,336","755,191",18,6,2014
228,memory pc,yes,no,germany,retail,662.76,96.85,"57,375,000","7,522,000",110,20,2012
229,sollis solargrohandel,no,no,germany,retail,661.92,96.77,"11,860,100","1,556,607",6,2,2017
230,spotawheel,yes,no,greece,automobiles,660.16,96.62,"15,646,588","2,058,315",123,37,2015
231,ooni pizza ovens,yes,yes,uk,personal & household goods,656.17,96.28,"63,879,414","8,508,398",83,18,2012
232,robovox distributions,no,no,germany,retail,655.91,96.26,"19,427,000","2,570,000",35,10,2015
233,centralnic group,no,no,uk,technology,655.01,96.18,"197,260,279","26,626,422",650,92,2000
234,bernd andert transporte,no,no,germany,transport,651.57,95.88,"4,105,262","546,226",83,16,2003
235,bluewater bio,no,no,uk,technology,651.07,95.84,"20,201,424","2,708,983",18,16,2007
236,tecma solutions,yes,yes,italy,technology,650.65,95.80,"7,319,870","975,140",107,25,2012
237,delante,yes,no,poland,sales & marketing,645.92,95.39,"2,160,094","316,525",48,21,2015
238,intumind,yes,no,germany,health,641.45,95.00,"6,560,962","884,885",15,8,2015
239,saljol,no,no,germany,health,640.72,94.93,"4,146,403","559,778",15,10,2016
240,tkd solutions,no,no,germany,telecoms,639.39,94.82,"15,874,245","2,146,950",20,9,2014
241,kuori,no,no,finland,technology,635.85,94.50,"2,501,902","340,000",15,5,2016
242,ferroamp,yes,no,sweden,energy,635.77,94.50,"7,645,003","1,062,649",42,21,2010
243,valor real estate partners,no,no,uk,financial services,634.70,94.40,"4,534,588","621,636",23,6,2016
244,anexiti,no,no,france,technology,633.03,94.26,"2,565,735","350,019",14,2,2013
245,genius,no,no,france,support services,631.54,94.12,"2,417,902","330,522",23,6,2017
246,instilla,yes,no,italy,advertising,629.15,93.91,"2,993,310","410,520",31,3,2015
247,footdistrict,yes,yes,spain,ecommerce,628.49,93.85,"14,942,262","2,051,133",60,12,2012
248,spiideo,yes,no,sweden,technology,627.38,93.76,"4,799,358","674,805",36,12,2012
