rank,name,in_2021_ranking,in_2020_ranking,country,sector,absolute_growth_rate_%,compound_annual_growth_rate_(cagr)_%,revenue_2020_(),revenue_2017_(),number_of_employees_2020,number_of_employees_2017,founding_year
249,contractpodai,no,no,uk,technology,626.96,93.72,"4,875,622","670,685",118,14,2012
250,tarhan bauausfuhrungen,no,no,germany,construction,625.88,93.62,"1,851,000","255,000",15,5,2017
251,matillion,no,no,uk,technology,624.36,93.49,"24,580,709","3,417,815",218,44,2010
252,extra mile live service,no,no,germany,retail,623.62,93.42,"2,637,501","364,485",5,2,2017
253,littlebig connection,no,yes,france,support services,612.55,92.43,"111,538,883","15,653,388",173,17,2013
254,spc general service,yes,no,italy,construction,611.08,92.30,"6,788,660","954,700",50,15,2011
255,jobandtalent,yes,yes,spain,technology,608.12,92.03,"352,879,165","49,833,511",801,156,2008
256,financial house,no,no,uk,fintech,608.11,92.03,"18,766,625","2,669,247",20,14,2016
257,mylead,no,no,poland,sales & marketing,607.97,92.02,"2,004,501","309,471",42,8,2013
258,mia-platform,yes,yes,italy,technology,605.35,91.78,"6,515,510","923,730",74,15,2016
259,tecnimed,no,no,italy,health,604.94,91.74,"9,551,790","1,354,980",32,20,1976
260,longevity partners,no,no,uk,retail,601.43,91.42,"2,336,243","335,460",22,5,2015
261,nexumstp,yes,yes,italy,management consulting,601.37,91.42,"25,667,400","3,659,630",345,56,2015
262,g-on,no,no,france,support services,598.10,91.12,"1,810,459","259,342",16,3,2016
263,picnic,no,no,uk,advertising,590.77,90.45,"1,508,869","219,999",10,3,2016
264,egomnia,no,no,italy,technology,586.95,90.10,"1,901,140","276,750",36,2,2012
265,loyaltylion,no,no,uk,technology,586.89,90.09,"4,483,296","657,382",40,10,2012
266,remarkable,no,no,norway,technology,581.48,89.59,"115,793,390","18,106,514",142,22,2016
267,kubrick,yes,no,uk,management consulting,580.10,89.46,"32,614,354","4,829,922",673,119,2016
268,contrader,yes,no,italy,technology,579.81,89.44,"4,682,960","688,860",35,7,2012
269,samont,yes,no,germany,industrial goods,579.56,89.41,"19,577,339","2,880,891",89,39,2008
270,sirive,no,no,italy,construction,578.64,89.33,"4,527,690","667,170",5,1,2017
271,multienergia verde,no,no,spain,energy,576.76,89.15,"146,453,604","21,640,253",15,10,2014
272,wielandts upmt,no,no,belgium,technology,575.79,89.06,"1,529,270","226,295",6,1,2013
273,asket,no,no,sweden,fashion,573.05,88.81,"6,525,278","991,534",13,4,2015
274,central warehouse solution,no,no,czech republic,transport,569.09,88.44,"1,788,545","274,790",45,10,2015
275,chef in camicia,no,no,italy,advertising,566.63,88.20,"2,071,960","310,810",21,2,2015
276,piper homes,no,no,uk,construction,566.22,88.17,"30,436,232","4,601,266",28,9,2015
277,alturas cubiertas y fachadas,no,no,spain,construction,564.06,87.96,"9,375,243","1,411,811",33,12,2014
278,autosalon uhingen,no,no,germany,automobiles,563.94,87.95,"10,540,000","1,587,500",11,2,2015
279,yumi beauty,no,no,france,chemicals & pharmaceuticals,561.59,87.73,"2,678,257","404,819",5,1,2013
280,for me lab,no,no,france,ecommerce,556.12,87.21,"1,652,073","251,795",7,2,2016
281,stockholelbolag,no,no,sweden,energy,555.65,87.16,"32,265,912","5,033,032",25,7,2015
282,flohr,no,no,germany,waste management & recycling,555.52,87.15,"21,249,638","3,241,629",84,21,1999
283,agricodem,no,no,italy,agricultural commodities,554.25,87.03,"2,856,530","436,610",4,1,2008
284,dach schutzbekleidung,no,no,germany,industrial goods,552.07,86.82,"45,227,730","6,936,038",80,14,2005
285,em-tec energiemontagen,no,no,germany,construction,551.35,86.75,"3,002,729","461,000",16,7,2017
286,wave studio,no,no,romania,technology,550.00,86.63,"4,105,688","656,172",9,8,2014
287,bazzar,no,no,croatia,retail,548.14,86.45,"6,686,617","1,034,093",17,3,2013
288,cybersprint,yes,no,the netherlands,cyber security,548.05,86.44,"2,914,738","449,771",43,10,2015
289,brandon group,yes,no,italy,ecommerce,546.65,86.30,"32,039,000","4,954,590",34,19,2012
290,feiniko handelsgesellschaft,yes,yes,germany,retail,546.03,86.24,"32,168,909","4,979,484",13,1,2014
291,pharmagrin,no,no,italy,health,539.22,85.59,"2,701,410","422,610",21,2,2015
292,life m,no,no,czech republic,technology,538.99,85.57,"2,001,844","322,050",3,1,2016
293,plasticos dao / sacos & saquetas,no,no,portugal,industrial goods,538.61,85.53,"1,946,703","304,833",16,5,2012
294,logipal24,yes,no,germany,transport,529.56,84.65,"4,967,568","789,058",70,19,2010
295,pastbook,yes,yes,the netherlands,technology,527.70,84.47,"33,651,532","5,361,088",22,23,2012
296,bluefin,yes,no,uk,ecommerce,527.48,84.45,"28,993,287","4,653,721",21,6,2013
297,milk & honey pr,no,no,uk,sales & marketing,526.03,84.30,"1,528,900","245,974",18,4,2016
298,prodeval,no,no,france,energy,525.30,84.23,"73,514,217","11,756,712",220,70,1990
299,virta,yes,yes,finland,technology,524.73,84.18,"11,029,402","1,765,457",110,23,2013
300,bizaway,yes,no,italy,travel & leisure,523.93,84.10,"1,989,950","318,940",28,4,2015
301,karl & leon,no,no,france,retail,520.62,83.77,"2,391,019","385,266",6,2,2015
302,identity,no,no,uk,management consulting,517.38,83.45,"22,885,804","3,733,539",80,39,2001
303,blackbelt holding,no,no,hungary,technology,517.01,83.41,"5,695,000","923,000",55,4,2016
304,dynveo,no,no,france,retail,515.99,83.31,"3,687,780","598,678",13,1,2010
305,favi,no,no,czech republic,ecommerce,515.51,83.26,"24,995,030","4,174,549",29,7,2016
306,hopkins,no,no,finland,sales & marketing,514.46,83.16,"4,534,346","737,936",27,4,2016
307,ap italian luxury,yes,no,italy,fashion,513.48,83.06,"4,283,930","698,300",7,3,2016
308,novicap,yes,yes,uk,fintech,513.18,83.03,"3,383,802","551,848",45,20,2015
309,iglm store,no,no,italy,ecommerce,509.86,82.70,"7,790,420","1,277,410",5,1,2013
310,luis technology,no,no,germany,technology,507.97,82.51,"10,000,511","1,644,899",41,8,1999
311,quantexa,yes,no,uk,fintech,505.07,82.22,"33,902,755","5,643,295",275,55,2016
312,enerbrain,no,no,italy,energy,502.79,81.99,"4,131,370","685,370",37,9,2014
313,brinckmann,no,no,germany,construction,502.19,81.93,"6,037,461","1,002,579",28,7,2013
314,lmg building,yes,no,italy,construction,499.55,81.67,"6,255,970","1,043,440",12,6,1982
315,nordic unmanned,yes,no,norway,aerospace & defence,498.36,81.55,"6,305,237","1,122,907",33,12,2013
316,hemisphere,no,no,france,property,493.89,81.09,"6,484,822","1,091,925",6,2,2017
317,therapiezentrumcom nw,no,no,germany,health,491.72,80.87,"2,916,337","492,860",87,23,2017
318,beauhurst,no,no,uk,technology,488.50,80.54,"5,355,215","916,511",82,39,2010
319,cun cargo carriers,no,no,romania,transport,488.24,80.52,"7,103,702","1,207,613",49,43,2017
320,mg project,yes,no,italy,telecoms,487.83,80.48,"8,208,450","1,396,400",34,23,2016
321,bonmea,yes,no,germany,retail,487.47,80.44,"14,597,418","2,484,783",6,3,2015
322,oceanis yachts,no,no,italy,travel & leisure,486.88,80.38,"3,059,130","521,250",6,2,2007
323,opus db,no,no,france,construction,486.24,80.31,"12,171,118","2,076,139",8,2,2016
324,devensys cybersecurity,no,no,france,technology,486.08,80.30,"3,403,055","580,644",27,9,2013
325,project agora,no,no,cyprus,advertising,485.69,80.26,"19,798,875","3,380,420",104,25,2016
326,bettertrust,no,no,germany,advertising,483.67,80.05,"4,981,938","853,561",19,5,2012
327,banale,no,no,italy,ecommerce,482.78,79.96,"2,051,370","352,000",10,3,2014
328,maatwerk online,no,no,the netherlands,sales & marketing,481.07,79.78,"1,673,382","287,985",17,5,2013
329,les constructeurs du bois,no,no,france,property,479.95,79.67,"5,087,783","877,275",6,1,2011
330,esserre pharma,no,no,italy,pharmaceuticals,479.40,79.61,"2,556,640","441,260",10,6,2013
331,onbuycom,no,no,uk,ecommerce,478.83,79.55,"2,720,319","473,344",18,8,2014
332,gojob,yes,no,france,support services,478.65,79.53,"40,546,000","7,007,000",108,27,2015
333,newroom,no,no,germany,retail,474.45,79.09,"3,669,217","638,739",10,6,2016
334,christmas the original,no,no,italy,retail,474.38,79.09,"1,994,200","347,190",9,3,2016
335,dimaxbau,no,no,germany,construction,473.16,78.96,"2,003,989","349,641",16,5,2016
336,comnovis it,no,no,germany,technology,471.65,78.80,"1,900,000","332,372",9,2,2013
337,die direktkontakter,no,no,germany,support services,471.60,78.80,"2,818,000","493,000",8,4,2016
338,mega trasporti,yes,no,italy,transport,470.40,78.67,"18,168,170","3,185,180",400,30,2010
339,lehibou,yes,no,france,technology,470.21,78.65,"13,816,792","2,423,113",40,9,2014
340,stufe a pellet italia,yes,no,italy,interiors,469.76,78.61,"3,598,050","631,500",13,3,2014
341,aquis exchange,yes,yes,uk,financial services,469.71,78.60,"12,824,155","2,267,165",46,31,2012
342,chattermill,yes,no,uk,technology,468.80,78.51,"2,306,045","408,336",50,8,2015
343,schonertel,no,no,germany,construction,468.18,78.44,"16,388,546","2,884,392",45,10,2016
344,global work,yes,yes,italy,telecoms,467.98,78.42,"3,174,000","558,820",57,8,2011
345,allygatr,no,no,germany,support services,465.92,78.20,"1,914,500","338,300",9,1,2012
346,cru wine,yes,yes,uk,food & beverage,465.78,78.19,"9,235,946","1,644,134",14,3,2013
347,abc rent,yes,no,italy,automobiles,462.56,77.85,"21,818,000","3,878,370",8,5,2004
348,superior wellness,no,no,uk,personal & household goods,461.12,77.70,"54,150,622","9,719,653",57,20,2011
349,schrott24,no,no,austria,waste management & recycling,460.83,77.67,"14,641,523","2,610,679",12,3,2016
350,mazzoni etech,no,no,italy,industrial goods,459.21,77.50,"2,344,440","419,240",14,3,2017
351,berdugo immobilier,no,no,france,property,458.13,77.38,"15,049,845","2,696,485",6,4,1996
352,nova rent,no,no,lithuania,industrial goods,456.25,77.18,"8,900,000","1,600,000",37,9,2016
353,rouvy,no,no,czech republic,games industry,455.45,77.10,"4,058,269","751,071",38,13,2013
354,business analysis & legal expertise - bale,no,no,italy,management consulting,452.48,76.78,"2,943,020","532,690",4,3,2015
355,jmb,no,no,poland,energy,452.20,76.75,"70,179,000","12,709,000",381,172,2000
356,nocnoc,no,no,france,travel & leisure,450.85,76.61,"1,596,167","289,766",13,2,2016
357,crowdproperty,yes,no,uk,fintech,449.16,76.43,"2,941,537","539,486",33,5,2013
358,tutosme,no,no,france,education,447.76,76.28,"4,989,872","910,963",42,4,2015
359,studio eko,no,no,italy,management consulting,446.74,76.17,"1,740,660","318,370",10,4,2011
360,beings,no,no,uk,technology,444.42,75.92,"1,881,768","348,129",7,2,2010
361,dmrgroupltdcom,no,yes,poland,chemicals & pharmaceuticals,443.14,75.78,"7,050,124","1,418,769",6,3,2013
362,ice telecommunications ltd,no,no,uk,telecoms,442.64,75.73,"16,067,551","2,982,238",119,35,2014
363,gallas group,no,no,italy,support services,441.64,75.62,"4,640,710","856,790",95,18,2012
364,etracom,yes,yes,italy,ecommerce,439.61,75.40,"22,952,660","4,253,600",10,4,2010
365,xalient,no,no,uk,technology,439.22,75.36,"26,199,717","4,893,654",88,38,2015
366,labevolution,no,no,italy,health,438.38,75.27,"7,264,130","1,349,250",,5,2009
367,kuadra,yes,no,italy,interiors,435.19,74.92,"3,400,580","635,400",20,9,2015
368,kyo electric,yes,yes,spain,telecoms,433.20,74.70,"5,402,302","1,013,181",8,3,2014
369,sopost,no,no,uk,technology,432.02,74.57,"7,825,138","1,481,398",32,13,2012
370,sfre,no,no,italy,construction,431.82,74.55,"3,004,290","564,910",44,7,2016
371,sportstech,yes,yes,germany,retail,430.92,74.45,"108,500,233","20,436,426",262,60,2012
372,opera energie,yes,no,france,energy,427.38,74.06,"11,218,211","2,127,151",98,40,2014
373,routenote,no,no,uk,technology,427.36,74.06,"38,428,858","7,339,330",76,28,2010
374,doctify,no,no,uk,health,425.60,73.87,"2,409,255","461,671",40,26,2016
375,fruugo,yes,no,uk,ecommerce,425.57,73.86,"21,793,194","4,176,347",67,30,2008
376,insidemarketing,no,no,germany,technology,421.70,73.44,"2,971,846","569,646",15,7,2012
377,falzi,no,no,italy,waste management & recycling,420.34,73.29,"2,037,320","391,540",11,2,2013
378,atrys health,no,no,spain,health,420.23,73.27,"31,396,438","6,035,116",504,62,2015
379,il cantiere costruzioni,no,no,italy,construction,420.04,73.25,"4,297,790","826,430",4,1,2016
380,soorce,yes,yes,germany,support services,418.96,73.13,"15,639,618","3,013,629",22,13,2004
381,sortlist,no,no,belgium,technology,418.47,73.08,"3,396,000","655,000",85,26,2013
382,virtuslab,yes,yes,poland,technology,417.12,72.93,"12,468,548","2,635,420",234,90,2010
383,skalhusetse,no,no,sweden,ecommerce,416.23,72.83,"7,342,811","1,454,711",16,5,2012
384,vipino,no,no,germany,retail,415.23,72.72,"11,067,681","2,148,122",26,6,2013
385,gea service,no,no,italy,waste management & recycling,411.71,72.32,"6,673,050","1,304,060",133,30,2015
386,gellify,yes,no,italy,technology,411.64,72.31,"5,581,540","1,090,920",62,12,2016
387,billion dollar boy,yes,no,uk,advertising,411.37,72.28,"13,085,484","2,577,297",92,42,2014
388,westrafo,no,no,italy,energy,406.66,71.75,"22,072,700","4,356,500",58,19,2014
389,goboony,no,no,the netherlands,travel & leisure,404.97,71.56,"1,718,442","340,309",21,10,2015
390,multiservice ambrosiana,no,no,italy,support services,404.13,71.47,"4,266,770","846,360",180,60,2016
391,b&c systems,no,no,germany,construction,403.10,71.35,"5,339,538","1,061,327",65,16,2016
392,s&g solar,no,yes,bulgaria,energy,402.58,71.29,"3,980,920","792,093",10,31,2014
393,bittnet,no,yes,romania,management consulting,402.13,71.24,"22,436,395","4,641,712",120,40,2007
394,ibanfirst,yes,yes,belgium,fintech,400.90,71.10,"12,062,697","2,408,187",204,47,2013
395,uplink network,yes,yes,germany,telecoms,399.83,70.98,"28,140,196","5,629,906",46,20,2013
396,base organic food,no,no,france,agricultural commodities,399.44,70.93,"10,802,997","2,163,006",25,6,2015
397,currentbody,no,no,uk,ecommerce,398.90,70.87,"38,002,441","7,671,961",74,20,2009
398,apex aero,no,no,uk,aerospace & defence,398.70,70.85,"3,812,785","770,031",6,1,2016
399,startup development house,no,no,poland,technology,398.69,70.85,"1,514,111","303,615",59,25,2016
400,gruppo gheron,no,no,italy,health,398.15,70.79,"58,422,800","11,728,040",806,8,2010
401,dyflowing,no,no,italy,technology,396.92,70.65,"1,696,320","341,370",30,5,2016
402,digital masters,no,no,germany,advertising,396.52,70.60,"3,019,110","608,053",40,22,2016
403,prusseit auto-outlet,no,no,germany,automobiles,394.55,70.37,"2,576,602","520,998",17,3,2017
404,techouse,no,no,norway,energy,394.51,70.37,"31,852,584","6,863,940",72,30,2002
405,svs,no,no,italy,construction,393.21,70.22,"9,694,310","1,965,560",8,3,2016
406,telcoswitch group,no,no,uk,telecoms,390.55,69.91,"7,519,236","1,543,824",86,18,2017
407,bothe-reimann tortechnik,no,no,germany,construction,390.53,69.91,"2,277,791","464,354",8,3,2017
408,e-pol / personalizzalo,no,no,italy,ecommerce,389.87,69.83,"16,089,160","3,284,400",12,8,2012
409,riluxa,no,no,spain,interiors,389.78,69.82,"3,428,464","700,007",18,3,2016
410,modalis,no,no,france,transport,389.56,69.80,"19,169,652","3,915,724",8,6,2002
411,olympp,no,no,france,technology,388.82,69.71,"5,512,134","1,127,652",27,8,2016
412,zeck fishing,yes,yes,germany,retail,385.68,69.35,"6,806,664","1,401,463",25,4,2013
413,storpool storage,no,no,bulgaria,technology,385.16,69.29,"3,306,191","681,460",25,16,2011
414,vimcar,no,no,germany,technology,383.45,69.09,"14,674,011","3,035,269",164,72,2013
415,joannes distribution sas,no,yes,france,retail,381.19,68.83,"7,064,900","1,468,200",8,5,2011
416,sourcing force,no,no,france,technology,380.80,68.78,"12,806,965","2,663,699",30,8,2011
417,schalttechnik nord,no,no,germany,technology,380.13,68.70,"12,489,032","2,601,157",60,16,2000
418,dgc,no,no,germany,cyber security,378.99,68.57,"1,577,296","329,298",27,5,2015
419,superprof,yes,yes,france,education,375.90,68.20,"10,168,214","2,136,626",202,28,2013
420,improveasy,yes,no,uk,management consulting,375.47,68.15,"26,446,798","5,602,132",48,12,2011
421,viareno,no,no,france,construction,375.30,68.13,"6,937,737","1,459,655",30,8,2014
422,cmt,no,no,slovakia,waste management & recycling,373.76,67.95,"1,951,232","411,858",19,10,2013
423,rets,no,no,poland,property,373.42,67.91,"5,206,032","1,201,964",97,31,2014
424,mubi,no,no,uk,media,373.09,67.87,"18,356,623","3,954,351",104,33,2007
425,dynamicom education,no,no,italy,education,372.95,67.86,"9,018,160","1,906,790",27,3,2001
426,touch4it,no,no,slovakia,technology,371.54,67.69,"2,064,141","437,747",47,25,2015
427,tattahomecom,no,no,italy,interiors,369.96,67.50,"2,800,000","595,800",8,4,1986
428,speechmatics,yes,yes,uk,technology,368.02,67.27,"7,161,145","1,541,070",90,37,2006
429,samy road,yes,yes,spain,advertising,367.32,67.19,"19,458,114","4,163,750",118,20,2012
430,prometeo,no,no,italy,support services,367.12,67.16,"3,580,500","766,510",9,6,2006
431,dialectica,yes,no,uk,management consulting,366.38,67.08,"17,078,846","3,688,264",260,65,2015
432,wolf & badger,yes,no,uk,ecommerce,365.87,67.01,"11,604,670","2,508,842",62,32,2009
433,eco co2,yes,yes,france,support services,365.14,66.93,"9,220,216","1,982,251",94,28,2009
434,lakogep kft,no,no,hungary,construction,364.94,66.90,"25,335,854","6,328,462",20,3,2011
435,beyer betonwaren,no,no,germany,construction,364.90,66.90,"2,062,749","443,694",20,9,2017
436,fill up media,yes,yes,france,media,362.48,66.61,"4,999,802","1,081,079",42,12,2011
437,zara imballaggi fabriano,yes,no,italy,industrial goods,362.41,66.60,"2,297,210","496,790",6,4,1984
438,cd projekt,no,no,poland,games industry,361.78,66.52,"468,257,487","110,835,763",1177,744,1994
439,vpace bikes,no,no,germany,retail,361.24,66.46,"2,643,580","573,145",10,1,2015
440,tooltester,yes,no,spain,sales & marketing,361.17,66.45,"3,646,507","790,712",6,0,2014
441,bunker partner,yes,yes,estonia,energy,361.12,66.45,"101,726,265","22,060,642",7,2,2015
442,tikamoon,no,no,france,ecommerce,360.01,66.31,"56,122,322","12,200,275",130,40,2006
443,star digital,no,no,croatia,advertising,359.98,66.31,"3,211,868","699,907",8,10,2013
444,funding options,yes,no,uk,fintech,359.62,66.26,"5,922,043","1,297,717",62,29,2011
445,isimed,no,no,italy,health,359.61,66.26,"4,828,920","1,050,660",14,8,2014
446,sonar sonarqube sonarcloud sonarlint,no,no,switzerland,technology,358.59,66.14,"83,632,640","16,861,349",195,50,2008
447,scherer,no,no,germany,support services,358.37,66.11,"4,285,766","934,994",30,4,2016
448,mycroclean italia,no,no,italy,support services,357.44,66.00,"3,366,730","736,000",24,14,2002
449,piscor,no,no,italy,ecommerce,356.25,65.86,"4,842,410","1,061,360",16,8,2015
450,marwincar,yes,no,italy,automobiles,356.21,65.85,"5,083,140","1,114,200",3,1,2016
451,brighton & hove albion football club,no,no,uk,travel & leisure,355.67,65.79,"148,505,285","32,824,451",1038,288,1993
452,inpe transport,no,no,bulgaria,transport,355.58,65.78,"1,816,274","398,676",60,5,2015
453,rtb house,yes,yes,poland,technology,355.45,65.76,"191,601,076","45,981,552",773,266,2013
454,obiz,yes,yes,france,media,353.69,65.55,"15,377,000","3,389,300",38,27,2010
455,vmway,yes,yes,italy,technology,351.01,65.22,"15,901,220","3,525,720",70,33,2012
456,legimi,no,no,poland,media,350.96,65.21,"7,007,093","1,698,358",12,8,2009
457,beauty,no,no,germany,retail,350.83,65.20,"2,910,737","645,633",11,5,2011
458,leogra trading,no,no,germany,retail,350.12,65.11,"5,078,464","1,128,243",11,4,2014
459,benefind,no,no,italy,technology,347.56,64.80,"2,262,490","505,520",32,10,2012
460,ab oil & gas service,no,no,italy,support services,347.12,64.74,"2,310,000","516,640",13,5,2017
461,mailtrack,yes,no,spain,technology,344.41,64.41,"3,445,698","775,341",23,14,2013
462,bumper,yes,no,uk,fintech,343.11,64.25,"3,394,214","771,504",33,15,2013
463,otl - online trainer,no,no,germany,health,342.81,64.21,"6,607,564","1,492,190",46,22,2015
464,macingo technologies,no,no,italy,support services,342.52,64.18,"1,601,000","361,790",17,9,2014
465,mycs,no,no,germany,retail,340.45,63.92,"39,355,846","8,935,361",210,120,2014
466,audience serv,no,no,germany,advertising,339.50,63.80,"6,107,018","1,389,534",92,23,2008
467,start,no,no,italy,telecoms,339.50,63.80,"3,769,100","857,590",8,4,2012
468,mvh media,no,no,the netherlands,sales & marketing,338.88,63.73,"2,391,654","544,943",29,8,2010
469,pure gaming,yes,yes,france,ecommerce,338.29,63.65,"6,984,956","1,593,667",2,1,2010
470,parcel compare,no,no,uk,transport,337.44,63.55,"9,085,936","2,091,995",8,4,1998
471,ames centro polidiagnostico strumentale,yes,yes,italy,health,337.37,63.54,"40,391,360","9,235,130",81,71,1979
472,arcadia italia,no,no,italy,energy,337.22,63.52,"3,249,140","743,130",6,1,2016
473,zia lucia,yes,no,uk,restaurants,336.69,63.45,"4,853,930","1,119,494",43,16,2016
474,travaglini costruzioni,no,no,italy,construction,333.49,63.05,"4,603,740","1,062,010",37,16,1952
475,versa design zycle,no,no,spain,technology,331.97,62.86,"9,501,888","2,199,640",81,10,2008
476,maucher consult,no,no,germany,construction,331.77,62.84,"1,952,000","452,091",15,5,2016
477,ayes,yes,no,italy,technology,331.20,62.76,"10,827,070","2,510,930",137,51,2015
478,brandup group,yes,no,italy,advertising,331.08,62.75,"2,718,640","630,660",5,1,2016
479,opyn,no,no,italy,financial services,329.74,62.58,"4,168,220","969,930",19,11,2012
480,var capital,no,no,uk,financial services,329.62,62.57,"2,132,001","499,815",8,4,2014
481,storyterrace,no,no,uk,technology,329.00,62.49,"2,843,048","667,467",25,9,2017
482,blubit,no,no,slovenia,technology,328.98,62.48,"2,964,852","691,140",22,8,2009
483,zenup,no,no,france,insurance,328.62,62.44,"1,891,361","441,271",9,9,2014
484,lorcher bauunternehmen,no,no,germany,construction,328.53,62.43,"3,932,792","917,735",25,17,2001
485,barcode architects,no,no,the netherlands,architecture,327.77,62.33,"4,851,997","1,134,256",62,23,2010
486,top chaleur,no,no,france,retail,326.52,62.17,"7,260,096","1,702,165",27,9,2002
487,seingim,yes,yes,italy,construction,326.09,62.12,"13,479,380","3,163,540",160,52,1999
488,amphibian scaffolding,no,no,uk,construction,325.82,62.08,"4,011,415","948,813",49,21,2008
489,beliani,no,no,liechtenstein,ecommerce,325.61,62.06,"93,438,770","20,298,288",551,205,2009
490,hatstore,yes,no,sweden,ecommerce,325.42,62.03,"17,453,187","4,195,789",45,17,2011
491,carpenteria martino,no,no,italy,construction,325.19,62.00,"9,719,750","2,286,000",27,19,2006
492,capitalontap,yes,yes,uk,fintech,324.99,61.98,"82,238,372","19,489,369",147,61,2012
493,netguru,no,no,poland,technology,324.26,61.89,"34,677,235","8,933,769",637,199,2008
494,fazio,no,no,italy,retail,322.41,61.65,"3,375,810","799,170",7,6,2014
495,grillfurst,no,no,germany,retail,322.06,61.61,"38,599,408","9,145,411",84,37,2010
496,dealernet,no,no,italy,automobiles,320.92,61.46,"22,704,300","5,394,020",18,14,2017
497,alpha real estate,yes,yes,germany,property,319.89,61.33,"119,161,137","28,378,990",57,14,2013
498,appwise,no,no,belgium,technology,319.07,61.22,"4,546,110","1,084,812",74,12,2013
499,convert group,yes,no,greece,technology,318.77,61.18,"2,789,489","666,118",55,17,2014
500,revolution race,yes,no,sweden,ecommerce,318.30,61.12,"89,332,521","21,841,341",65,17,2013
501,gong galaxy,no,no,france,retail,318.01,61.09,"11,320,706","2,708,258",40,11,2009
