rank,name,in_2021_ranking,in_2020_ranking,country,sector,absolute_growth_rate_%,compound_annual_growth_rate_(cagr)_%,revenue_2020_(),revenue_2017_(),number_of_employees_2020,number_of_employees_2017,founding_year
502,gcostruzioni,no,no,italy,construction,317.99,61.09,"1,573,480","376,440",8,8,2011
503,emporio elettrico,no,no,italy,ecommerce,317.84,61.07,"1,979,050","473,640",4,1,2015
504,exscientia ai,yes,no,uk,technology,317.63,61.04,"10,807,048","2,606,296",87,15,2012
505,featurespace,no,no,uk,fintech,316.08,60.84,"23,501,473","5,688,822",324,128,2005
506,xl energies,no,no,france,energy,315.16,60.72,"8,358,760","2,013,403",11,3,2016
507,claveria,no,no,spain,support services,314.56,60.64,"4,715,363","1,137,450",43,20,2015
508,timberagents,no,no,germany,retail,313.98,60.57,"5,302,985","1,280,989",4,3,2010
509,fermeture econhome,no,no,france,construction,312.82,60.42,"1,862,632","451,196",30,2,2012
510,nrse,no,no,sweden,management consulting,309.97,60.05,"3,268,813","815,449",70,20,2014
511,simwert,yes,yes,germany,telecoms,309.05,59.93,"26,386,701","6,450,759",21,16,2011
512,flex legal,no,no,uk,law,308.66,59.88,"4,319,146","1,064,498",24,2,2015
513,documaster,yes,no,norway,technology,308.41,59.85,"3,328,791","868,552",41,15,2010
514,immo-team allgau,no,no,germany,construction,308.37,59.84,"21,974,565","5,381,108",4,1,2014
515,creditshelf,yes,no,germany,financial services,307.62,59.74,"4,899,200","1,201,900",57,17,2014
516,blife,yes,no,italy,food & beverage,306.70,59.62,"4,133,980","1,016,480",10,7,2016
517,nohup,yes,no,italy,technology,306.29,59.57,"4,785,480","1,177,860",18,9,2004
518,noctuai,yes,no,poland,technology,306.22,59.56,"2,443,117","657,377",56,17,2012
519,ares,yes,yes,germany,industrial goods,305.80,59.50,"14,000,000","3,450,000",96,47,2013
520,moonpig group,no,no,uk,ecommerce,305.66,59.49,"411,390,748","102,139,979",399,242,2000
521,wealth club,no,no,uk,financial services,304.87,59.38,"6,774,867","1,685,348",22,15,2016
522,factory,no,no,france,property,304.26,59.30,"12,609,000","3,119,000",25,4,2016
523,beck ingredients,no,no,spain,health,303.81,59.24,"7,532,293","1,865,319",6,2,2016
524,mentors & partners group,no,no,hungary,management consulting,303.44,59.19,"1,822,227","524,552",3,3,2010
525,sb supply,yes,no,the netherlands,ecommerce,303.38,59.19,"4,363,977","1,081,844",9,4,2011
526,mediaboard,no,no,czech republic,media,302.65,59.09,"2,243,594","572,798",24,8,2015
527,dw trans,yes,yes,france,transport,302.41,59.06,"9,485,173","2,357,096",80,20,2012
528,nacelexpert,no,no,france,industrial goods,301.53,58.94,"2,727,392","679,247",4,2,2006
529,keylight,no,no,germany,technology,301.43,58.93,"3,499,555","871,779",31,14,2015
530,technacy,no,no,italy,technology,301.40,58.92,"3,059,440","762,200",13,3,2011
531,genoskin,no,no,france,chemicals & pharmaceuticals,300.97,58.87,"2,810,120","700,823",25,12,2011
532,payment assist,yes,yes,uk,fintech,297.51,58.41,"5,993,895","1,518,678",21,12,2013
533,my boo,no,no,germany,retail,297.47,58.40,"4,706,000","1,184,000",65,14,2013
534,84codescom,yes,yes,sweden,technology,297.46,58.40,"12,120,207","3,118,698",25,11,2012
535,klg liquida,no,no,germany,chemicals & pharmaceuticals,297.29,58.38,"5,034,595","1,267,224",20,6,2013
536,ignimission,no,no,france,technology,297.08,58.35,"2,280,542","574,323",35,8,2011
537,adamant bionrg,no,no,italy,energy,297.06,58.35,"117,997,000","29,718,000",7,4,2013
538,xplort,no,no,uk,interiors,296.93,58.33,"2,252,358","571,513",5,2,2015
539,bambridge accountants,yes,no,uk,financial services,296.71,58.30,"3,368,822","855,283",12,7,2010
540,g2park,no,no,slovakia,property,295.97,58.20,"2,902,148","732,924",13,7,2016
541,pelizzari studio,no,no,italy,architecture,295.97,58.20,"2,625,660","663,100",5,2,2014
542,postex,yes,no,the netherlands,technology,293.41,57.86,"5,248,908","1,334,213",9,4,2014
543,consorzio stabile ambientemilia,yes,yes,italy,waste management & recycling,291.25,57.57,"9,752,760","2,492,730",5,5,2013
544,yocabe,yes,no,italy,ecommerce,290.92,57.53,"3,293,860","842,600",12,6,2016
545,chez nestor,yes,yes,france,property,290.88,57.52,"8,559,263","2,189,720",33,19,2012
546,mint italia,no,no,italy,transport,288.59,57.22,"2,415,110","621,500",9,2,2016
547,sendcloud,yes,yes,the netherlands,ecommerce,288.44,57.20,"81,775,452","21,052,232",233,27,2012
548,datakey software engineering,no,no,italy,technology,288.19,57.16,"1,898,000","488,940",10,6,2008
549,metaminds,yes,yes,romania,cyber security,287.56,57.08,"32,103,084","8,605,113",41,21,2015
550,time vision,no,no,italy,education,287.38,57.05,"2,793,340","721,090",29,11,2012
551,werksrader24,yes,yes,germany,automobiles,287.21,57.03,"14,896,000","3,847,000",36,16,2013
552,fod mobility group,yes,no,uk,technology,286.81,56.98,"13,309,945","3,465,675",70,35,2008
553,selferg,no,no,italy,energy,285.39,56.78,"2,050,130","531,960",60,10,2007
554,poppri fashion auctions,yes,no,lithuania,ecommerce,284.74,56.70,"13,028,856","3,386,414",94,45,2012
555,vizion network,yes,no,uk,automobiles,284.49,56.66,"117,817,156","30,862,156",194,156,2008
556,beyond law group,no,no,uk,law,284.10,56.61,"8,233,616","2,159,010",66,27,2017
557,eda warehousing,no,no,germany,transport,284.03,56.60,"4,570,000","1,190,000",14,13,2014
558,bpv,no,no,germany,telecoms,283.29,56.50,"22,704,275","5,923,571",90,45,2013
559,ultra premium direct,yes,no,france,agricultural commodities,283.21,56.49,"20,779,890","5,422,583",81,29,2013
560,afr-ix telecom,yes,yes,spain,telecoms,283.01,56.46,"9,933,867","2,593,649",24,12,2013
561,blue energy,no,no,poland,cyber security,282.71,56.42,"4,527,970","1,293,181",44,28,2010
562,cjuste paris,no,no,france,retail,282.63,56.41,"2,404,398","628,388",15,5,2013
563,sos-accessoire,no,no,france,ecommerce,281.74,56.29,"14,690,408","3,848,262",44,13,2007
564,hannes konig,no,no,germany,construction,281.19,56.21,"8,750,671","2,295,632",27,18,2017
565,zanatta media group,no,no,germany,advertising,280.58,56.13,"8,383,859","2,202,906",9,6,2007
566,wastepack,no,no,uk,waste management & recycling,280.36,56.10,"22,373,295","5,924,389",20,18,1997
567,radar consulting italia,no,no,italy,support services,279.04,55.92,"1,580,450","416,960",17,7,2010
568,agriconomie,yes,yes,france,agricultural commodities,278.58,55.86,"37,248,117","9,838,779",53,32,2014
569,anytech365,yes,yes,spain,technology,275.94,55.49,"18,743,704","4,985,758",364,187,2014
570,cladspray solutions,no,no,uk,construction,275.83,55.48,"1,863,819","499,484",12,4,2013
571,im global partner,no,no,france,financial services,274.90,55.35,"31,463,692","8,392,541",50,10,2015
572,confinvest,no,no,italy,precious metals,274.52,55.30,"41,130,000","10,982,110",6,2,1983
573,ethic technology,yes,yes,france,technology,274.15,55.24,"8,340,824","2,229,273",3,2,2012
574,bomax,yes,no,italy,telecoms,273.47,55.15,"71,290,680","19,088,830",7,6,2001
575,kk-trade,no,no,germany,retail,273.12,55.10,"4,383,254","1,174,770",15,4,2017
576,marsapet,no,no,germany,retail,273.03,55.09,"3,960,200","1,061,642",26,4,2015
577,gruppo tera,yes,no,italy,ecommerce,272.54,55.02,"20,222,750","5,428,300",16,8,2015
578,codiceplastico,no,no,italy,technology,272.18,54.97,"3,068,430","824,450",14,7,2009
579,tremend,no,yes,romania,technology,272.13,54.96,"20,679,155","5,772,716",426,185,2005
580,doofinder,no,no,spain,technology,271.97,54.94,"6,590,434","1,771,758",61,17,2010
581,hostinger,yes,yes,lithuania,technology,271.81,54.92,"25,860,664","6,955,394",780,80,2004
582,catalyx,yes,yes,switzerland,sales & marketing,271.64,54.90,"6,540,543","1,627,160",39,9,2013
583,harness code,no,no,bulgaria,sales & marketing,270.79,54.78,"2,223,308","599,612",9,6,2016
584,nanoprom chemicals,no,no,italy,chemicals & pharmaceuticals,270.68,54.76,"2,779,910","749,940",17,5,2014
585,elite,no,yes,spain,construction,270.39,54.72,"10,060,550","2,716,240",49,27,2012
586,appunite,yes,yes,poland,technology,268.98,54.53,"4,424,063","1,310,532",119,26,2012
587,eskalia et nakupenda,no,no,france,retail,268.92,54.52,"1,515,414","410,775",7,2,2006
588,lgx logistics,no,no,germany,transport,268.20,54.42,"8,070,059","2,191,733",12,3,2006
589,polipop,no,no,portugal,industrial goods,268.16,54.41,"3,351,671","910,392",22,11,2015
590,stampasi,no,no,italy,ecommerce,268.08,54.40,"2,543,820","691,110",10,1,2016
591,cam,no,no,italy,industrial goods,268.05,54.40,"12,280,490","3,336,600",67,45,1984
592,plug in digital,yes,yes,france,media,267.75,54.35,"13,767,602","3,743,740",37,12,2012
593,predica,no,no,poland,technology,267.32,54.29,"17,589,082","5,233,937",241,82,2009
594,ocean transport,no,no,spain,transport,266.84,54.23,"4,783,846","1,304,073",19,2,2009
595,serinus,no,no,uk,energy,265.81,54.08,"19,651,446","5,474,802",75,103,1997
596,demv deutscher maklerverbund,yes,no,germany,financial services,264.32,53.87,"5,012,841","1,375,943",50,20,2009
597,sti norland,yes,no,spain,energy,263.37,53.74,"199,822,150","54,990,779",221,53,1996
598,hd elektrotechnik,yes,no,germany,technology,263.34,53.73,"4,207,672","1,158,042",76,27,2011
599,engenie group,no,no,italy,technology,262.60,53.63,"2,025,040","558,480",9,1,2017
600,groupe nat,yes,no,france,support services,261.42,53.46,"4,180,122","1,156,596",64,25,2016
601,la sarraz pictures,no,no,italy,media,260.90,53.39,"1,513,710","419,430",5,2,2015
602,smart-planet,no,no,germany,retail,260.22,53.29,"4,598,207","1,276,483",9,5,2016
603,sidea group,yes,no,italy,management consulting,260.17,53.29,"2,429,590","674,560",49,8,2015
604,couteaujaponaiscom,no,no,france,retail,259.83,53.24,"4,579,102","1,272,558",17,5,2004
605,physidia,yes,no,france,health,259.66,53.21,"16,746,545","4,656,191",58,20,2010
606,horando deutschland,no,yes,germany,retail,259.32,53.17,"8,111,269","2,257,390",3,2,2013
607,diablochairs jan nowak,yes,yes,poland,ecommerce,259.15,53.14,"21,520,495","6,549,376",79,22,2004
608,parkster,yes,yes,sweden,technology,258.92,53.11,"55,139,984","15,711,602",28,16,2011
609,biotyfull,yes,no,france,ecommerce,258.88,53.10,"20,248,436","5,642,145",13,5,2015
610,bioksan,yes,no,spain,food & beverage,258.30,53.02,"5,914,732","1,650,756",51,14,2014
611,trippel,no,no,norway,support services,258.05,52.98,"3,057,807","910,070",118,37,1999
612,yourparkingspace limited,yes,yes,uk,technology,257.60,52.92,"13,863,431","3,904,618",32,15,2013
613,carslift,no,no,france,automobiles,257.42,52.89,"2,226,659","622,989",35,1,2012
614,zimmerei nordmann,no,no,germany,construction,257.35,52.89,"2,074,577","580,537",11,5,2009
615,si silicone innovation,yes,no,germany,industrial goods,257.32,52.88,"3,640,511","1,018,843",40,20,2015
616,aue genc warenhandels-ug,yes,yes,germany,retail,256.90,52.82,"19,890,000","5,573,000",12,8,2010
617,mgvision,no,no,italy,advertising,255.81,52.66,"4,010,560","1,127,170",18,10,2010
618,new general service,yes,no,italy,support services,255.07,52.56,"1,539,360","433,540",26,13,2015
619,anrenovation,no,no,france,construction,254.93,52.54,"11,594,389","3,266,703",41,15,2010
620,mdg components unipersonale,no,no,italy,industrial goods,254.41,52.46,"2,283,970","644,440",14,10,2017
621,amco-bulgaria,yes,no,bulgaria,retail,254.20,52.43,"6,298,606","1,778,274",22,5,2011
622,symprove,yes,no,uk,personal & household goods,254.09,52.42,"12,298,843","3,498,275",39,16,2005
623,tecknuovo,no,no,uk,technology,253.87,52.39,"26,273,556","7,477,852",22,10,2015
624,platformsh,no,no,france,technology,253.68,52.36,"22,077,678","6,242,232",217,62,2010
625,isg express logistik,yes,no,germany,transport,253.68,52.36,"5,822,692","1,646,307",46,5,2011
626,manelli impresa,yes,no,italy,construction,253.65,52.36,"43,355,980","12,259,540",173,55,2008
627,sa formacao,yes,yes,portugal,education,253.55,52.34,"3,647,652","1,031,733",53,22,2009
628,sm sektmanufaktur,no,no,germany,industrial goods,253.35,52.31,"2,408,586","681,652",14,3,2015
629,beauty consult deutschland,no,no,germany,health,253.11,52.28,"3,725,665","1,055,100",31,8,2011
630,finauto,no,no,italy,automobiles,251.91,52.10,"11,789,870","3,350,270",8,5,1977
631,aucoffrecom,no,no,france,financial services,251.66,52.07,"114,037,838","32,428,296",21,18,2009
632,divido,yes,no,uk,fintech,251.57,52.06,"3,786,036","1,084,616",46,37,2014
633,r&k ingenieure,no,no,germany,construction,251.56,52.05,"5,210,500","1,482,100",17,6,2016
634,nephos technologies,yes,no,uk,technology,251.48,52.04,"17,559,447","5,031,697",25,11,2011
635,la vida,yes,yes,uk,support services,250.06,51.84,"7,572,128","2,178,629",15,8,2002
636,midstream lighting,no,yes,uk,technology,249.64,51.78,"8,204,844","2,363,526",12,4,2012
637,propulse it,yes,yes,france,technology,249.58,51.77,"6,326,861","1,809,858",2,2,2014
638,additius santa maria,no,no,spain,agricultural commodities,248.98,51.68,"31,757,362","9,100,083",30,25,2012
639,conexio telecom,no,no,france,telecoms,248.88,51.67,"1,908,640","547,084",15,3,2017
640,tripin,no,no,germany,retail,248.43,51.60,"5,465,080","1,568,506",9,5,2012
641,continental wood kft,no,yes,hungary,industrial goods,247.28,51.43,"2,724,073","910,973",9,4,1996
642,geoteam,no,no,italy,energy,247.20,51.42,"7,623,730","2,195,780",120,71,2008
643,leascorp,no,no,france,financial services,247.05,51.40,"18,481,247","5,325,214",7,4,2014
644,positive healthcare,no,no,uk,management consulting,246.88,51.38,"6,731,831","1,954,609",19,3,2014
645,ralph schmolke,no,no,germany,retail,246.63,51.34,"2,281,929","658,317",8,4,2010
646,roomie milano,no,no,italy,property,245.48,51.17,"3,728,920","1,079,340",10,2,2016
647,trencadis corp,yes,no,romania,technology,245.45,51.17,"20,410,511","6,137,755",89,40,2007
648,worteks,no,no,france,technology,245.44,51.17,"1,870,845","541,582",11,4,2016
649,remove,yes,no,france,construction,244.64,51.05,"8,988,475","2,608,093",74,27,2015
650,citadelo,no,no,czech republic,cyber security,243.94,50.95,"1,556,521","452,557",27,15,2006
651,grill autoservice,no,no,germany,automobiles,243.36,50.86,"18,141,216","5,283,415",26,13,2017
652,inbrooll,no,no,spain,industrial goods,243.07,50.82,"2,663,110","776,268",15,8,2013
653,cross,yes,no,germany,retail,242.59,50.75,"88,590,000","25,858,983",4,3,2010
654,b1gas spa,yes,no,italy,energy,242.58,50.75,"41,474,660","12,106,480",6,2,2010
655,filva,no,no,italy,construction,242.17,50.69,"6,188,900","1,808,710",10,8,2009
656,archingest,yes,no,italy,construction,241.26,50.56,"3,515,000","1,030,000",6,2,2005
657,alpha fx group,no,yes,uk,financial services,241.26,50.55,"51,640,733","15,241,075",124,51,2009
658,lemonads,yes,no,switzerland,advertising,241.12,50.53,"4,952,255","1,451,770",50,7,2012
659,signicat,yes,no,norway,technology,240.39,50.43,"42,514,150","13,309,441",213,71,2007
660,alfred dopker,no,no,germany,construction,240.33,50.42,"77,358,225","22,730,529",55,41,1965
661,bavaria-ei,no,no,germany,retail,240.06,50.38,"13,067,279","3,842,670",88,42,2001
662,oxylabsio,no,no,lithuania,technology,239.23,50.26,"25,040,954","7,381,686",245,57,2015
663,ash automobile,yes,no,germany,automobiles,239.19,50.25,"2,333,452","687,958",5,2,2014
664,vascular,no,no,hungary,health,238.38,50.13,"29,099,679","9,987,236",57,18,2007
665,andjaro,no,no,france,support services,237.95,50.07,"3,189,298","943,718",57,30,2015
666,rohrtaler wertstoff,no,no,germany,waste management & recycling,237.58,50.01,"3,286,187","973,460",34,22,2013
667,autel karnetic,no,no,uk,technology,237.43,49.99,"8,520,830","2,543,343",7,6,2016
668,discoupcom,no,no,italy,advertising,236.58,49.86,"2,075,110","616,520",10,8,2013
669,hellas direct,yes,no,cyprus,insurance,236.55,49.86,"34,488,971","10,247,832",85,52,2011
670,herrles,yes,no,germany,automobiles,236.46,49.85,"10,242,075","3,044,054",45,30,2009
671,investmentpunk academy,no,no,austria,education,235.69,49.73,"3,179,000","947,000",12,6,2016
672,born stahlbau,no,yes,germany,industrial goods,235.05,49.64,"4,527,093","1,351,164",13,6,2015
673,rettel projektbau,yes,no,germany,construction,234.97,49.62,"8,073,458","2,410,212",7,5,2016
674,suntronic,no,no,italy,energy,234.87,49.61,"2,347,320","700,960",4,2,2005
675,tmt,yes,yes,italy,industrial goods,234.84,49.60,"12,763,524","3,811,838",42,6,2014
676,gedankenburg,no,no,germany,advertising,234.74,49.59,"2,950,010","881,275",5,2,2015
677,svop special vehicle operation,no,no,sweden,automobiles,234.07,49.49,"4,526,309","1,385,662",16,6,2013
678,glenholme healthcare group,no,no,uk,health,234.00,49.48,"14,845,073","4,476,517",415,132,2011
679,audensiel,yes,yes,france,technology,233.96,49.47,"57,451,279","17,203,160",720,230,2013
680,ivnosys,no,no,spain,technology,233.95,49.47,"8,743,069","2,618,069",106,34,2011
681,mulconsa,no,no,spain,construction,233.87,49.46,"6,687,402","2,002,982",45,30,2012
682,50nrth,no,no,germany,retail,233.75,49.44,"35,107,348","10,518,963",54,14,2004
683,delecto,no,no,croatia,retail,233.68,49.43,"2,649,288","793,957",10,6,2008
684,mardruk opakowania,no,no,poland,industrial goods,233.32,49.38,"3,226,645","1,058,063",47,7,2015
685,manang,no,no,france,construction,233.23,49.36,"6,205,559","1,862,272",40,15,2012
686,bestbion dx,no,no,germany,health,233.18,49.36,"14,863,628","4,461,170",27,21,2011
687,avamore capital,no,no,uk,financial services,232.57,49.27,"2,552,248","772,943",21,7,2015
688,solaris and more,no,no,germany,energy,231.75,49.14,"4,692,660","1,414,501",30,13,2011
689,clearcycle,no,no,uk,retail,231.73,49.14,"2,176,368","660,767",11,8,2015
690,opteamis,yes,yes,france,support services,231.45,49.10,"13,856,500","4,180,523",35,12,2005
691,codenor,no,no,spain,construction,231.36,49.08,"6,385,196","1,926,967",20,10,2010
692,happybulle,yes,no,france,ecommerce,231.14,49.05,"4,209,975","1,271,353",18,8,2015
693,aurora energy research,no,no,uk,energy,231.05,49.04,"15,079,425","4,587,687",158,46,2013
694,bacci,no,no,spain,fashion,231.00,49.03,"24,048,302","7,265,350",14,19,2003
695,emilia foods,yes,yes,italy,food & beverage,230.75,48.99,"26,824,140","8,110,160",25,8,2013
696,team - ti educa a migliorare,no,no,italy,health,230.22,48.91,"3,370,490","1,020,690",211,82,2001
697,brainhub,yes,no,poland,technology,230.16,48.90,"3,513,741","1,163,241",75,30,2016
698,assitech,yes,no,italy,construction,230.03,48.89,"2,675,750","810,750",9,10,2016
699,schott packaging,no,no,uk,ecommerce,229.61,48.82,"2,272,847","694,501",11,4,2016
700,alba,yes,no,italy,energy,229.36,48.78,"3,299,330","1,001,740",30,12,2010
701,fintru,yes,no,uk,financial services,229.03,48.73,"32,392,546","9,915,609",740,219,2013
702,global edilizia,no,no,italy,construction,228.55,48.66,"4,028,000","1,226,000",5,4,2011
703,tpximpact,no,no,uk,management consulting,228.30,48.62,"57,093,437","17,515,305",381,2,2016
704,lgs sportlab,no,no,italy,advertising,228.26,48.62,"4,014,220","1,222,870",9,6,2010
705,weiser brandschutz & technik,yes,no,germany,construction,227.87,48.56,"5,986,199","1,825,769",45,4,2005
706,fairfax and favor,no,no,uk,fashion,226.81,48.40,"18,178,322","5,602,279",47,13,2013
707,fao consulting,no,no,france,technology,226.39,48.34,"7,781,600","2,384,156",85,39,2014
708,gruppo del barba consulting,yes,yes,italy,financial services,226.35,48.33,"5,855,040","1,794,120",37,8,2010
709,exclaimer,yes,yes,uk,technology,226.05,48.28,"26,143,857","8,075,796",109,62,2003
710,join business management consulting,yes,no,italy,management consulting,225.69,48.23,"10,189,790","3,128,700",77,25,2013
711,vennes,no,no,germany,construction,225.10,48.14,"17,048,000","5,244,000",57,27,2003
712,piggy,no,no,the netherlands,technology,225.06,48.13,"2,946,126","906,341",31,7,2013
713,epassi,no,no,finland,fintech,224.82,48.10,"205,312,456","63,207,258",130,40,2007
714,atheneum partners,yes,yes,germany,technology,224.27,48.01,"33,400,000","10,300,000",315,150,2010
715,pharmacy2u,yes,no,uk,technology,223.91,47.96,"156,232,906","48,580,102",454,211,1999
716,phoenix developpement,no,no,france,support services,223.16,47.85,"1,797,294","556,159",18,6,2011
717,wiwie transport,no,no,germany,transport,223.08,47.83,"4,200,000","1,300,000",25,10,2016
718,mevas auto center,no,no,romania,automobiles,222.96,47.81,"2,595,034","834,708",31,23,2003
719,bk beachhouse mode,yes,no,germany,retail,222.78,47.79,"5,172,479","1,602,458",35,21,2015
720,flli urso,no,no,italy,construction,222.59,47.76,"2,009,090","622,800",9,3,2015
721,gohenry,yes,yes,uk,financial services,222.24,47.70,"22,020,382","6,882,489",166,61,2011
722,adrilog,yes,no,italy,transport,221.85,47.64,"57,057,180","17,727,950",816,634,2014
723,attachment,yes,yes,uk,advertising,221.77,47.63,"7,191,249","2,250,946",6,2,2015
724,paris herbes,yes,no,france,agricultural commodities,221.73,47.63,"12,934,943","4,020,469",25,15,2015
725,interlog logistic,no,no,france,transport,221.69,47.62,"5,480,946","1,703,819",28,37,2015
726,conglomerati bituminosi,yes,no,italy,construction,221.08,47.53,"33,371,870","10,393,680",75,34,1975
727,nikkel art,no,no,belgium,ecommerce,220.83,47.49,"3,762,160","1,172,617",26,5,2010
728,esyen,no,no,italy,technology,220.60,47.45,"3,868,940","1,206,770",25,9,2011
729,sav-eco packaging ltd,no,no,uk,industrial goods,220.27,47.40,"16,923,940","5,322,238",165,104,2014
730,elmar mair tiefbau,no,no,germany,construction,219.98,47.36,"2,302,685","719,638",19,8,2016
731,atlas innovative engineering,no,no,spain,energy,219.37,47.26,"3,495,981","1,094,666",15,12,2014
732,secure-ic,no,no,france,technology,219.33,47.26,"6,934,182","2,171,492",76,48,2010
733,datalyo,no,no,france,technology,218.82,47.18,"3,544,255","1,111,687",36,16,2014
734,signify technology,no,no,uk,management consulting,218.78,47.17,"2,547,992","805,029",29,14,2016
735,boxt,no,no,uk,ecommerce,218.69,47.16,"38,373,430","12,127,395",59,20,2017
736,james and james fulfilment,no,no,uk,ecommerce,218.67,47.16,"30,887,883","9,762,332",158,55,2010
737,armonie,no,no,italy,food & beverage,218.66,47.16,"2,803,150","879,670",9,5,2014
738,maverick group,no,no,italy,technology,217.27,46.94,"5,313,290","1,674,690",5,1,2017
739,brainpull,no,no,italy,advertising,217.21,46.93,"4,264,120","1,344,240",29,10,2012
740,wiseband,no,no,france,media,217.08,46.91,"1,636,674","516,164",15,4,2014
741,groupe ezdo la boulangerie des gourmets,yes,no,france,agricultural commodities,216.91,46.89,"40,777,823","12,867,410",15,4,2013
742,pakar service,yes,no,poland,support services,216.15,46.77,"9,729,642","3,363,800",396,257,2010
743,bio-uv,no,no,france,industrial goods,216.03,46.75,"32,175,000","10,181,000",117,62,2000
744,fg service,no,no,italy,construction,215.54,46.67,"2,554,140","809,450",14,2,2015
745,allways logistics system,yes,no,italy,transport,215.48,46.66,"9,569,120","3,033,150",125,2,2012
746,matsmart,yes,yes,sweden,ecommerce,215.40,46.65,"49,576,899","16,075,963",164,75,2013
747,autargo,no,no,germany,construction,215.35,46.64,"1,807,173","573,070",5,2,2016
748,brewshopno,yes,no,norway,food & beverage,215.26,46.63,"4,392,988","1,484,883",9,7,2015
749,visualitics,no,no,italy,technology,215.24,46.63,"2,131,000","676,000",15,3,2016
750,hifi extra,no,no,germany,retail,215.10,46.61,"49,190,436","15,610,826",32,14,2016
751,ankerkraut,yes,yes,germany,food & beverage,214.45,46.50,"26,010,474","8,271,702",150,70,2013
