rank,name,in_2021_ranking,in_2020_ranking,country,sector,absolute_growth_rate_%,compound_annual_growth_rate_(cagr)_%,revenue_2020_(),revenue_2017_(),number_of_employees_2020,number_of_employees_2017,founding_year
752,gda,no,no,italy,fashion,213.62,46.37,"20,745,690","6,615,000",205,98,2008
753,nexid,no,no,italy,technology,213.53,46.36,"2,696,270","859,960",25,9,2006
754,gs studio & service,no,no,italy,energy,213.26,46.32,"2,087,000","666,210",16,7,2013
755,neosperience,no,no,italy,technology,213.00,46.28,"16,367,000","5,229,000",160,60,2006
756,lunos,no,no,slovenia,technology,212.89,46.26,"6,356,404","2,031,522",16,11,2010
757,meic costruzioni,no,no,italy,construction,212.86,46.26,"10,456,300","3,342,120",71,39,2013
758,trident lifting solutions ltd,no,no,uk,construction,212.60,46.22,"15,846,632","5,105,700",14,12,2016
759,smart battery solutions,no,no,germany,technology,212.59,46.22,"10,203,000","3,264,000",69,28,2010
760,eu-bay commerce,no,no,germany,retail,212.23,46.16,"8,122,686","2,601,485",20,10,2003
761,jens rabe academy,no,no,germany,education,212.06,46.13,"3,655,345","1,171,373",20,6,2009
762,hyperoptic,yes,no,uk,telecoms,211.97,46.12,"57,766,084","18,649,681",1251,407,2010
763,sepale,no,no,france,energy,211.33,46.02,"7,879,983","2,531,055",21,2,2009
764,3a informatica,no,no,italy,telecoms,210.73,45.92,"1,970,000","633,990",33,19,2005
765,emsproto,yes,no,france,ecommerce,210.64,45.91,"3,136,947","1,009,846",22,10,2014
766,laboratoires dermosun,no,no,france,chemicals & pharmaceuticals,209.88,45.79,"5,626,849","1,815,835",13,9,2011
767,saico,no,no,italy,construction,209.36,45.71,"6,737,600","2,177,950",23,13,2013
768,nutis,yes,no,italy,food & beverage,209.01,45.66,"6,566,530","2,124,990",19,9,1956
769,ogrodosferapl,yes,yes,poland,ecommerce,208.73,45.61,"13,256,472","4,693,330",23,12,2011
770,svti,yes,no,france,industrial goods,208.55,45.58,"3,981,300","1,290,312",30,17,2010
771,enhancers,no,no,italy,technology,208.24,45.53,"3,352,210","1,087,520",38,13,2011
772,agripower france,no,no,france,waste management & recycling,208.20,45.53,"7,701,275","2,498,792",16,6,2012
773,next turbo technologies,yes,no,italy,industrial goods,207.77,45.46,"9,481,040","3,080,610",18,8,2014
774,velvet media italia,yes,yes,italy,advertising,207.54,45.42,"5,411,160","1,759,490",98,46,2013
775,booster box,yes,no,italy,advertising,206.87,45.32,"2,049,365","667,837",35,9,2016
776,rmf group,no,no,slovakia,food & beverage,206.86,45.32,"3,289,892","1,072,117",2,3,2014
777,darwin group limited,no,no,uk,construction,206.37,45.24,"70,393,894","23,141,358",140,89,2005
778,itfs,yes,yes,poland,technology,206.10,45.20,"10,446,862","3,730,405",230,90,2012
779,skillsday,no,yes,france,education,205.70,45.13,"3,154,795","1,031,988",25,9,2015
780,gapps,yes,no,finland,technology,205.51,45.10,"8,707,000","2,850,000",34,23,2010
781,maxfel,yes,no,italy,interiors,205.44,45.09,"2,201,160","720,650",15,6,1984
782,herrero brigantina,yes,yes,spain,insurance,204.74,44.98,"14,725,853","4,832,212",55,33,2012
783,manitech,yes,no,italy,industrial goods,203.53,44.79,"3,834,910","1,263,420",6,3,2016
784,tradeco,no,no,italy,industrial goods,202.87,44.68,"5,889,890","1,944,720",16,6,2016
785,mon chasseur immo,yes,no,france,property,202.35,44.60,"4,794,423","1,585,727",28,13,2012
786,upslide,no,yes,france,support services,202.23,44.58,"8,274,214","2,737,704",75,20,2013
787,cogeclim energies,yes,no,france,construction,201.99,44.54,"2,622,506","868,406",18,5,2015
788,cellarius,no,no,hungary,sales & marketing,201.67,44.49,"2,571,079","989,785",14,10,2004
789,careful-service,no,no,germany,health,201.37,44.44,"3,537,769","1,173,908",141,75,2014
790,softneta,no,no,lithuania,health,201.07,44.40,"1,778,249","590,642",30,24,2007
791,progeny,no,no,uk,financial services,200.64,44.33,"16,601,337","5,561,585",161,64,2016
792,web geo services,no,no,france,technology,200.58,44.32,"24,114,000","8,022,358",57,29,2009
793,spedition ibov,no,no,germany,transport,200.43,44.29,"3,424,863","1,140,000",,,2013
794,mypostcardcom,yes,yes,germany,retail,200.06,44.23,"6,358,307","2,119,022",25,21,2014
795,variosan,no,no,germany,retail,199.77,44.19,"3,233,968","1,078,808",3,2,2013
796,riedle bertsch,no,no,germany,technology,199.75,44.18,"2,331,579","777,849",36,8,2013
797,mobili fiver,no,no,italy,interiors,199.43,44.13,"11,897,820","3,973,460",50,23,1999
798,klc desamiantage,no,no,france,construction,199.36,44.12,"6,182,419","2,065,220",46,11,2015
799,secret arts of spirits,yes,yes,france,retail,199.23,44.10,"3,308,224","1,105,569",6,3,2014
800,mpb group limited,yes,no,uk,ecommerce,198.91,44.05,"72,503,245","24,429,686",184,68,2011
801,3zehn auto discount,yes,no,germany,automobiles,198.41,43.97,"25,448,057","8,527,777",12,5,2016
802,adikteev,no,no,france,technology,198.30,43.95,"45,616,000","15,292,051",67,50,2012
803,fundis reitsport,no,no,germany,retail,198.07,43.92,"7,066,208","2,370,645",50,3,2009
804,antriebstechnik ebner-seibold,no,no,germany,retail,198.06,43.91,"2,245,423","753,352",17,9,2009
805,invibes advertising,no,yes,belgium,technology,197.11,43.76,"11,530,000","3,880,663",102,30,2011
806,jointly il welfare condiviso,no,no,italy,support services,196.84,43.72,"2,400,550","808,700",34,18,2014
807,abtot mark & anlaggning ab,yes,no,sweden,construction,195.91,43.57,"9,983,094","3,450,305",23,10,2012
808,dusapro immobilien,yes,yes,germany,property,195.21,43.45,"33,903,865","11,484,801",36,10,2012
809,soldats films,no,no,france,media,194.81,43.39,"2,320,653","787,160",8,4,2012
810,eagleprojects,no,no,italy,telecoms,194.68,43.37,"15,140,480","5,137,900",287,120,2016
811,agile lab,yes,no,italy,technology,194.60,43.35,"5,590,450","1,897,650",43,15,2013
812,importprisno,no,no,norway,ecommerce,194.37,43.32,"3,113,197","1,126,971",8,4,2012
813,truu,yes,yes,germany,industrial goods,193.76,43.22,"12,472,561","4,245,861",72,18,2011
814,latelier,no,no,france,technology,193.45,43.17,"4,288,024","1,461,226",15,5,2016
815,frigoclim kalte-klima,yes,no,germany,construction,193.40,43.16,"3,890,690","1,326,082",22,7,2014
816,m coffee company,no,no,germany,retail,192.95,43.09,"2,117,442","722,795",5,3,2013
817,protextyl,no,no,france,retail,192.85,43.07,"5,324,116","1,818,032",22,12,2011
818,sp architecte,no,no,france,construction,192.84,43.07,"2,825,876","964,998",18,14,2009
819,embargos a lo bestia,no,no,spain,retail,192.62,43.03,"22,559,217","7,709,375",178,54,2011
820,snigel,yes,no,ireland,technology,192.57,43.02,"20,479,764","7,000,063",3,2,2011
821,irettungsdienst,no,no,germany,health,192.31,42.98,"1,900,000","650,000",120,5,2006
822,way2global sb,no,no,italy,support services,190.97,42.76,"2,411,600","828,820",16,1,2017
823,media access solutions,no,no,uk,support services,190.48,42.68,"3,407,930","1,181,642",33,3,2014
824,exadi,no,no,spain,sales and marketing,190.28,42.65,"42,525,086","14,649,568",44,21,2008
825,fiber-service-gesellschaft,no,no,germany,telecoms,190.17,42.63,"4,049,655","1,395,607",29,10,2014
826,tenderhut group,yes,yes,poland,technology,190.02,42.61,"10,264,611","3,868,483",280,140,2010
827,worldwide fishing company,yes,no,spain,food & beverage,189.88,42.58,"140,442,673","48,449,141",30,12,2016
828,doctor hail spa,yes,no,italy,automobiles,189.78,42.57,"18,101,114","6,246,592",43,26,2013
829,kbs group,yes,yes,germany,support services,189.70,42.55,"42,006,000","14,500,000",1500,650,2011
830,terre ehitus,no,no,estonia,construction,188.94,42.43,"2,089,215","723,064",12,5,2017
831,bauer energiekonzepte,yes,yes,germany,energy,188.54,42.36,"36,223,730","12,554,325",19,7,2013
832,new euroart,no,no,italy,construction,188.49,42.36,"9,307,640","3,226,280",77,26,2001
833,capelli for you,no,no,italy,beauty,188.42,42.34,"1,658,750","575,120",16,8,2015
834,ogury,yes,yes,uk,advertising,188.32,42.33,"108,758,853","37,992,902",371,133,2014
835,tft ernst,no,no,germany,construction,188.19,42.31,"2,012,427","698,300",17,7,2017
836,somerford associates,no,no,uk,technology,187.81,42.24,"18,757,685","6,564,162",55,31,2001
837,arcadia investment,yes,yes,germany,property,187.45,42.19,"8,102,218","2,818,652",38,12,2012
838,filoblu,yes,yes,italy,management consulting,187.14,42.13,"55,564,420","19,351,090",186,112,2009
839,tribus digital,no,no,uk,technology,186.89,42.09,"1,952,800","685,567",21,8,2016
840,doit,yes,no,italy,technology,186.79,42.08,"3,040,000","1,060,000",35,20,2014
841,global perspectives,yes,no,uk,health,186.71,42.06,"6,631,496","2,329,522",23,8,2009
842,pirene,no,no,italy,support services,186.54,42.04,"1,512,680","527,910",25,8,1999
843,ipulse,yes,no,uk,personal & household goods,186.27,41.99,"105,149,602","36,995,102",183,39,2012
844,blue networks,no,no,germany,technology,185.36,41.84,"6,626,713","2,322,241",47,23,2002
845,n schwegler,no,yes,germany,construction,185.24,41.82,"10,514,000","3,686,000",35,20,2009
846,marcus lutz bau,no,no,germany,construction,184.26,41.66,"1,874,438","659,402",15,7,2002
847,hkr-technik,no,no,germany,retail,184.14,41.64,"6,996,880","2,462,478",4,3,2008
848,licht strom,yes,no,germany,technology,183.54,41.54,"4,039,340","1,424,633",30,18,2007
849,die autowelt,yes,no,germany,automobiles,183.23,41.49,"16,754,654","5,915,499",40,15,2009
850,artheau aviation,no,no,france,aerospace & defence,183.17,41.48,"11,263,318","3,977,562",9,4,2012
851,cepo,no,no,italy,industrial goods,182.86,41.42,"4,503,670","1,592,170",22,13,2000
852,sneakers & jackets,yes,yes,france,financial services,182.41,41.35,"2,888,273","1,022,714",2,1,2013
853,89up,no,no,uk,advertising,182.41,41.35,"1,814,237","647,020",26,11,2009
854,luxury & performance selection,no,no,france,automobiles,182.39,41.35,"6,444,045","2,281,929",4,na,2016
855,grayce group,no,no,uk,management consulting,182.36,41.34,"17,890,928","6,381,674",395,117,2012
856,nemesi italia,no,no,italy,technology,182.02,41.28,"1,640,000","581,520",4,1,1993
857,halo service solutions,no,no,uk,technology,181.97,41.28,"5,037,087","1,799,189",40,12,1994
858,raspberry pi,no,no,uk,technology,181.29,41.16,"80,066,074","28,668,484",73,36,2012
859,giopato & coombes,yes,no,italy,interiors,181.27,41.16,"5,467,910","1,944,000",17,8,2010
860,ship it,no,no,germany,retail,180.95,41.10,"3,391,041","1,207,009",8,4,2016
861,rheinische scheidestatte,no,no,germany,retail,180.89,41.10,"83,044,963","29,564,866",47,19,2012
862,whites agency,no,no,poland,advertising,180.88,41.09,"4,076,348","1,586,246",90,34,2011
863,casa di riposo medicalizzata sempione,no,no,italy,health,180.66,41.06,"2,436,000","867,960",38,1,2017
864,cshark,yes,yes,poland,technology,180.55,41.04,"11,828,515","4,608,343",269,135,2014
865,zinox laser,yes,no,italy,interiors,180.41,41.02,"6,364,000","2,269,510",47,30,2015
866,tera automation,no,no,italy,industrial goods,180.39,41.01,"4,987,860","1,778,890",20,14,2013
867,innova hts,no,no,italy,health,180.22,40.98,"8,792,400","3,137,630",16,12,2014
868,kentigen,no,no,czech republic,technology,179.79,40.91,"1,507,867","554,004",20,8,2013
869,teal partners,no,no,belgium,technology,179.35,40.84,"3,873,750","1,386,701",23,13,2015
870,lm medical division,no,no,italy,health,179.23,40.82,"11,281,040","4,040,060",47,16,2010
871,bec,no,no,germany,technology,179.21,40.81,"7,843,183","2,809,036",47,25,2003
872,xylon,no,no,croatia,technology,178.97,40.77,"4,491,888","1,610,149",81,41,1995
873,spedition kai rindert,no,no,germany,transport,178.52,40.70,"3,018,684","1,083,821",9,2,2017
874,cogesa costruzioni generali saba,no,no,italy,construction,178.13,40.63,"3,453,730","1,241,760",22,16,2009
875,skargardstunnan/skargards,no,no,sweden,ecommerce,178.05,40.62,"15,082,088","5,547,537",20,13,2010
876,autonova milano,no,no,italy,automobiles,177.33,40.50,"2,790,680","1,006,280",14,1,2015
877,polarstern,no,no,germany,energy,177.06,40.45,"30,270,074","10,925,375",40,25,2011
878,halsdorfer ingenieure projekt,no,yes,germany,property,176.94,40.43,"31,038,460","11,207,566",15,5,2013
879,opna,yes,no,france,support services,176.53,40.36,"2,317,903","838,200",23,9,2015
880,stikets,yes,yes,spain,ecommerce,176.29,40.32,"9,318,626","3,372,820",39,25,2010
881,campustore,no,no,italy,education,175.75,40.23,"34,410,600","12,479,120",18,18,1994
882,ars futura,no,no,croatia,technology,175.70,40.22,"1,580,154","574,487",27,14,2013
883,cemir security,yes,no,italy,support services,175.61,40.21,"2,835,330","1,028,730",116,64,2015
884,borgy cz,no,no,czech republic,personal & household goods,175.59,40.20,"22,419,033","8,362,568",60,40,2009
885,groupe zephyr,no,no,france,health,175.27,40.15,"16,264,645","5,908,517",600,190,2007
886,dernier cri,no,no,france,technology,175.07,40.11,"3,956,061","1,438,184",57,25,2015
887,yesdevs,no,no,germany,technology,175.00,40.10,"2,200,000","800,000",37,10,2016
888,hydroflex group,no,yes,germany,retail,174.98,40.10,"13,166,000","4,788,000",36,19,2009
889,proteko service,no,no,italy,support services,174.64,40.04,"5,502,450","2,003,540",31,7,2016
890,minicrm,no,no,hungary,technology,174.60,40.03,"2,232,347","944,107",26,26,2012
891,cnq consorzio nazionale qualita,no,no,italy,waste management & recycling,174.56,40.03,"2,151,050","783,460",39,13,2001
892,accolade,no,yes,czech republic,property,174.26,39.98,"83,981,636","31,477,723",,,2010
893,panel sandwich,no,no,spain,construction,174.00,39.93,"9,637,845","3,517,519",27,9,2009
894,symbiose informatique,no,no,france,technology,173.97,39.93,"33,080,096","12,074,454",32,28,1991
895,gengineering,yes,no,italy,industrial goods,173.95,39.92,"16,504,780","6,024,830",51,24,2012
896,i-particuliers,no,no,france,property,173.47,39.84,"4,071,600","1,488,875",200,50,2011
897,henco,no,no,germany,retail,173.33,39.82,"6,970,679","2,550,263",48,25,2012
898,gigliocom,no,yes,italy,ecommerce,173.12,39.78,"25,355,630","9,283,620",53,25,2007
899,alphaspel,no,no,sweden,retail,172.99,39.76,"4,535,769","1,699,234",16,5,2013
900,sapiegos klinika,no,no,lithuania,health,172.45,39.67,"1,578,677","579,436",24,14,2014
901,opencorporates,no,no,uk,technology,172.17,39.62,"2,730,677","1,010,498",25,9,2010
902,be cloud,no,yes,france,support services,172.09,39.61,"10,371,094","3,811,605",49,22,2012
903,drukarnia pigapl,yes,yes,poland,ecommerce,172.02,39.59,"4,064,038","1,632,988",130,60,2014
904,groupe mister menuiserie,no,no,france,ecommerce,172.00,39.59,"68,009,314","25,003,047",227,84,2010
905,insetto,no,no,germany,retail,171.87,39.57,"6,010,130","2,210,651",79,51,1999
906,technophage,no,no,portugal,pharmaceuticals,171.71,39.54,"2,237,180","823,381",13,9,2005
907,skalis portage salarial,no,yes,france,support services,171.14,39.44,"6,202,068","2,287,420",68,25,2008
908,peoplegrapher,yes,no,germany,advertising,170.86,39.40,"3,561,298","1,314,806",11,5,2016
909,reveg fruit,yes,no,italy,food & beverage,170.85,39.39,"2,356,570","870,070",4,2,2016
910,sciant,yes,no,bulgaria,technology,170.83,39.39,"3,192,139","1,178,653",79,39,2016
911,boender & beutel,no,no,germany,industrial goods,170.63,39.36,"14,550,131","5,376,347",130,50,2012
912,ekinops,no,no,france,telecoms,170.62,39.36,"92,800,000","34,291,000",456,419,2003
913,sano-tecnica,no,no,portugal,health,170.53,39.34,"4,972,658","1,838,120",13,12,1938
914,mobelando,no,yes,germany,retail,170.52,39.34,"16,692,390","6,170,577",24,16,2013
915,democom,yes,yes,italy,telecoms,170.39,39.31,"3,347,950","1,238,210",37,12,2011
916,erbagil,no,no,italy,pharmaceuticals,169.82,39.22,"4,021,010","1,490,280",11,3,2009
917,axopar boats,yes,yes,finland,travel & leisure,169.30,39.13,"78,765,693","29,247,774",32,9,2014
918,advanced composites solutions,no,no,italy,automobiles,168.86,39.05,"5,393,690","2,006,100",54,11,2012
919,spartivento yachts & charter,no,no,italy,travel & leisure,168.79,39.04,"5,194,630","1,932,580",34,12,2000
920,seargin,yes,yes,poland,technology,168.70,39.02,"18,624,755","7,576,080",64,39,2014
921,ttp holding,no,no,germany,support services,168.68,39.02,"37,607,000","13,997,000",32,28,2009
922,sweef furniture,no,no,sweden,retail,168.54,39.00,"9,506,903","3,620,585",14,5,2011
923,sonic tanacsado es szolgaltato kft,no,no,hungary,technology,168.48,38.99,"4,646,080","2,009,719",10,5,2008
924,spotit,no,no,belgium,cyber security,168.03,38.91,"20,387,729","7,606,472",71,30,2014
925,label experience,yes,no,france,financial services,168.01,38.91,"1,756,470","655,366",27,11,2016
926,lmm logistics,yes,no,italy,transport,167.88,38.88,"14,113,040","5,268,390",724,2,2015
927,medicalfit,no,no,spain,health,167.73,38.86,"2,378,517","888,395",35,15,2008
928,nuova mg,no,no,italy,industrial goods,167.60,38.83,"2,126,840","794,770",26,23,2017
929,innov and co handicap,no,no,france,technology,167.55,38.83,"1,879,824","702,609",30,7,2016
930,alma entreprise,no,no,france,construction,167.54,38.82,"13,438,347","5,023,015",31,33,2003
931,radit,no,no,italy,support services,167.28,38.78,"1,879,520","703,190",15,8,2016
932,regional express,no,yes,france,transport,167.07,38.74,"22,841,800","8,552,857",220,80,2013
933,aravati,yes,no,france,support services,166.79,38.69,"6,671,500","2,500,644",59,26,2004
934,pohner hamburg,no,no,germany,retail,166.67,38.67,"15,603,000","5,851,000",7,4,2013
935,schreinerei huber,no,no,germany,construction,166.56,38.65,"2,629,044","986,286",21,18,2010
936,isr,no,no,france,technology,166.38,38.62,"4,637,943","1,741,112",12,12,1996
937,kinga mathe,yes,no,germany,retail,166.18,38.59,"1,800,494","676,431",5,2,2008
938,rivile,no,no,lithuania,technology,166.16,38.58,"3,905,042","1,467,195",24,20,1992
939,magarantie5ans,yes,no,france,retail,166.08,38.57,"9,253,546","3,477,788",20,8,2016
940,bebeboutik,no,no,france,retail,165.71,38.51,"29,080,296","10,944,325",98,36,2012
941,radar cyber security,no,yes,austria,technology,165.43,38.46,"12,727,043","4,794,822",122,88,2011
942,clair group,yes,yes,france,aerospace & defence,165.35,38.44,"38,960,985","14,683,064",121,49,2004
943,appsfactory,yes,no,germany,technology,165.29,38.43,"18,044,631","6,801,966",221,105,2009
944,stiltz homelifts,no,yes,uk,interiors,164.93,38.37,"36,960,953","14,051,407",250,142,2010
945,star stone,yes,no,romania,construction,164.83,38.35,"4,409,476","1,729,707",105,48,2012
946,coptrz,no,no,uk,aerospace & defence,164.78,38.34,"6,297,471","2,395,445",22,10,2016
947,nurole,no,yes,uk,technology,164.77,38.34,"3,249,493","1,236,098",35,15,2014
948,abao energy,yes,no,germany,construction,164.38,38.28,"2,406,917","910,386",15,10,2016
949,welol next,no,no,italy,technology,163.97,38.20,"2,685,440","1,017,320",32,16,2011
950,intent hq,no,no,uk,technology,163.93,38.20,"5,762,891","2,199,126",75,22,2010
951,cafe du cycliste,no,yes,france,ecommerce,163.42,38.11,"7,445,865","2,826,571",20,14,2009
952,langer luftungs- und klimaanlagen,no,no,germany,construction,163.42,38.11,"4,609,256","1,749,794",8,5,2016
953,formind,yes,yes,france,cyber security,163.27,38.08,"16,845,354","6,398,583",130,60,2010
954,oasis smart sim europe,no,no,france,telecoms,162.65,37.97,"3,065,165","1,167,000",20,4,2010
955,aferetica,yes,no,italy,health,162.51,37.95,"6,376,910","2,429,230",13,9,2013
956,zero,no,no,italy,energy,162.50,37.95,"42,000,000","16,000,000",37,15,2014
957,skills,yes,yes,france,support services,162.17,37.89,"11,650,138","4,443,710",70,20,2011
958,3e studio,no,no,italy,support services,161.84,37.83,"2,804,580","1,071,090",22,1,2015
959,pannonia steel,no,no,slovakia,construction,161.81,37.82,"1,768,886","675,645",5,1,2013
960,kronos,no,no,italy,fashion,161.72,37.81,"23,579,000","9,009,270",21,15,2009
961,lasaponaria,no,no,italy,beauty,161.63,37.79,"6,304,690","2,409,730",22,11,2007
962,die wuhlewanderer,yes,no,germany,health,161.58,37.78,"4,970,000","1,900,000",95,50,2013
963,imint vidhance,no,no,sweden,technology,161.54,37.78,"4,851,538","1,897,113",27,26,2007
964,arte e passione,yes,no,italy,restaurants,161.45,37.76,"1,671,730","639,410",47,18,2016
965,paul marius,no,no,france,retail,161.37,37.75,"24,869,602","9,515,000",87,29,2011
966,scalefocus,no,no,bulgaria,technology,161.21,37.72,"33,137,857","12,686,177",730,330,2012
967,whiskyzone,no,yes,germany,retail,161.11,37.70,"10,750,866","4,117,340",16,7,2014
968,targa telematics,yes,no,italy,technology,160.94,37.67,"37,386,150","14,327,610",113,63,2002
969,sian wholesale ltd,no,yes,uk,transport,160.04,37.51,"74,719,260","28,939,861",50,23,2003
970,visage technologies,yes,no,sweden,technology,159.98,37.50,"5,677,639","2,233,448",104,54,2002
971,riotloc,no,no,lithuania,games industry,159.92,37.49,"1,551,468","596,906",1,1,2016
972,bullionvault,no,no,uk,precious metals,159.81,37.47,"16,196,046","6,278,456",34,31,2003
973,3a antioxidants,no,no,spain,chemicals & pharmaceuticals,159.49,37.42,"7,704,000","2,968,892",23,9,2000
974,on metall,no,no,germany,industrial goods,159.42,37.40,"2,587,718","997,518",6,3,2016
975,scribbr,yes,yes,the netherlands,education,159.33,37.39,"8,862,818","3,417,536",39,22,2012
976,selectra,yes,no,france,energy,158.84,37.30,"62,951,353","24,320,734",1000,500,2007
977,energetic,no,no,italy,energy,158.58,37.26,"1,711,470","661,860",13,7,2010
978,faveod,no,no,france,support services,158.40,37.22,"2,598,585","1,005,658",9,7,2007
979,cye energia,yes,yes,spain,energy,158.39,37.22,"23,673,728","9,161,867",15,5,2013
980,integrata oy,yes,no,finland,financial services,157.99,37.15,"9,409,000","3,647,000",105,33,2008
981,regular trade,no,no,germany,retail,157.87,37.13,"11,671,000","4,526,000",25,15,2010
982,expleo,no,no,hungary,energy,157.82,37.12,"2,696,785","900,686",15,6,2011
983,confezioni velvet,no,no,italy,fashion,157.62,37.09,"3,355,870","1,302,640",21,21,2015
984,activ bilanz,yes,no,germany,property,157.55,37.07,"17,286,985","6,712,146",10,12,1998
985,family nation,no,no,italy,ecommerce,157.40,37.05,"5,300,370","2,059,190",12,5,2011
986,majar  matzaridis bros,yes,no,greece,technology,157.07,36.99,"13,224,865","5,144,442",19,13,1994
987,izertis,yes,no,spain,technology,156.87,36.95,"50,740,841","19,753,150",791,431,1996
988,fashion commerce,yes,no,italy,ecommerce,156.44,36.88,"2,349,000","916,000",5,1,2016
989,bulk tainer logistics limited,no,no,uk,transport,156.27,36.85,"56,054,130","21,717,432",105,41,2009
990,wingeco,no,no,italy,industrial goods,155.74,36.75,"3,407,310","1,332,330",22,12,2016
991,meblobraniepl,yes,yes,poland,ecommerce,155.48,36.71,"19,295,429","6,909,799",25,12,2021
992,queralto,no,no,spain,ecommerce,155.39,36.69,"21,900,903","8,575,344",67,39,1898
993,phobos,yes,no,slovakia,automobiles,155.23,36.66,"3,529,454","1,382,844",12,8,1993
994,archita engineering,no,no,italy,support services,155.02,36.62,"2,739,230","1,074,130",5,13,2013
995,celeritas,no,no,spain,transport,154.94,36.61,"58,139,933","22,805,398",27,10,2006
996,peopleforecast,no,no,germany,technology,154.86,36.59,"2,086,411","818,658",45,15,2014
997,digitalpa,no,no,italy,management consulting,154.82,36.59,"1,731,340","679,440",12,41,2014
998,faktenkontor,no,no,germany,advertising,154.81,36.59,"30,967,000","12,153,143",150,100,2003
999,clareo,yes,yes,france,retail,154.80,36.58,"18,854,708","7,399,729",53,13,2012
1000,laca trade,yes,yes,italy,property,154.60,36.55,"24,741,510","9,717,860",5,5,2013

