name,country,sector,revenue_2020_eu,revenue_2017_eu,employees_number_2020,employees_number_2017,founding_year
rettel projektbau,germany,construction,8073458,2410212,7,5,2016
suntronic,italy,energy,2347320,700960,4,2,2005
tmt,italy,industrial goods,12763524,3811838,42,6,2014
gedankenburg,germany,advertising,2950010,881275,5,2,2015
svop special vehicle operation,sweden,automobiles,4526309,1385662,16,6,2013
glenholme healthcare group,uk,health,14845073,4476517,415,132,2011
audensiel,france,technology,57451279,17203160,720,230,2013
ivnosys,spain,technology,8743069,2618069,106,34,2011
mulconsa,spain,construction,6687402,2002982,45,30,2012
50nrth,germany,retail,35107348,10518963,54,14,2004
delecto,croatia,retail,2649288,793957,10,6,2008
mardruk opakowania,poland,industrial goods,3226645,1058063,47,7,2015
manang,france,construction,6205559,1862272,40,15,2012
bestbion dx,germany,health,14863628,4461170,27,21,2011
avamore capital,uk,financial services,2552248,772943,21,7,2015
solaris and more,germany,energy,4692660,1414501,30,13,2011
clearcycle,uk,retail,2176368,660767,11,8,2015
opteamis,france,support services,13856500,4180523,35,12,2005
codenor,spain,construction,6385196,1926967,20,10,2010
happybulle,france,ecommerce,4209975,1271353,18,8,2015
aurora energy research,uk,energy,15079425,4587687,158,46,2013
bacci,spain,fashion,24048302,7265350,14,19,2003
emilia foods,italy,food & beverage,26824140,8110160,25,8,2013
team - ti educa a migliorare,italy,health,3370490,1020690,211,82,2001
brainhub,poland,technology,3513741,1163241,75,30,2016
assitech,italy,construction,2675750,810750,9,10,2016
schott packaging,uk,ecommerce,2272847,694501,11,4,2016
alba,italy,energy,3299330,1001740,30,12,2010
fintru,uk,financial services,32392546,9915609,740,219,2013
global edilizia,italy,construction,4028000,1226000,5,4,2011
tpximpact,uk,management consulting,57093437,17515305,381,2,2016
lgs sportlab,italy,advertising,4014220,1222870,9,6,2010
weiser brandschutz & technik,germany,construction,5986199,1825769,45,4,2005
fairfax and favor,uk,fashion,18178322,5602279,47,13,2013
fao consulting,france,technology,7781600,2384156,85,39,2014
gruppo del barba consulting,italy,financial services,5855040,1794120,37,8,2010
exclaimer,uk,technology,26143857,8075796,109,62,2003
join business management consulting,italy,management consulting,10189790,3128700,77,25,2013
vennes,germany,construction,17048000,5244000,57,27,2003
piggy,the netherlands,technology,2946126,906341,31,7,2013
epassi,finland,fintech,205312456,63207258,130,40,2007
atheneum partners,germany,technology,33400000,10300000,315,150,2010
pharmacy2u,uk,technology,156232906,48580102,454,211,1999
phoenix developpement,france,support services,1797294,556159,18,6,2011
wiwie transport,germany,transport,4200000,1300000,25,10,2016
mevas auto center,romania,automobiles,2595034,834708,31,23,2003
bk beachhouse mode,germany,retail,5172479,1602458,35,21,2015
flli urso,italy,construction,2009090,622800,9,3,2015
gohenry,uk,financial services,22020382,6882489,166,61,2011
adrilog,italy,transport,57057180,17727950,816,634,2014
attachment,uk,advertising,7191249,2250946,6,2,2015
paris herbes,france,agricultural commodities,12934943,4020469,25,15,2015
interlog logistic,france,transport,5480946,1703819,28,37,2015
conglomerati bituminosi,italy,construction,33371870,10393680,75,34,1975
nikkel art,belgium,ecommerce,3762160,1172617,26,5,2010
esyen,italy,technology,3868940,1206770,25,9,2011
sav-eco packaging ltd,uk,industrial goods,16923940,5322238,165,104,2014
elmar mair tiefbau,germany,construction,2302685,719638,19,8,2016
atlas innovative engineering,spain,energy,3495981,1094666,15,12,2014
secure-ic,france,technology,6934182,2171492,76,48,2010
datalyo,france,technology,3544255,1111687,36,16,2014
signify technology,uk,management consulting,2547992,805029,29,14,2016
boxt,uk,ecommerce,38373430,12127395,59,20,2017
james and james fulfilment,uk,ecommerce,30887883,9762332,158,55,2010
armonie,italy,food & beverage,2803150,879670,9,5,2014
maverick group,italy,technology,5313290,1674690,5,1,2017
brainpull,italy,advertising,4264120,1344240,29,10,2012
wiseband,france,media,1636674,516164,15,4,2014
groupe ezdo la boulangerie des gourmets,france,agricultural commodities,40777823,12867410,15,4,2013
pakar service,poland,support services,9729642,3363800,396,257,2010
bio-uv,france,industrial goods,32175000,10181000,117,62,2000
fg service,italy,construction,2554140,809450,14,2,2015
allways logistics system,italy,transport,9569120,3033150,125,2,2012
matsmart,sweden,ecommerce,49576899,16075963,164,75,2013
autargo,germany,construction,1807173,573070,5,2,2016
brewshopno,norway,food & beverage,4392988,1484883,9,7,2015
visualitics,italy,technology,2131000,676000,15,3,2016
hifi extra,germany,retail,49190436,15610826,32,14,2016
ankerkraut,germany,food & beverage,26010474,8271702,150,70,2013
gda,italy,fashion,20745690,6615000,205,98,2008
nexid,italy,technology,2696270,859960,25,9,2006
gs studio & service,italy,energy,2087000,666210,16,7,2013
neosperience,italy,technology,16367000,5229000,160,60,2006
lunos,slovenia,technology,6356404,2031522,16,11,2010
meic costruzioni,italy,construction,10456300,3342120,71,39,2013
trident lifting solutions ltd,uk,construction,15846632,5105700,14,12,2016
smart battery solutions,germany,technology,10203000,3264000,69,28,2010
eu-bay commerce,germany,retail,8122686,2601485,20,10,2003
jens rabe academy,germany,education,3655345,1171373,20,6,2009
hyperoptic,uk,telecoms,57766084,18649681,1251,407,2010
sepale,france,energy,7879983,2531055,21,2,2009
3a informatica,italy,telecoms,1970000,633990,33,19,2005
emsproto,france,ecommerce,3136947,1009846,22,10,2014
laboratoires dermosun,france,chemicals & pharmaceuticals,5626849,1815835,13,9,2011
saico,italy,construction,6737600,2177950,23,13,2013
nutis,italy,food & beverage,6566530,2124990,19,9,1956
ogrodosferapl,poland,ecommerce,13256472,4693330,23,12,2011
svti,france,industrial goods,3981300,1290312,30,17,2010
enhancers,italy,technology,3352210,1087520,38,13,2011
agripower france,france,waste management & recycling,7701275,2498792,16,6,2012
next turbo technologies,italy,industrial goods,9481040,3080610,18,8,2014
velvet media italia,italy,advertising,5411160,1759490,98,46,2013
booster box,italy,advertising,2049365,667837,35,9,2016
rmf group,slovakia,food & beverage,3289892,1072117,2,3,2014
darwin group limited,uk,construction,70393894,23141358,140,89,2005
itfs,poland,technology,10446862,3730405,230,90,2012
skillsday,france,education,3154795,1031988,25,9,2015
gapps,finland,technology,8707000,2850000,34,23,2010
maxfel,italy,interiors,2201160,720650,15,6,1984
herrero brigantina,spain,insurance,14725853,4832212,55,33,2012
manitech,italy,industrial goods,3834910,1263420,6,3,2016
tradeco,italy,industrial goods,5889890,1944720,16,6,2016
mon chasseur immo,france,property,4794423,1585727,28,13,2012
upslide,france,support services,8274214,2737704,75,20,2013
cogeclim energies,france,construction,2622506,868406,18,5,2015
cellarius,hungary,sales & marketing,2571079,989785,14,10,2004
careful-service,germany,health,3537769,1173908,141,75,2014
softneta,lithuania,health,1778249,590642,30,24,2007
progeny,uk,financial services,16601337,5561585,161,64,2016
web geo services,france,technology,24114000,8022358,57,29,2009
spedition ibov,germany,transport,3424863,1140000,n/a,n/a,2013
mypostcardcom,germany,retail,6358307,2119022,25,21,2014
variosan,germany,retail,3233968,1078808,3,2,2013
riedle bertsch,germany,technology,2331579,777849,36,8,2013
mobili fiver,italy,interiors,11897820,3973460,50,23,1999
klc desamiantage,france,construction,6182419,2065220,46,11,2015
secret arts of spirits,france,retail,3308224,1105569,6,3,2014
mpb group limited,uk,ecommerce,72503245,24429686,184,68,2011
3zehn auto discount,germany,automobiles,25448057,8527777,12,5,2016
adikteev,france,technology,45616000,15292051,67,50,2012
fundis reitsport,germany,retail,7066208,2370645,50,3,2009
antriebstechnik ebner-seibold,germany,retail,2245423,753352,17,9,2009
invibes advertising,belgium,technology,11530000,3880663,102,30,2011
jointly il welfare condiviso,italy,support services,2400550,808700,34,18,2014
abtot mark & anlaggning ab,sweden,construction,9983094,3450305,23,10,2012
dusapro immobilien,germany,property,33903865,11484801,36,10,2012
soldats films,france,media,2320653,787160,8,4,2012
eagleprojects,italy,telecoms,15140480,5137900,287,120,2016
agile lab,italy,technology,5590450,1897650,43,15,2013
importprisno,norway,ecommerce,3113197,1126971,8,4,2012
truu,germany,industrial goods,12472561,4245861,72,18,2011
latelier,france,technology,4288024,1461226,15,5,2016
frigoclim kalte-klima,germany,construction,3890690,1326082,22,7,2014
m coffee company,germany,retail,2117442,722795,5,3,2013
protextyl,france,retail,5324116,1818032,22,12,2011
sp architecte,france,construction,2825876,964998,18,14,2009
embargos a lo bestia,spain,retail,22559217,7709375,178,54,2011
snigel,ireland,technology,20479764,7000063,3,2,2011
irettungsdienst,germany,health,1900000,650000,120,5,2006
way2global sb,italy,support services,2411600,828820,16,1,2017
media access solutions,uk,support services,3407930,1181642,33,3,2014
exadi,spain,sales and marketing,42525086,14649568,44,21,2008
fiber-service-gesellschaft,germany,telecoms,4049655,1395607,29,10,2014
tenderhut group,poland,technology,10264611,3868483,280,140,2010
worldwide fishing company,spain,food & beverage,140442673,48449141,30,12,2016
doctor hail spa,italy,automobiles,18101114,6246592,43,26,2013
kbs group,germany,support services,42006000,14500000,1500,650,2011
terre ehitus,estonia,construction,2089215,723064,12,5,2017
bauer energiekonzepte,germany,energy,36223730,12554325,19,7,2013
new euroart,italy,construction,9307640,3226280,77,26,2001
capelli for you,italy,beauty,1658750,575120,16,8,2015
ogury,uk,advertising,108758853,37992902,371,133,2014
tft ernst,germany,construction,2012427,698300,17,7,2017
somerford associates,uk,technology,18757685,6564162,55,31,2001
arcadia investment,germany,property,8102218,2818652,38,12,2012
filoblu,italy,management consulting,55564420,19351090,186,112,2009
tribus digital,uk,technology,1952800,685567,21,8,2016
doit,italy,technology,3040000,1060000,35,20,2014
global perspectives,uk,health,6631496,2329522,23,8,2009
pirene,italy,support services,1512680,527910,25,8,1999
ipulse,uk,personal & household goods,105149602,36995102,183,39,2012
blue networks,germany,technology,6626713,2322241,47,23,2002
n schwegler,germany,construction,10514000,3686000,35,20,2009
marcus lutz bau,germany,construction,1874438,659402,15,7,2002
hkr-technik,germany,retail,6996880,2462478,4,3,2008
licht strom,germany,technology,4039340,1424633,30,18,2007
die autowelt,germany,automobiles,16754654,5915499,40,15,2009
artheau aviation,france,aerospace & defence,11263318,3977562,9,4,2012
cepo,italy,industrial goods,4503670,1592170,22,13,2000
sneakers & jackets,france,financial services,2888273,1022714,2,1,2013
89up,uk,advertising,1814237,647020,26,11,2009
luxury & performance selection,france,automobiles,6444045,2281929,4,na,2016
grayce group,uk,management consulting,17890928,6381674,395,117,2012
nemesi italia,italy,technology,1640000,581520,4,1,1993
halo service solutions,uk,technology,5037087,1799189,40,12,1994
raspberry pi,uk,technology,80066074,28668484,73,36,2012
giopato & coombes,italy,interiors,5467910,1944000,17,8,2010
ship it,germany,retail,3391041,1207009,8,4,2016
rheinische scheidestatte,germany,retail,83044963,29564866,47,19,2012
whites agency,poland,advertising,4076348,1586246,90,34,2011
casa di riposo medicalizzata sempione,italy,health,2436000,867960,38,1,2017
cshark,poland,technology,11828515,4608343,269,135,2014
zinox laser,italy,interiors,6364000,2269510,47,30,2015
tera automation,italy,industrial goods,4987860,1778890,20,14,2013
innova hts,italy,health,8792400,3137630,16,12,2014
kentigen,czech republic,technology,1507867,554004,20,8,2013
teal partners,belgium,technology,3873750,1386701,23,13,2015
lm medical division,italy,health,11281040,4040060,47,16,2010
bec,germany,technology,7843183,2809036,47,25,2003
xylon,croatia,technology,4491888,1610149,81,41,1995
spedition kai rindert,germany,transport,3018684,1083821,9,2,2017
cogesa costruzioni generali saba,italy,construction,3453730,1241760,22,16,2009
skargardstunnan/skargards,sweden,ecommerce,15082088,5547537,20,13,2010
autonova milano,italy,automobiles,2790680,1006280,14,1,2015
polarstern,germany,energy,30270074,10925375,40,25,2011
halsdorfer ingenieure projekt,germany,property,31038460,11207566,15,5,2013
opna,france,support services,2317903,838200,23,9,2015
stikets,spain,ecommerce,9318626,3372820,39,25,2010
campustore,italy,education,34410600,12479120,18,18,1994
ars futura,croatia,technology,1580154,574487,27,14,2013
cemir security,italy,support services,2835330,1028730,116,64,2015
borgy cz,czech republic,personal & household goods,22419033,8362568,60,40,2009
groupe zephyr,france,health,16264645,5908517,600,190,2007
dernier cri,france,technology,3956061,1438184,57,25,2015
yesdevs,germany,technology,2200000,800000,37,10,2016
hydroflex group,germany,retail,13166000,4788000,36,19,2009
proteko service,italy,support services,5502450,2003540,31,7,2016
minicrm,hungary,technology,2232347,944107,26,26,2012
cnq consorzio nazionale qualita,italy,waste management & recycling,2151050,783460,39,13,2001
accolade,czech republic,property,83981636,31477723,n/a,n/a,2010
panel sandwich,spain,construction,9637845,3517519,27,9,2009
symbiose informatique,france,technology,33080096,12074454,32,28,1991
gengineering,italy,industrial goods,16504780,6024830,51,24,2012
i-particuliers,france,property,4071600,1488875,200,50,2011
henco,germany,retail,6970679,2550263,48,25,2012
gigliocom,italy,ecommerce,25355630,9283620,53,25,2007
alphaspel,sweden,retail,4535769,1699234,16,5,2013
sapiegos klinika,lithuania,health,1578677,579436,24,14,2014
opencorporates,uk,technology,2730677,1010498,25,9,2010
be cloud,france,support services,10371094,3811605,49,22,2012
drukarnia pigapl,poland,ecommerce,4064038,1632988,130,60,2014
groupe mister menuiserie,france,ecommerce,68009314,25003047,227,84,2010
insetto,germany,retail,6010130,2210651,79,51,1999
technophage,portugal,pharmaceuticals,2237180,823381,13,9,2005
skalis portage salarial,france,support services,6202068,2287420,68,25,2008
peoplegrapher,germany,advertising,3561298,1314806,11,5,2016
reveg fruit,italy,food & beverage,2356570,870070,4,2,2016
sciant,bulgaria,technology,3192139,1178653,79,39,2016
boender & beutel,germany,industrial goods,14550131,5376347,130,50,2012
ekinops,france,telecoms,92800000,34291000,456,419,2003
sano-tecnica,portugal,health,4972658,1838120,13,12,1938
mobelando,germany,retail,16692390,6170577,24,16,2013
democom,italy,telecoms,3347950,1238210,37,12,2011
erbagil,italy,pharmaceuticals,4021010,1490280,11,3,2009
axopar boats,finland,travel & leisure,78765693,29247774,32,9,2014
advanced composites solutions,italy,automobiles,5393690,2006100,54,11,2012
spartivento yachts & charter,italy,travel & leisure,5194630,1932580,34,12,2000
seargin,poland,technology,18624755,7576080,64,39,2014
ttp holding,germany,support services,37607000,13997000,32,28,2009
sweef furniture,sweden,retail,9506903,3620585,14,5,2011
sonic tanacsado es szolgaltato kft,hungary,technology,4646080,2009719,10,5,2008
spotit,belgium,cyber security,20387729,7606472,71,30,2014
label experience,france,financial services,1756470,655366,27,11,2016
lmm logistics,italy,transport,14113040,5268390,724,2,2015
medicalfit,spain,health,2378517,888395,35,15,2008
nuova mg,italy,industrial goods,2126840,794770,26,23,2017
innov and co handicap,france,technology,1879824,702609,30,7,2016
alma entreprise,france,construction,13438347,5023015,31,33,2003
radit,italy,support services,1879520,703190,15,8,2016
regional express,france,transport,22841800,8552857,220,80,2013
aravati,france,support services,6671500,2500644,59,26,2004
pohner hamburg,germany,retail,15603000,5851000,7,4,2013
schreinerei huber,germany,construction,2629044,986286,21,18,2010
isr,france,technology,4637943,1741112,12,12,1996
kinga mathe,germany,retail,1800494,676431,5,2,2008
rivile,lithuania,technology,3905042,1467195,24,20,1992
magarantie5ans,france,retail,9253546,3477788,20,8,2016
bebeboutik,france,retail,29080296,10944325,98,36,2012
radar cyber security,austria,technology,12727043,4794822,122,88,2011
clair group,france,aerospace & defence,38960985,14683064,121,49,2004
appsfactory,germany,technology,18044631,6801966,221,105,2009
stiltz homelifts,uk,interiors,36960953,14051407,250,142,2010
star stone,romania,construction,4409476,1729707,105,48,2012
coptrz,uk,aerospace & defence,6297471,2395445,22,10,2016
nurole,uk,technology,3249493,1236098,35,15,2014
abao energy,germany,construction,2406917,910386,15,10,2016
welol next,italy,technology,2685440,1017320,32,16,2011
intent hq,uk,technology,5762891,2199126,75,22,2010
cafe du cycliste,france,ecommerce,7445865,2826571,20,14,2009
langer luftungs- und klimaanlagen,germany,construction,4609256,1749794,8,5,2016
formind,france,cyber security,16845354,6398583,130,60,2010
oasis smart sim europe,france,telecoms,3065165,1167000,20,4,2010
aferetica,italy,health,6376910,2429230,13,9,2013
zero,italy,energy,42000000,16000000,37,15,2014
skills,france,support services,11650138,4443710,70,20,2011
3e studio,italy,support services,2804580,1071090,22,1,2015
pannonia steel,slovakia,construction,1768886,675645,5,1,2013
kronos,italy,fashion,23579000,9009270,21,15,2009
lasaponaria,italy,beauty,6304690,2409730,22,11,2007
die wuhlewanderer,germany,health,4970000,1900000,95,50,2013
imint vidhance,sweden,technology,4851538,1897113,27,26,2007
arte e passione,italy,restaurants,1671730,639410,47,18,2016
paul marius,france,retail,24869602,9515000,87,29,2011
scalefocus,bulgaria,technology,33137857,12686177,730,330,2012
whiskyzone,germany,retail,10750866,4117340,16,7,2014
targa telematics,italy,technology,37386150,14327610,113,63,2002
sian wholesale ltd,uk,transport,74719260,28939861,50,23,2003
visage technologies,sweden,technology,5677639,2233448,104,54,2002
riotloc,lithuania,games industry,1551468,596906,1,1,2016
bullionvault,uk,precious metals,16196046,6278456,34,31,2003
3a antioxidants,spain,chemicals & pharmaceuticals,7704000,2968892,23,9,2000
on metall,germany,industrial goods,2587718,997518,6,3,2016
scribbr,the netherlands,education,8862818,3417536,39,22,2012
selectra,france,energy,62951353,24320734,1000,500,2007
energetic,italy,energy,1711470,661860,13,7,2010
faveod,france,support services,2598585,1005658,9,7,2007
cye energia,spain,energy,23673728,9161867,15,5,2013
integrata oy,finland,financial services,9409000,3647000,105,33,2008
regular trade,germany,retail,11671000,4526000,25,15,2010
expleo,hungary,energy,2696785,900686,15,6,2011
confezioni velvet,italy,fashion,3355870,1302640,21,21,2015
activ bilanz,germany,property,17286985,6712146,10,12,1998
family nation,italy,ecommerce,5300370,2059190,12,5,2011
majar  matzaridis bros,greece,technology,13224865,5144442,19,13,1994
izertis,spain,technology,50740841,19753150,791,431,1996
fashion commerce,italy,ecommerce,2349000,916000,5,1,2016
bulk tainer logistics limited,uk,transport,56054130,21717432,105,41,2009
wingeco,italy,industrial goods,3407310,1332330,22,12,2016
meblobraniepl,poland,ecommerce,19295429,6909799,25,12,2021
queralto,spain,ecommerce,21900903,8575344,67,39,1898
phobos,slovakia,automobiles,3529454,1382844,12,8,1993
archita engineering,italy,support services,2739230,1074130,5,13,2013
celeritas,spain,transport,58139933,22805398,27,10,2006
peopleforecast,germany,technology,2086411,818658,45,15,2014
digitalpa,italy,management consulting,1731340,679440,12,41,2014
faktenkontor,germany,advertising,30967000,12153143,150,100,2003
clareo,france,retail,18854708,7399729,53,13,2012
laca trade,italy,property,24741510,9717860,5,5,2013

