ceo,country,market_value_jan_2020,market_value_jan_2021,market_value_jan_2022,name,employees_2022,revenue_2022,sector
,uk,4766000000.0,4320000000.0,4337000000,tate & lyle,"4,193",1620000,consumer defensive
,uk,,3755000000.0,4337000000,3i infrastructure,,485000000,investments
,france,2141000000.0,3149000000.0,4331000000,nexans,,8134000,industries
,italy,4385000000.0,4485000000.0,4306000000,acea spa,,4381000,utilities
,france,3232000000.0,3473000000.0,4306000000,spie sa,"45,500",7714000,industries
,uk,,,4301000000,diversey holdings ltd,"8,500",2618000,fmcg
,uk,5663000000.0,5481000000.0,4299000000,pennon group,"5,239",933000000,utilities
,sweden,858000000.0,,4280000000,addlife ab publ,,847000000,healthcare
,uk,2682000000.0,3821000000.0,4277999999,computacenter,,8924000,technology
,luxembourg,2482000000.0,2898000000.0,4276000000,brederode sa,,1106000,financial services
,germany,4992000000.0,4542000000.0,4261000000,rheinmetall ag,"25,767",6241000,industries
,uk,,3972000000.0,4253999999,alliance trust,,763000000,financial services
,uk,4835000000.0,2482000000.0,4240000000,greggs,"19,000",1631000,consumer defensive
,belgium,5216000000.0,4864000000.0,4230000000,telenet group holding nv,,2862000,communication services
,austria,2710000000.0,4019000000.0,4227000000,mayr-melnhof karton ag,"9,938",3068000,consumer cyclical
,uk,,,4224999999,ihs holding ltd,,1579000,telecom
,russia,1165000000.0,1450000000.0,4221000000,raspadskaya,,2098000,basic materials
,spain,1556000000.0,2556000000.0,4216000000,laboratorios farmaceuticos rovi,,715000000,healthcare
,italy,4883000000.0,4565000000.0,4211000000,buzzi unicem,,3444000,basic materials
,denmark,4600000000.0,5893000000.0,4206000000,simcorp a/s,"1,901",547000000,technology
,uk,3893000000.0,3796000000.0,4205000000,rotork,"3,400",755000000,industries
,russia,,,4200999999,united aircraft corporation,,7694000,industries
,austria,3398000000.0,3566000000.0,4179999999,wienerberger ag,,4380000,basic materials
,spain,6800000000.0,2416000000.0,4173000000,banco de sabadell,"23,458",5486000,financial services
,france,2937000000.0,6489000000.0,4171999999,neoen,255,367000000,utilities
,uk,,4268000000.0,4159000000,monks investment trust,,-730 million usd,investments
,uk,,2730000000.0,4159000000,man group,"1,456",1481000,financial services
,italy,6773000000.0,4138000000.0,4149000000,leonardo,"49,882",15591000,industries
,switzerland,2428000000.0,3561000000.0,4149000000,vz holding ag,"1,030",415000000,financial services
,uk,,3655000000.0,4138000000,s4 capital,,808000000,advertising
,uk,,3327000000.0,4115999999,the renewables infrastructure group limited,,231000000,renewable energy
,switzerland,,,4115000000,polypeptide group ag,973,282000000,healthcare
,norway,3032000000.0,4070000000.0,4114000000,entra asa,,294000000,real estate
,russia,5933000000.0,5325000000.0,4114000000,inter rao ues,,16207999,utilities
,uk,2709000000.0,3747000000.0,4111000000,genus,,676000000,healthcare
,uk,2544000000.0,2636000000.0,4106000000,big yellow group,361,201000000,real estate
,spain,4199000000.0,4187000000.0,4097000000,grupo catalana occidente,"7,587",4602000,financial services
,isle of man,5417000000.0,3829000000.0,4082000000,nepi rockcastle,,536000000,real estate
,luxembourg,5100000000.0,4699000000.0,4054999999,iwg,"12,000",2955000,industries
,uk,3166000000.0,4026000000.0,4054999999,fevertree drinks,,413000000,consumer defensive
,germany,832000000.0,2355000000.0,4053000000,verbio vereinigte bioenergie ag,,1026000,utilities
,netherlands,2041000000.0,2960000000.0,4035999999,arcadis nv,"28,000",2828000,industries
,germany,3397000000.0,2293000000.0,4034000000,hugo boss ag,,3073000,consumer cyclical
,sweden,1820000000.0,2408000000.0,4033000000,veoneer,,1657000,consumer cyclical
,uk,3666000000.0,3036000000.0,4019000000,beazley,,3291000,financial services
,france,2044000000.0,3400000000.0,4006999999,trigano,"10,021",3235000,consumer cyclical
,uk,4073000000.0,1783000000.0,4001000000,investec group,,2292000,financial services
,france,4616000000.0,3671000000.0,3987000000,elis sa,"45,000",3362000,industries
,germany,5943000000.0,4070000000.0,3977000000,metro ag,"97,639",27316000,consumer defensive
,uk,,2248000000.0,3966000000,safestore holdings,700,247000000,property investments
,belgium,4006999999.0,3335000000.0,3963000000,kbc ancora sca,,532000000,financial services
,greece,,,3954000000,public power corporation sa,"13,832",5704000,utilities
,norway,2943000000.0,2678000000.0,3953000000,sparebank 1 sr-bank asa,969,,financial services
,italy,4175000000.0,3401000000.0,3952000000,unipol gruppo,"11,836",16280000,financial services
,uk,,3749000000.0,3947000000,international public partnerships ld,,154000000,investments
,germany,3302000000.0,3200000000.0,3946000000,alstria office reit-ag,167,245000000,real estate
,italy,3356000000.0,3064000000.0,3936000000,azimut holding,"1,162",1635000,financial services
,sweden,1707000000.0,3416000000.0,3932000000,sectra ab publ,820,184000000,healthcare
,sweden,2567000000.0,3641000000.0,3931000000,billerudkorsnas ab publ,"4,407",2778000,basic materials
,denmark,2258000000.0,2643000000.0,3924000000,ringkjobing landbobank a/s,626,343000000,financial services
,germany,3665000000.0,4614000000.0,3922000000,tag immobilien ag,"1,354",481000000,real estate
,spain,3124000000.0,3299000000.0,3919000000,cie automotive,,3606000,consumer cyclical
,france,4101000000.0,5006000000.0,3916000000,compagnie plastic omnium sa,"31,000",7978000,consumer cyclical
,ireland,,3026000000.0,3903000000,grafton group plc,,2799000,construction materials
,switzerland,2013000000.0,3028000000.0,3898000000,siegfried holding ag,"3,500",1179000,healthcare
,switzerland,2158000000.0,3631000000.0,3895000000,also holding ag,"4,081",13671000,technology
,germany,689000000.0,1478000000.0,3893000000,zooplus ag,,1800000,consumer cyclical
,uk,5393000000.0,4823000000.0,3887000000,homeserve,,1683000,industries
,ireland,3114000000.0,3175000000.0,3883000000,alkermes,"2,245",1173000,healthcare
,france,2834000000.0,3231000000.0,3864000000,lagardere sca,,5169000,consumer cyclical
,greece,3823000000.0,2582000000.0,3861000000,eurobank ergasias,,1933000,financial services
,france,3868000000.0,3646000000.0,3856000000,societe fonciere lyonnaise sa,75,192000000,real estate
,austria,2521000000.0,2677000000.0,3855000000,lenzing,,2420000,basic materials
,switzerland,3664000000.0,3797000000.0,3853000000,luzerner kantonalbank ag,"1,049",607000000,financial services
,netherlands,3480000000.0,3575000000.0,3847000000,royal boskalis westminster,"7,484",2955000,industries
,italy,4019000000.0,3338000000.0,3846000000,iren spa,"8,000",4908000,utilities
,luxembourg,4080000000.0,4386000000.0,3841000000,grand city properties,800,578000000,real estate
,austria,3677000000.0,3242000000.0,3839000000,vienna insurance group ag,"25,000",10974000,financial services
,switzerland,638000000.0,692000000.0,3824000000,dottikon es holding ag,630,261000000,basic materials
,sweden,2604000000.0,3738000000.0,3820000000,nordic entertainment group ab publ,"1,900",1342000,communication services
,uk,2709000000.0,4051000000.0,3805000000,atlantica yield,,1211000,utilities
,france,2232000000.0,2445000000.0,3803000000,virbac sa,"4,900",1063000,healthcare
,france,86000000.0,2985000000.0,3798000000,altarea,,2981000,real estate
,france,3759000000.0,2993000000.0,3798000000,altarea sca,"1,983",2981000,real estate
,austria,3965000000.0,3491000000.0,3782000000,ca immobilien anlagen ag,,296000000,real estate
,poland,3911000000.0,3279000000.0,3770000000,pge polska grupa energetyczna,"40,141",11073000,utilities
,germany,,,3770000000,dmg mori aktiengesellschaft,"12,160",2263000,industries
,spain,,,3770000000,zardoya otis sa,,889000000,industries
,denmark,2799000000.0,2777000000.0,3761000000,jyske bank a/s,"3,593",1288000,financial services
,uk,3099000000.0,3357000000.0,3741000000,dunelm group,"6,519",1574000,consumer cyclical
,germany,3507000000.0,4700000000.0,3730000000,compugroup medical societas europaea,,1131000,healthcare
,czech republic,3235000000.0,3507000000.0,3720000000,o2 czech republic,"4,993",1655000,communication services
,faroe islands,4482000000.0,4160999999.0,3709000000,p/f bakkafrost,"1,699",747000000,consumer defensive
,uk,,,3707000000,darktrace plc,900,281000000,artificial intelligence
,germany,3582000000.0,3777000000.0,3706000000,prosiebensat1 media se,,4957000,communication services
,spain,3109000000.0,2975000000.0,3679000000,acerinox,"8,331",7396000,basic materials
,sweden,3094000000.0,3198000000.0,3663000000,peab ab publ,"15,000",6246000,industries
,finland,2486000000.0,3732000000.0,3661000000,metsa board oyj,"2,389",2299000,basic materials
,switzerland,3031000000.0,3258000000.0,3659000000,galenica ag,"7,048",4102000,healthcare
,uk,3632000000.0,2646000000.0,3657000000,virgin money uk,"8,613",1793000,financial services
,austria,3873000000.0,3626000000.0,3656000000,oberbank ag,,597000000,financial services
,uk,,2844000000.0,3638000000,londonmetric property,,157000000,real estate
,uk,2734000000.0,2828000000.0,3637000000,bovis homes group,,2137000,consumer cyclical
,finland,2387000000.0,3909000000.0,3631000000,tietoevry corporation,"23,632",3114000,technology
,uk,,10430000000.0,3624000000,thg plc,"7,000",2566000,ecommerce
,belgium,2756000000.0,2611000000.0,3624000000,compagnie d'entreprises cfe sa,,1125000,industries
,germany,2951000000.0,3419000000.0,3624000000,mainova ag,"2,853",3741000,utilities
,sweden,,,3623000000,fortnox ab publ,,99000000,technology
,uk,3403000000.0,3150000000.0,3610000000,jet2 plc,,1450000,industries
,finland,3693000000.0,3874000000.0,3609000000,tietoevry oyj,"23,632",3114000,technology
,uk,,2855000000.0,3592000000,vistry group,"1,227",3130000,real estate
,france,3476000000.0,3991000000.0,3592000000,imerys,"16,300",4833000,basic materials
,france,3288000000.0,3257000000.0,3572000000,sopra steria group sa,"46,000",5164000,technology
,switzerland,1887000000.0,2526000000.0,3564000000,interroll holding ag,,664000000,industries
,russia,2999000000.0,4011999999.0,3556000000,rostelecom,,5261000,communication services
,denmark,4557000000.0,3196000000.0,3545000000,iss a/s,"471,056",10562000,industries
,luxembourg,3661000000.0,3449000000.0,3545000000,reinet investments,,1223000,financial services
,germany,2458000000.0,1833000000.0,3534000000,ks,,3544000,basic materials
,switzerland,4046999999.0,4755000000.0,3531000000,idorsia ltd,,37000000,healthcare
,poland,,,3503000000,bnp paribas bank polska sa,,12388000,financial services
,sweden,4647000000.0,3828000000.0,3501000000,saab ab publ,,4150000,industries
,spain,3173000000.0,2762000000.0,3501000000,corporacion financiera alba,"1,783",259000000,financial services
,switzerland,3149000000.0,3622000000.0,3484000000,allreal holding ag,,598000000,real estate
,finland,589000000.0,1682000000.0,3456000000,qt group oyj,,133000000,technology
,germany,645000000.0,1976000000.0,3452000000,tradegate ag wertpapierhandelsbank,,252000000,financial services
,austria,1254000000.0,1805000000.0,3440000000,pierer mobility ag,"4,586",2040000,consumer cyclical
,france,2153000000.0,2302000000.0,3440000000,rothschild & co sca,"3,500",2761000,financial services
,uk,4061000000.0,3747000000.0,3426000000,quilter,"4,325",6218000,financial services
,germany,2307000000.0,3836000000.0,3426000000,hypoport ag,"2,049",446000000,financial services
,germany,2984000000.0,2681000000.0,3412000000,freenet ag,"4,004",2555000,communication services
,uk,3222000000.0,2965000000.0,3408000000,britvic,"4,460",1864000,consumer defensive
,switzerland,3964000000.0,3423000000.0,3404000000,oc oerlikon corporation ag,,2834000,industries
,sweden,1531000000.0,5592000000.0,3403000000,q-linea ab publ,200,1000000,healthcare
,belgium,13756000000.0,6475000000.0,3397000000,galapagos nv,"1,319",593000000,healthcare
,switzerland,1915000000.0,2207000000.0,3374000000,inficon holding ag,,515000000,technology
,finland,2285000000.0,2656000000.0,3368000000,cargotec corporation,"11,552",3656000,industries
,germany,2427000000.0,2541000000.0,3362000000,krones ag,,3633000,industries
,uk,2500000000.0,2591000000.0,3353000000,onesavings bank,"1,828",,financial services
,france,3666000000.0,3575000000.0,3346000000,gaztransport & technigaz sa,553,347000000,energy
,uk,3492000000.0,3278000000.0,3344000000,hays,"11,377",7760000,industries
,france,3928000000.0,4005000000.0,3310000000,korian,,4754000,healthcare
,netherlands,2108000000.0,2199000000.0,3307000000,basic-fit,"5,110",375000000,consumer cyclical
,sweden,,,3301000000,cint group ab publ,299,138000000,technology
,germany,1658000000.0,1817000000.0,3300000000,kuka,"13,676",3285000,industries
,sweden,2981000000.0,3447000000.0,3297000000,wihlborgs fastigheter ab publ,236,324000000,real estate
,uk,3440000000.0,2753000000.0,3283000000,redrow,"2,368",2284000,real estate
,finland,2484000000.0,2773000000.0,3269000000,konecranes,,3513000,industries
,switzerland,3788000000.0,3542000000.0,3263000000,sulzer ltd,"15,054",3376000,industries
,germany,2400000000.0,2814000000.0,3263000000,durr,,,industries
,sweden,1692000000.0,2633000000.0,3254000000,bure equity ab publ,350,,financial services
,france,6198000000.0,4950000000.0,3253000000,rubis,,4588000,utilities
,france,2299000000.0,2612000000.0,3250000000,fromageries bel sa,,4078000,consumer defensive
,switzerland,2719000000.0,2721000000.0,3242000000,forbo holding ag,"5,317",1342000,industries
,uk,,2892000000.0,3236000000,ninety one,,795000000,asset management
,uk,1562000000.0,2036000000.0,3236000000,drax group,"3,015",6865000,utilities
,switzerland,,,3235000000,softwareone holding ag,,1030999,technology
,uk,3769000000.0,2989000000.0,3229000000,shaftesbury,,149000000,real estate
,germany,3731000000.0,2902000000.0,3193000000,sudzucker ag,"20,129",7596000,consumer defensive
,romania,3340000000.0,2695000000.0,3167000000,sngn romgaz sa,,1306000,energy
,sweden,4102000000.0,3170000000.0,3164000000,intrum ab publ,,1886000,financial services
,uk,,2125000000.0,3158000000,harbourvest global private equity limited,,1056000,asset management
,isle of man,1681000000.0,1806000000.0,3142000000,playtech,,1205000,consumer cyclical
,austria,2734000000.0,2404000000.0,3140000000,immofinanz ag,325,375000000,real estate
,uk,2174000000.0,2848000000.0,3132000000,rws holdings,,921000000,industries
,greece,3148000000.0,2493000000.0,3128000000,national bank of greece,"9,107",2027000,financial services
,uk,2474000000.0,2613000000.0,3119000000,grainger,"23,100",13022000,real estate
,sweden,,,3108000000,vimian group ab publ,,173000000,consumer cyclical
,france,4908000000.0,2664000000.0,3096000000,air france-klm sa,"82,132",15789000,industries
,uk,2658000000.0,3356000000.0,3094000000,countryside properties,,1819000,consumer cyclical
,sweden,2155000000.0,2448000000.0,3089000000,jm ab publ,,1659000,consumer cyclical
,uk,1884000000.0,2846000000.0,3089000000,pets at home group,,1551000,consumer cyclical
,uk,9680000000.0,4274000000.0,3087000000,technipfmc,"37,966",6403000,energy
,sweden,551000000.0,1649000000.0,3077000000,mips ab publ,,64000000,consumer cyclical
,uk,486000000.0,3668000000.0,3077000000,itm power,190,5000000,technology
,sweden,1461000000.0,2209000000.0,3076000000,arjo ab publ,,961000000,healthcare
,uk,1985000000.0,2013999999.0,3070000000,ultra electronics holdings,"4,500",1000999,industries
,uk,,,3069000000,the schiehallion fund limited,,37000000,financial services
,italy,2668000000.0,2555000000.0,3061000000,bper banca,"13,550",,financial services
,russia,2321000000.0,3618000000.0,3061000000,sistema public joint stock financial corporation,,13186000,conglomerate
,sweden,1542000000.0,1829000000.0,3059000000,nyfosa ab publ,67,261000000,real estate
,russia,2547000000.0,2498000000.0,3059000000,credit bank of moscow public joint-stock company,"9,000",,financial services
,uk,,3157000000.0,3051000000,worldwide healthcare trust,333,-155 million usd,investments
,russia,4402000000.0,4751000000.0,3047000000,rosseti,,16457999,utilities
,greece,3355000000.0,1812000000.0,3045000000,alpha bank,"10,528",-257 million usd,financial services
,switzerland,744000000.0,1428000000.0,3039000000,swissquote group holding ltd,,568000000,financial services
,sweden,1680000000.0,2691000000.0,3030000000,nolato ab publ,,1231000,industries
,luxembourg,1459000000.0,2129000000.0,3027000000,befesa,"1,137",821000000,industries
,switzerland,1671000000.0,2204000000.0,3015000000,lem holding sa,,321000000,technology
,france,1956000000.0,2271000000.0,3013000000,argan sa,,173000000,real estate
,denmark,2855000000.0,2585000000.0,3009000000,dfds a/s,"8,213",2645000,industries
,finland,,,3004000000,outokumpu oyj,"9,915",8503000,basic materials
,sweden,2643000000.0,3400000000.0,2997000000,af poyry ab publ,"17,000",2131000,industries
,netherlands,4564000000.0,2641000000.0,2991000000,veon,"46,492",7786000,communication services
,austria,2614000000.0,2361000000.0,2989000000,osterreichische post ag,,2778000,industries
,uk,1430000000.0,,2985000000,valaris,"4,500",1451000,energy
,russia,5159000000.0,3671000000.0,2985000000,public joint stock oil company bashneft,,13435000,energy
,uk,3615000000.0,6529000000.0,2984000000,asos,"3,824",5189000,consumer cyclical
,france,3863000000.0,2881000000.0,2979000000,covivio hotels societe anonyme,,1107000,real estate
,spain,2812000000.0,2758000000.0,2978000000,gestamp automocion,,8925000,consumer cyclical
,italy,860000000.0,1939000000.0,2970000000,sesa,,2361000,technology
,uk,,2181000000.0,2963000000,caledonia investments,,728000000,investments
,switzerland,,,2958000000,bystronic ag,,,industries
,uk,3189000000.0,2848000000.0,2954000000,close brothers group,"3,000",1204000,financial services
,spain,2465000000.0,3277000000.0,2953000000,viscofan,"4,609",1069000,consumer cyclical
,spain,3353000000.0,3548000000.0,2944000000,ebro foods,,2677000,consumer defensive
,sweden,6650000000.0,3333000000.0,2943000000,hufvudstaden ab publ,,280000000,real estate
,france,5055000000.0,3305000000.0,2928000000,casino guichard-perrachon societe anonyme,,34251000,consumer defensive
,romania,,,2921000000,fondul proprietatea sa,,1143000,financial services
,switzerland,1491000000.0,1961000000.0,2918000000,medacta group sa,,400000000,healthcare
,sweden,4409000000.0,3229000000.0,2912000000,pandox ab publ,,347000000,consumer cyclical
,spain,2826000000.0,3275000000.0,2905000000,vidrala,"3,500",1196000,consumer cyclical
,sweden,830000000.0,1392000000.0,2898000000,troax group ab publ,,278000000,industries
,france,787000000.0,143000000.0,2890000000,europcar mobility group,"8,999",0,industries
,austria,3137000000.0,2393000000.0,2888000000,uniqa insurance group ag,,,financial services
,france,2153000000.0,2412000000.0,2884000000,ramsay generale de sante sa,,4021000,healthcare
,italy,1589000000.0,2333000000.0,2883000000,carel industries,,333000000,technology
,switzerland,2776000000.0,2780000000.0,2878000000,st galler kantonalbank ag,,514000000,financial services
,uk,,2679000000.0,2872000000,mercantile investment trust the,,314000000,asset management
,netherlands,3838000000.0,3725000000.0,2871000000,sbm offshore,"4,507",3672000,energy
,denmark,1402000000.0,1857000000.0,2871000000,alm brand a/s,"1,725",781000000,financial services
,spain,1800000000.0,1376000000.0,2871000000,unicaja banco,,,financial services
,uk,2859000000.0,2780000000.0,2870000000,victrex,900,413000000,basic materials
,ireland,1290000000.0,2907000000.0,2867000000,keywords studios,,512000000,communication services
,uk,1234000000.0,2043000000.0,2861000000,kainos group,,356000000,technology
,germany,2613000000.0,3020000000.0,2853000000,software ag,,919000000,technology
,italy,1575000000.0,2321000000.0,2851000000,falck renewables,,627000000,utilities
,luxembourg,5101000000.0,3925000000.0,2847000000,millicom international cellular,"22,000",4617000,communication services
,germany,2449000000.0,3355000000.0,2845000000,gerresheimer ag,"9,872",1652000,healthcare
,uk,4824000000.0,4202000000.0,2844000000,ashmore group,,299000000,financial services
,uk,,,2837000000,paysafe limited,,1487000,technology
,uk,,,2828000000,templeton emerging markets investment trust plc,,1257000,financial services
,sweden,2081000000.0,2693000000.0,2825000000,bravida holding ab publ,,2319000,industries
,uk,,2702000000.0,2823000000,wh smith,"14,321",1176000,retail
,poland,2467000000.0,2333000000.0,2818000000,orange polska,,2813000,communication services
,germany,2097000000.0,2037999999.0,2818000000,mvv energie ag,,4669000,utilities
,germany,,,2816000000,nagarro se,,546000000,technology
,belgium,2896000000.0,2929000000.0,2805000000,solvac,,329000000,basic materials
,germany,2118000000.0,2612000000.0,2804000000,kws saat se & co kgaa,"5,709",1310000,consumer defensive
,iceland,3399000000.0,3356000000.0,2801000000,ossur,"4,000",718000000,healthcare
,france,3784000000.0,2595000000.0,2792000000,eutelsat communications,,1233000,technology
,uk,3904000000.0,2439000000.0,2789000000,ssp group,"39,549",1107000,consumer cyclical
,russia,4048000000.0,3817000000.0,2780000000,federal grid company of unified energy system,,3900000,utilities
,germany,,,2776000000,h&k ag,,,industries
,netherlands,1863000000.0,3329000000.0,2773000000,corbion,"2,267",1180000,basic materials
,portugal,3556000000.0,2267000000.0,2773000000,banco comercial portugues,,,financial services
,uk,,2799000000.0,2770000000,assura,,160000000,real estate
,uk,2233000000.0,2009999999.0,2768000000,pagegroup,,1935000,industries
,luxembourg,3439000000.0,2543000000.0,2767000000,samsonite international,"14,500",2020000,consumer cyclical
,uk,,2666000000.0,2759000000,finsbury growth & income trust,,279000000,asset management
,portugal,,,2759000000,the navigator company sa,,1595000,paper and pulp
,belgium,1729000000.0,1900000000.0,2753000000,nv bekaert sa,,5337000,industries
,russia,2795000000.0,2245000000.0,2748000000,nizhnekamskneftekhim,,2527000,basic materials
,netherlands,1817000000.0,1262000000.0,2738000000,cnova,,2389000,consumer cyclical
,sweden,3292000000.0,2711000000.0,2737000000,atrium ljungberg ab publ,,328000000,real estate
,uk,2325000000.0,2530000000.0,2733000000,cranswick,"6,988",2365000,consumer defensive
,norway,645000000.0,1170000000.0,2731000000,arendals fossekompani asa,,476000000,utilities
,malta,14605000000.0,22595000000.0,2729000000,kindred group,"1,564",1671000,consumer cyclical
,sweden,898000000.0,1468000000.0,2727000000,hnetworks ab publ,,209000000,technology
,uk,,2757000000.0,2721000000,primary health properties,,192000000,real estate
,sweden,1107000000.0,1868000000.0,2714000000,lagercrantz group ab publ,,517000000,technology
,uk,,1735000000.0,2710000000,hg capital trust,,803000000,asset management
,france,2514000000.0,2684000000.0,2703000000,robertet sa,,606000000,basic materials
,germany,1028999999.0,1953000000.0,2702000000,secunet security networks,,337000000,technology
,malta,,,2689000000,unibet group plc,,,consumer cyclical
,switzerland,2957000000.0,2338000000.0,2673000000,dormakaba holding ag,,2861000,industries
,norway,1161000000.0,1127000000.0,2671000000,wallenius wilhelmsen asa,,3884000,industries
,uk,2181000000.0,1868000000.0,2668000000,savills,,0,real estate
,france,,,2667000000,technip energies nv,,7096000,energy
,spain,3015000000.0,2548000000.0,2653000000,compania de distribucion integral logista holdings,,11930000,industries
,france,1847000000.0,1958000000.0,2648000000,constellium se,,6150000,basic materials
,switzerland,980000000.0,1723000000.0,2647000000,comet holding ag,,549000000,technology
,denmark,867000000.0,1785000000.0,2638000000,bavarian nordic a/s,,255000000,healthcare
,germany,,,2631000000,encavis ag,,332000000,utilities
,uk,1945000000.0,2027000000.0,2620000000,domino's pizza group,,743000000,consumer cyclical
,germany,7101000000.0,10737000000.0,2617000000,teamviewer ag,"1,200",553000000,technology
,germany,1464000000.0,2013000000.0,2610000000,gag immobilien ag,,390000000,real estate
,france,2794000000.0,2387000000.0,2600000000,nexity sa,,4467000,real estate
,sweden,1851000000.0,2225000000.0,2598000000,fastpartner ab publ,,175000000,real estate

